Kecamatan,Luas Panen Jagung ,Produksi Jagung ,Produksi Rata Rata Jagung ,Luas Panen Ubi Kayu ,Produksi Ubi Kayu ,Produksi Rata Rata Ubi Kayu ,Tahun
Mandiraja, 550 ," 4,191 ", 76 , 300 ," 10,950 ", 365 ,2022
Purwanegara," 1,809 "," 14,309 ", 79 ," 1,854 "," 70,448 ", 380 ,2022
B a w a n g, 855 ," 5,395 ", 63 , 685 ," 17,858 ", 261 ,2022
Banjarnegara, 155 ," 1,163 ", 75 , 13 , 286 , 220 ,2022
Pagedongan, 189 ," 1,315 ", 70 , 34 , 408 , 120 ,2022
S i g a l u h, 78 , 511 , 66 , - , - , - ,2022
Madukara, 69 , 380 , 55 , - , - , - ,2022
Banjarmangu, 20 , 105 , 53 , 5 , 105 , 210 ,2022
Wanadadi, 99 , 741 , 75 , 67 ," 1,650 ", 246 ,2022
R a k i t, 131 , 817 , 62 , 250 ," 6,425 ", 257 ,2022
Punggelan, 750 ," 4,191 ", 56 , 735 ," 12,895 ", 175 ,2022
Karangkobar, 63 , 274 , 44 , 25 , 363 , 145 ,2022
Pagentan, 114 , 485 , 43 , 24 , 294 , 123 ,2022
Pejawaran, 214 ," 1,128 ", 53 , 114 ," 1,408 ", 124 ,2022
B a t u r, 43 , 170 , 39 , - , - , - ,2022
Wanayasa, 35 , 135 , 39 , 12 , 192 , 160 ,2022
Kalibening, 475 ," 2,030 ", 43 , 2 , 25 , 125 ,2022
Pandanarum, 21 , 85 , 40 , 40 , 483 , 121 ,2022
Susukan, 418 ," 2,618 ", 63 , - , - , - ,2023
Purwareja Klampok, 31 , 185 , 60 , 15 , 390 , 260 ,2023
Mandiraja, 358 ," 2,724 ", 76 , 305 ," 10,505 ", 344 ,2023
Purwanegara," 2,149 "," 16,995 ", 79 , 912 ," 32,397 ", 355 ,2023
B a w a n g," 1,232 "," 7,861 ", 64 , 733 ," 19,698 ", 269 ,2023
Banjarnegara, 96 , 715 , 74 , 19 , 434 , 228 ,2023
Pagedongan, 108 , 648 , 60 , 140 ," 2,760 ", 197 ,2023
S i g a l u h, 17 , 111 , 66 , - , - , - ,2023
Madukara, 28 , 154 , 55 , - , - , - ,2023
Banjarmangu, 14 , 75 , 53 , 20 , 407 , 204 ,2023
Wanadadi, 27 , 198 , 73 , 82 ," 1,991 ", 243 ,2023
R a k i t, 302 ," 2,092 ", 69 , 271 ," 6,980 ", 258 ,2023
Punggelan, 111 , 755 , 68 , 247 ," 4,346 ", 176 ,2023
Karangkobar, 49 , 168 , 34 , 33 , 587 , 178 ,2023
Pagentan, 75 , 325 , 43 , 29 , 348 , 120 ,2023
Pejawaran, 288 ," 1,485 ", 52 , 46 , 565 , 123 ,2023
B a t u r, 53 , 209 , 39 , - , - , - ,2023
Wanayasa, 47 , 187 , 40 , 10 , 200 , 200 ,2023
Kalibening," 1,243 "," 5,226 ", 42 , 75 ," 1,800 ", 240 ,2023
Pandanarum, 359 ," 1,442 ", 40 , 15 , 180 , 120 ,2023
Susukan, 312 ," 2,075 ", 67 , - , - , - ,2024
Purwareja Klampok, 159 ," 1,045 ", 66 , 12 , 321 , 268 ,2024
Mandiraja, 281 ," 2,143 ", 76 , 200 ," 7,190 ", 359 ,2024
Purwanegara," 2,710 "," 20,993 ", 77 ," 1,065 "," 39,229 ", 368 ,2024
B a w a n g," 1,608 "," 10,686 ", 66 , 509 ," 14,015 ", 275 ,2024
Banjarnegara, 89 , 661 , 74 , 21 , 495 , 236 ,2024
Pagedongan, 237 ," 1,475 ", 62 , 94 ," 1,900 ", 202 ,2024
S i g a l u h, 111 , 736 , 66 , 7 , 154 , 220 ,2024
Madukara, 166 , 969 , 58 , - , - , - ,2024
Banjarmangu, 34 , 191 , 56 , 3 , 64 , 212 ,2024
Wanadadi, 252 ," 1,875 ", 74 , 26 , 641 , 247 ,2024
R a k i t, 93 , 655 , 70 , 184 ," 4,756 ", 258 ,2024
Punggelan, 226 ," 1,538 ", 68 , 262 ," 5,602 ", 214 ,2024
Karangkobar, 103 , 483 , 47 , 34 , 613 , 180 ,2024
Pagentan, 94 , 418 , 44 , 33 , 409 , 124 ,2024
Pejawaran, 241 ," 1,277 ", 53 , 44 , 550 , 125 ,2024
B a t u r, 48 , 193 , 40 , 5 , 55 , 110 ,2024
Wanayasa, 57 , 237 , 42 , 10 , 201 , 201 ,2024
Kalibening, 437 ," 1,897 ", 43 , 89 ," 2,146 ", 241 ,2024
Pandanarum, 374 ," 1,599 ", 43 , 39 , 545 , 140 ,2024
