Kecamatan,Padi Sawah (Ha),Produksi Padi Sawah (Ton),Rata-rata Produksi Padi Sawah(Kw/Ha),Padi Ladang (Ha),Produksi Padi Ladang(Ton),Rata-rata Produksi Padi Ladang(Ku/Ha),Tahun
S i g a l u h, 311 ," 2,327 ", 75 , - , - , - ,2022
Madukara," 1,209 "," 7,858 ", 65 , - , - , - ,2022
Banjarmangu," 1,496 "," 8,929 ", 60 , 6 , 24 , 41 ,2022
Wanadadi," 1,414 "," 10,000 ", 71 , - , - , - ,2022
R a k i t," 1,561 "," 10,787 ", 69 , 50 , 203 , 41 ,2022
Punggelan," 1,989 "," 13,724 ", 69 , - , - , - ,2022
Karangkobar, 331 ," 1,919 ", 58 , - , - , - ,2022
Pagentan, 582 ," 2,831 ", 49 , - , - , - ,2022
Pejawaran, 177 , 885 , 50 , - , - , - ,2022
B a t u r, - , - , - , - , - , - ,2022
Wanayasa, 88 , 264 , 30 , - , - , - ,2022
Kalibening," 1,558 "," 8,607 ", 55 , - , - , - ,2022
Pandanarum," 1,084 "," 6,070 ", 56 , - , - , - ,2022
Susukan," 2,351 "," 14,959 ", 64 , - , - , - ,2023
Purwareja Klampok," 1,528 "," 10,338 ", 68 , 10 , 41 , 41 ,2023
Mandiraja," 2,998 "," 22,920 ", 76 , - , - , - ,2023
Purwanegara," 2,717 "," 21,112 ", 78 , - , - , - ,2023
B a w a n g," 2,009 "," 13,199 ", 66 , - , - , - ,2023
Banjarnegara, 886 ," 5,671 ", 64 , - , - , - ,2023
Pagedongan, 266 ," 1,696 ", 64 , - , - , - ,2023
S i g a l u h, 305 ," 2,215 ", 73 , - , - , - ,2023
Madukara, 398 ," 2,587 ", 65 , - , - , - ,2023
Banjarmangu, 972 ," 5,506 ", 57 , - , - , - ,2023
Wanadadi," 1,241 "," 9,104 ", 73 , - , - , - ,2023
R a k i t," 1,073 "," 7,532 ", 70 , - , - , - ,2023
Punggelan," 1,606 "," 9,994 ", 62 , - , - , - ,2023
Karangkobar, 362 ," 2,044 ", 56 , - , - , - ,2023
Pagentan, 424 ," 2,081 ", 49 , - , - , - ,2023
Pejawaran, 151 , 848 , 56 , - , - , - ,2023
B a t u r, - , - , - , - , - , - ,2023
Wanayasa, 75 , 287 , 38 , - , - , - ,2023
Kalibening," 1,602 "," 10,251 ", 64 , - , - , - ,2023
Pandanarum, 833 ," 4,498 ", 54 , - , - , - ,2023
Susukan," 2,476 "," 16,806 ", 68 , - , - , - ,2024
Purwareja Klampok," 1,568 "," 11,426 ", 73 , - , - , - ,2024
Mandiraja," 3,362 "," 26,543 ", 79 , - , - , - ,2024
Purwanegara," 2,366 "," 18,452 ", 78 , - , - , - ,2024
B a w a n g," 2,202 "," 14,812 ", 67 , 16 , 91 , 58 ,2024
Banjarnegara, 697 ," 4,758 ", 68 , - , - , - ,2024
Pagedongan, 340 ," 2,332 ", 69 , - , - , - ,2024
S i g a l u h, 364 ," 2,716 ", 75 , - , - , - ,2024
Madukara," 1,016 "," 6,678 ", 66 , - , - , - ,2024
Banjarmangu," 1,115 "," 6,678 ", 60 , - , - , - ,2024
Wanadadi," 1,635 "," 11,998 ", 73 , 4 , 20 , 53 ,2024
R a k i t," 1,528 "," 10,828 ", 71 , 2 , 9 , 53 ,2024
Punggelan," 1,861 "," 12,678 ", 68 , - , - , - ,2024
Karangkobar, 668 ," 4,071 ", 61 , - , - , - ,2024
Pagentan, 730 ," 3,618 ", 50 , - , - , - ,2024
Pejawaran, 184 ," 1,045 ", 57 , - , - , - ,2024
B a t u r, - , - , - , - , - , - ,2024
Wanayasa, 176 , 745 , 42 , - , - , - ,2024
Kalibening," 1,815 "," 11,498 ", 63 , - , - , - ,2024
Pandanarum," 1,451 "," 8,398 ", 58 , - , - , - ,2024
