+-------------------------------+----------------------------+---------------------------------------------------------------------------------+
| ikan_tangkap                  | tahun                      | smallint(5) unsigned                                                            |
| ikan_tangkap                  | produksi_kg                | decimal(14,3)                                                                   |
| ikan_tangkap                  | nilai_ribu_rp              | decimal(16,2)                                                                   |
| ikan_tangkap                  | sumber                     | enum('csv','ckan','manual')                                                     |
| ikan_tangkap_perairan_umum    | id                         | int(10) unsigned                                                                |
| ikan_tangkap_perairan_umum    | kecamatan_id               | tinyint(3) unsigned                                                             |
| ikan_tangkap_perairan_umum    | tahun                      | smallint(5) unsigned                                                            |
| ikan_tangkap_perairan_umum    | produksi_kg                | decimal(14,3)                                                                   |
| ikan_tangkap_perairan_umum    | nilai_ribu_rp              | decimal(16,2)                                                                   |
| ikan_tangkap_perairan_umum    | sumber                     | enum('csv','ckan','manual')                                                     |
| ikan_waduk                    | id                         | int(10) unsigned                                                                |
| ikan_waduk                    | kecamatan_id               | tinyint(3) unsigned                                                             |
| ikan_waduk                    | tahun                      | smallint(5) unsigned                                                            |
| ikan_waduk                    | luas_ha                    | decimal(12,3)                                                                   |
| ikan_waduk                    | produksi_kg                | decimal(14,3)                                                                   |
| ikan_waduk                    | sumber                     | enum('csv','ckan','manual')                                                     |
| inflasi                       | id                         | int(10) unsigned                                                                |
| inflasi                       | wilayah                    | varchar(40)                                                                     |
| inflasi                       | tahun                      | smallint(5) unsigned                                                            |
| inflasi                       | inflasi_pct                | decimal(6,2)                                                                    |
| inflasi                       | sumber                     | enum('csv','ckan','manual')                                                     |
| kecamatan                     | id                         | tinyint(3) unsigned                                                             |
| kecamatan                     | nama                       | varchar(50)                                                                     |
| kecamatan                     | nama_norm                  | varchar(50)                                                                     |
| kecamatan                     | varian                     | longtext                                                                        |
| kelompok_tani                 | id                         | int(10) unsigned                                                                |
| kelompok_tani                 | kecamatan_id               | tinyint(3) unsigned                                                             |
| kelompok_tani                 | desa                       | varchar(80)                                                                     |
| kelompok_tani                 | desa_norm                  | varchar(80)                                                                     |
| kelompok_tani                 | tahun                      | smallint(5) unsigned                                                            |
| kelompok_tani                 | kelompok_tani              | int(11)                                                                         |
| kelompok_tani                 | anggota_tani               | int(11)                                                                         |
| kelompok_tani                 | kelompok_perikanan         | int(11)                                                                         |
| kelompok_tani                 | anggota_perikanan          | int(11)                                                                         |
| kelompok_tani                 | gapoktan                   | int(11)                                                                         |
| kelompok_tani                 | anggota_gapoktan           | int(11)                                                                         |
| kelompok_tani                 | sumber                     | enum('json_fallback','ckan','manual')                                           |
| kelompok_tani_hutan           | id                         | int(10) unsigned                                                                |
| kelompok_tani_hutan           | kecamatan_id               | tinyint(3) unsigned                                                             |
| kelompok_tani_hutan           | desa                       | varchar(80)                                                                     |
| kelompok_tani_hutan           | desa_norm                  | varchar(80)                                                                     |
| kelompok_tani_hutan           | tahun                      | smallint(5) unsigned                                                            |
| kelompok_tani_hutan           | kth                        | int(11)                                                                         |
| kelompok_tani_hutan           | kth_pemula                 | int(11)                                                                         |
| kelompok_tani_hutan           | kth_madya                  | int(11)                                                                         |
| kelompok_tani_hutan           | kth_utama                  | int(11)                                                                         |
| kelompok_tani_hutan           | sumber                     | enum('json_fallback','manual')                                                  |
| kth_detail                    | id                         | int(10) unsigned                                                                |
| kth_detail                    | kelompok_tani_hutan_id     | int(10) unsigned                                                                |
| kth_detail                    | nama_kelompok              | varchar(120)                                                                    |
| kth_detail                    | no_register                | varchar(80)                                                                     |
| kth_detail                    | tanggal_berdiri            | varchar(20)                                                                     |
| kth_detail                    | kelas                      | varchar(20)                                                                     |
| kth_detail                    | alamat                     | varchar(255)                                                                    |
| kth_detail                    | ketua                      | varchar(100)                                                                    |
| lahan_desa                    | id                         | int(10) unsigned                                                                |
| lahan_desa                    | kecamatan_id               | tinyint(3) unsigned                                                             |
| lahan_desa                    | desa                       | varchar(80)                                                                     |
| lahan_desa                    | desa_norm                  | varchar(80)                                                                     |
| lahan_desa                    | tahun                      | smallint(5) unsigned                                                            |
| lahan_desa                    | sawah_ha                   | decimal(10,3)                                                                   |
| lahan_desa                    | bukan_sawah_ha             | decimal(10,3)                                                                   |
| lahan_desa                    | total_ha                   | decimal(10,3)                                                                   |
| lahan_desa                    | sumber_json                | varchar(60)                                                                     |
| lahan_desa                    | confidence                 | varchar(20)                                                                     |
| lahan_desa                    | sumber                     | enum('json_fallback','ckan','manual')                                           |
| lahan_penggunaan              | id                         | int(10) unsigned                                                                |
| lahan_penggunaan              | kategori                   | varchar(120)                                                                    |
| lahan_penggunaan              | tahun                      | smallint(5) unsigned                                                            |
| lahan_penggunaan              | luas_ha                    | decimal(12,3)                                                                   |
| lahan_penggunaan              | sumber                     | enum('csv','ckan','manual')                                                     |
| lumbung_pangan                | id                         | int(10) unsigned                                                                |
| lumbung_pangan                | kecamatan_id               | tinyint(3) unsigned                                                             |
| lumbung_pangan                | tahun                      | smallint(5) unsigned                                                            |
| lumbung_pangan                | lumbung_unit               | int(11)                                                                         |
| lumbung_pangan                | lumbung_kapasitas_ton      | decimal(10,3)                                                                   |
| lumbung_pangan                | gudang_luas_m2             | decimal(10,3)                                                                   |
| lumbung_pangan                | gudang_kapasitas_ton_bulan | decimal(10,3)                                                                   |
| lumbung_pangan                | sumber                     | enum('csv','ckan','manual')                                                     |
| padi_produksi                 | id                         | int(10) unsigned                                                                |
| padi_produksi                 | kecamatan_id               | tinyint(3) unsigned                                                             |
| padi_produksi                 | tahun                      | smallint(5) unsigned                                                            |
| padi_produksi                 | jenis                      | enum('sawah','ladang')                                                          |
| padi_produksi                 | luas_panen_ha              | decimal(10,3)                                                                   |
| padi_produksi                 | produksi_ton               | decimal(12,3)                                                                   |
| padi_produksi                 | rata_ku_ha                 | decimal(8,3)                                                                    |
| padi_produksi                 | sumber                     | enum('csv','ckan','manual')                                                     |
| palawija_produksi             | id                         | int(10) unsigned                                                                |
| palawija_produksi             | kecamatan_id               | tinyint(3) unsigned                                                             |
| palawija_produksi             | tahun                      | smallint(5) unsigned                                                            |
| palawija_produksi             | komoditas                  | varchar(30)                                                                     |
| palawija_produksi             | luas_panen_ha              | decimal(10,3)                                                                   |
| palawija_produksi             | produksi_ton               | decimal(12,3)                                                                   |
| palawija_produksi             | rata_ku_ha                 | decimal(8,3)                                                                    |
| palawija_produksi             | sumber                     | enum('csv','ckan','manual')                                                     |
| pasar                         | id                         | int(10) unsigned                                                                |
| pasar                         | jenis                      | varchar(40)                                                                     |
| pasar                         | tahun                      | smallint(5) unsigned                                                            |
| pasar                         | jumlah                     | smallint(6)                                                                     |
| pasar                         | sumber                     | enum('csv','ckan','manual')                                                     |
| perkebunan_areal              | id                         | int(10) unsigned                                                                |
| perkebunan_areal              | kecamatan_id               | tinyint(3) unsigned                                                             |
| perkebunan_areal              | tanaman                    | varchar(40)                                                                     |
| perkebunan_areal              | tahun                      | smallint(5) unsigned                                                            |
| perkebunan_areal              | luas_ha                    | decimal(12,3)                                                                   |
| perkebunan_areal              | sumber                     | enum('csv','ckan','manual')                                                     |
| perkebunan_produksi           | id                         | int(10) unsigned                                                                |
| perkebunan_produksi           | kecamatan_id               | tinyint(3) unsigned                                                             |
| perkebunan_produksi           | tanaman                    | varchar(40)                                                                     |
| perkebunan_produksi           | tahun                      | smallint(5) unsigned                                                            |
| perkebunan_produksi           | produksi_ton               | decimal(12,3)                                                                   |
| perkebunan_produksi           | sumber                     | enum('csv','ckan','manual')                                                     |
| perkebunan_produksi_kabupaten | id                         | int(10) unsigned                                                                |
| perkebunan_produksi_kabupaten | tanaman                    | varchar(40)                                                                     |
| perkebunan_produksi_kabupaten | tahun                      | smallint(5) unsigned                                                            |
| perkebunan_produksi_kabupaten | produksi_ton               | decimal(12,3)                                                                   |
| perkebunan_produksi_kabupaten | sumber                     | enum('csv','ckan','manual')                                                     |
| renstra_target                | id                         | int(10) unsigned                                                                |
| renstra_target                | indikator                  | varchar(120)                                                                    |
| renstra_target                | satuan                     | varchar(30)                                                                     |
| renstra_target                | target                     | decimal(16,2)                                                                   |
| renstra_target                | tahun_target               | smallint(5) unsigned                                                            |
| renstra_target                | sumber_dokumen             | varchar(120)                                                                    |
| renstra_target                | sumber                     | enum('manual')                                                                  |
| st2023_desa                   | id                         | int(10) unsigned                                                                |
| st2023_desa                   | kecamatan_id               | tinyint(3) unsigned                                                             |
| st2023_desa                   | desa                       | varchar(80)                                                                     |
| st2023_desa                   | desa_norm                  | varchar(80)                                                                     |
| st2023_desa                   | rumah_tangga_petani        | int(11)                                                                         |
| st2023_desa                   | petani                     | int(11)                                                                         |
| st2023_desa                   | rt_anggota_kelompok        | int(11)                                                                         |
| st2023_desa                   | rt_bukan_anggota_kelompok  | int(11)                                                                         |
| st2023_desa                   | rtup                       | int(11)                                                                         |
| st2023_desa                   | rt_perikanan               | int(11)                                                                         |
| st2023_desa                   | rt_perikanan_budidaya      | int(11)                                                                         |
| st2023_desa                   | rt_perikanan_tangkap       | int(11)                                                                         |
| st2023_desa                   | ternak                     | longtext                                                                        |
| st2023_desa                   | sumber_teks                | varchar(200)                                                                    |
| st2023_desa                   | sumber                     | enum('json_fallback','manual')                                                  |
