Kecamatan ,Kolam Pembesaran Ikan Luas (Ha),Kolam Pembesaran Ikan Produksi (Kg),Jaring Karamba Apung Luas (Ha),Jaring Karamba Apung Produksi (Kg),Mina Padi Penyelang Luas (Ha),Mina Padi Penyelang Produksi (Kg),Mina Padi Tumpang sari Luas (Ha),Mina Padi Tumpang sari Produksi (Kg),Tahun 
Kalibening, 11 ," 527,813 ", - , - , - , - , - , - ,2021
Pandanarum, 2 ," 106,134 ", - , - , - , - , - , - ,2021
Susukan, 3 ," 164,330 ", - , - , - , - , - , - ,2022
Purwareja Klampok, 24 ," 1,214,614 ", - , - , - , - , - , - ,2022
Mandiraja, 47 ," 2,401,160 ", - , - , - , - , 18 ," 27,390 ",2022
Purwanegara, 285 ," 14,527,908 ", - , - , - , - , 4 ," 17,909 ",2022
Bawang, 73 ," 3,726,518 ", 0 ," 8,345 ", - , - , - , - ,2022
Banjarnegara, 29 ," 1,494,792 ", - , - , - , - , - , - ,2022
Pagedongan, 19 ," 973,733 ", - , - , - , - , - , - ,2022
Sigaluh, 11 ," 572,604 ", - , - , - , - , - , - ,2022
Madukara, 36 ," 1,846,928 ", - , - , - , - , - , - ,2022
Banjarmangu, 20 ," 1,008,436 ", - , - , - , - , - , - ,2022
Wanadadi, 46 ," 2,370,539 ", 6 ," 345,643 ", - , - , - , - ,2022
Rakit, 80 ," 4,106,212 ", - , - , - , - , - , - ,2022
Punggelan, 49 ," 2,490,469 ", - , - , - , - , - , - ,2022
Karangkobar, 11 ," 551,169 ", - , - , - , - , - , - ,2022
Pagentan, 12 ," 601,183 ", - , - , - , - , - , - ,2022
Pejawaran, 11 ," 546,066 ", - , - , - , - , - , - ,2022
Batur, 0 ," 11,738 ", - , - , - , - , - , - ,2022
Wanayasa, 24 ," 1,232,476 ", - , - , - , - , - , - ,2022
Kalibening, 11 ," 565,969 ", - , - , - , - , - , - ,2022
Pandanarum, 2 ," 113,806 ", - , - , - , - , - , - ,2022
Susukan, 3 ," 165,443 ", - , - , - , - , - , - ,2023
Purwareja Klampok, 24 ," 1,222,839 ", - , - , - , - , - , - ,2023
Mandiraja, 47 ," 2,417,419 ", - , - , - , - , 18 ," 19,292 ",2023
Purwanegara, 285 ," 14,626,286 ", - , - , - , - , 4 ," 3,858 ",2023
Bawang, 73 ," 3,751,752 ", 0 ," 9,765 ", - , - , - , - ,2023
Banjarnegara, 29 ," 1,504,914 ", - , - , - , - , - , - ,2023
Pagedongan, 19 ," 980,326 ", - , - , - , - , - , - ,2023
Sigaluh, 11 ," 576,481 ", - , - , - , - , - , - ,2023
Madukara, 36 ," 1,859,435 ", - , - , - , - , - , - ,2023
Banjarmangu, 20 ," 1,015,265 ", - , - , - , - , - , - ,2023
Wanadadi, 46 ," 2,386,591 ", 6 ," 404,462 ", - , - , - , - ,2023
Rakit, 80 ," 4,134,018 ", - , - , - , - , - , - ,2023
Punggelan, 49 ," 2,507,334 ", - , - , - , - , - , - ,2023
Karangkobar, 11 ," 554,902 ", - , - , - , - , - , - ,2023
Pagentan, 12 ," 605,254 ", - , - , - , - , - , - ,2023
Pejawaran, 11 ," 549,764 ", - , - , - , - , - , - ,2023
Batur, 0 ," 11,817 ", - , - , - , - , - , - ,2023
Wanayasa, 24 ," 1,240,822 ", - , - , - , - , - , - ,2023
Kalibening, 11 ," 569,802 ", - , - , - , - , - , - ,2023
Pandanarum, 2 ," 114,577 ", - , - , - , - , - , - ,2023
Susukan, 3 ," 164,285 ", - , - , - , - , - , - ,2024
Purwareja Klampok, 24 ," 1,214,282 ", - , - , - , - , - , - ,2024
Mandiraja, 47 ," 2,400,504 ", - , - , - , - , 18 ," 9,083 ",2024
Purwanegara, 285 ," 14,523,941 ", - , - , - , - , 4 ," 1,817 ",2024
Bawang, 73 ," 3,725,500 ", 0 ," 9,055 ", - , - , - , - ,2024
Banjarnegara, 29 ," 1,494,384 ", - , - , - , - , - , - ,2024
Pagedongan, 19 ," 973,467 ", - , - , - , - , - , - ,2024
Sigaluh, 11 ," 572,447 ", - , - , - , - , - , - ,2024
Madukara, 36 ," 1,846,424 ", - , - , - , - , - , - ,2024
Banjarmangu, 20 ," 1,008,161 ", - , - , - , - , - , - ,2024
Wanadadi, 46 ," 2,369,892 ", 6 ," 375,033 ", - , - , - , - ,2024
Rakit, 80 ," 4,105,091 ", - , - , - , - , - , - ,2024
Punggelan, 49 ," 2,489,789 ", - , - , - , - , - , - ,2024
Karangkobar, 11 ," 551,019 ", - , - , - , - , - , - ,2024
Pagentan, 12 ," 601,019 ", - , - , - , - , - , - ,2024
Pejawaran, 11 ," 545,917 ", - , - , - , - , - , - ,2024
Batur, 0 ," 11,735 ", - , - , - , - , - , - ,2024
Wanayasa, 24 ," 1,232,140 ", - , - , - , - , - , - ,2024
Kalibening, 11 ," 565,815 ", - , - , - , - , - , - ,2024
Pandanarum, 2 ," 113,775 ", - , - , - , - , - , - ,2024
