kecamatan,tahun,metric,value
Sigaluh,2024,Jenis Kolam Luas,1.18
Sigaluh,2024,Produksi,0
Sigaluh,2024,Luas,0
Madukara,2018,Jenis Kolam Luas,0.6
Madukara,2018,Produksi,0
Madukara,2018,Luas,0
Madukara,2019,Jenis Kolam Luas,0.6
Madukara,2019,Produksi,16728484
Madukara,2020,Jenis Kolam Luas,0.6
Madukara,2020,Produksi,0
Madukara,2020,Luas,0
Madukara,2021,Jenis Kolam Luas,0.6
Madukara,2021,Produksi,0
Madukara,2021,Luas,0
Madukara,2022,Jenis Kolam Luas,0.6
Madukara,2022,Produksi,0
Madukara,2022,Luas,0
Madukara,2023,Jenis Kolam Luas,0.6
Madukara,2023,Produksi,0
Madukara,2023,Luas,0
Madukara,2024,Jenis Kolam Luas,0.6
Madukara,2024,Produksi,0
Madukara,2024,Luas,0
Banjarmangu,2018,Jenis Kolam Luas,0.44
Banjarmangu,2018,Produksi,0
Banjarmangu,2018,Luas,0
Banjarmangu,2019,Jenis Kolam Luas,0.44
Banjarmangu,2019,Produksi,18210755
Banjarmangu,2020,Jenis Kolam Luas,0.44
Banjarmangu,2020,Produksi,0
Banjarmangu,2020,Luas,0
Banjarmangu,2021,Jenis Kolam Luas,0.44
Banjarmangu,2021,Produksi,0
Banjarmangu,2021,Luas,0
Banjarmangu,2022,Jenis Kolam Luas,0.44
Banjarmangu,2022,Produksi,0
Banjarmangu,2022,Luas,0
Banjarmangu,2023,Jenis Kolam Luas,0.44
Banjarmangu,2023,Produksi,0
Banjarmangu,2023,Luas,0
Banjarmangu,2024,Jenis Kolam Luas,0.44
Banjarmangu,2024,Produksi,0
Banjarmangu,2024,Luas,0
Wanadadi,2018,Jenis Kolam Luas,4.43
Wanadadi,2018,Produksi,0
Wanadadi,2018,Luas,0
Wanadadi,2019,Jenis Kolam Luas,4.43
Wanadadi,2019,Produksi,72631265
Wanadadi,2020,Jenis Kolam Luas,4.43
Wanadadi,2020,Produksi,0
Wanadadi,2020,Luas,0
Wanadadi,2021,Jenis Kolam Luas,4.43
Wanadadi,2021,Produksi,0
Wanadadi,2021,Luas,0
Wanadadi,2022,Jenis Kolam Luas,4.43
Wanadadi,2022,Produksi,0
Wanadadi,2022,Luas,0
Wanadadi,2023,Jenis Kolam Luas,4.43
Wanadadi,2023,Produksi,0
Wanadadi,2023,Luas,0
Wanadadi,2024,Jenis Kolam Luas,4.43
Wanadadi,2024,Produksi,0
Wanadadi,2024,Luas,0
Rakit,2018,Jenis Kolam Luas,19.6
Rakit,2018,Produksi,0
Rakit,2018,Luas,0
Rakit,2019,Jenis Kolam Luas,19.6
Rakit,2019,Produksi,785391729
Rakit,2020,Jenis Kolam Luas,19.6
Rakit,2020,Produksi,0
Rakit,2020,Luas,0
Rakit,2021,Jenis Kolam Luas,19.6
Rakit,2021,Produksi,0
Rakit,2021,Luas,0
Rakit,2022,Jenis Kolam Luas,19.6
Rakit,2022,Produksi,0
Rakit,2022,Luas,0
Rakit,2023,Jenis Kolam Luas,19.6
Rakit,2023,Produksi,0
Rakit,2023,Luas,0
Rakit,2024,Jenis Kolam Luas,19.6
Rakit,2024,Produksi,0
Rakit,2024,Luas,0
Punggelan,2018,Jenis Kolam Luas,0.32
Punggelan,2018,Produksi,0
Punggelan,2018,Luas,0
Punggelan,2019,Jenis Kolam Luas,0.32
Punggelan,2019,Produksi,2329283
Punggelan,2020,Jenis Kolam Luas,0.32
Punggelan,2020,Produksi,0
Punggelan,2020,Luas,0
Punggelan,2021,Jenis Kolam Luas,0.32
Punggelan,2021,Produksi,0
Punggelan,2021,Luas,0
Punggelan,2022,Jenis Kolam Luas,0.32
Punggelan,2022,Produksi,0
Punggelan,2022,Luas,0
Punggelan,2023,Jenis Kolam Luas,0.32
Punggelan,2023,Produksi,0
Punggelan,2023,Luas,0
Punggelan,2024,Jenis Kolam Luas,0.32
Punggelan,2024,Produksi,0
Punggelan,2024,Luas,0
Karangkobar,2018,Jenis Kolam Luas,0.2
Karangkobar,2018,Produksi,0
Karangkobar,2018,Luas,0
Karangkobar,2019,Jenis Kolam Luas,0.2
Karangkobar,2019,Produksi,1482271
Karangkobar,2020,Jenis Kolam Luas,0.2
Karangkobar,2020,Produksi,0
Karangkobar,2020,Luas,0
Karangkobar,2021,Jenis Kolam Luas,0.2
Karangkobar,2021,Produksi,0
Karangkobar,2021,Luas,0
Karangkobar,2022,Jenis Kolam Luas,0.2
Karangkobar,2022,Produksi,0
Karangkobar,2022,Luas,0
Karangkobar,2023,Jenis Kolam Luas,0.2
Karangkobar,2023,Produksi,0
Karangkobar,2023,Luas,0
Karangkobar,2024,Jenis Kolam Luas,0.2
Karangkobar,2024,Produksi,0
Karangkobar,2024,Luas,0
Pagentan,2018,Jenis Kolam Luas,0.25
Pagentan,2018,Produksi,0
Pagentan,2018,Luas,0
Pagentan,2019,Jenis Kolam Luas,0.25
Pagentan,2019,Produksi,1905777
Pagentan,2020,Jenis Kolam Luas,0.25
Pagentan,2020,Produksi,0
Pagentan,2020,Luas,0
Pagentan,2021,Jenis Kolam Luas,0.25
Pagentan,2021,Produksi,0
Pagentan,2021,Luas,0
Pagentan,2022,Jenis Kolam Luas,0.25
Pagentan,2022,Produksi,0
Pagentan,2022,Luas,0
Pagentan,2023,Jenis Kolam Luas,0.25
Pagentan,2023,Produksi,0
Pagentan,2023,Luas,0
Pagentan,2024,Jenis Kolam Luas,0.25
Pagentan,2024,Produksi,0
Pagentan,2024,Luas,0
Pejawaran,2018,Jenis Kolam Luas,0.53
Pejawaran,2018,Produksi,0
Pejawaran,2018,Luas,0
Pejawaran,2019,Jenis Kolam Luas,0.53
Pejawaran,2019,Produksi,1694024
Pejawaran,2020,Jenis Kolam Luas,0.53
Pejawaran,2020,Produksi,0
Pejawaran,2020,Luas,0
Pejawaran,2021,Jenis Kolam Luas,0.53
Pejawaran,2021,Produksi,0
Pejawaran,2021,Luas,0
Pejawaran,2022,Jenis Kolam Luas,0.53
Pejawaran,2022,Produksi,0
Pejawaran,2022,Luas,0
Pejawaran,2023,Jenis Kolam Luas,0.53
Pejawaran,2023,Produksi,0
Pejawaran,2023,Luas,0
Pejawaran,2024,Jenis Kolam Luas,0.53
Pejawaran,2024,Produksi,0
Pejawaran,2024,Luas,0
Batur,2018,Jenis Kolam Luas,0
Batur,2018,Produksi,0
Batur,2018,Luas,0
Batur,2020,Produksi,0
Batur,2020,Luas,0
Batur,2021,Jenis Kolam Luas,0
Batur,2021,Produksi,0
Batur,2021,Luas,0
Batur,2022,Jenis Kolam Luas,0
Batur,2022,Produksi,0
Batur,2022,Luas,0
Batur,2023,Jenis Kolam Luas,0
Batur,2023,Produksi,0
Batur,2023,Luas,0
Batur,2024,Jenis Kolam Luas,0
Batur,2024,Produksi,0
Batur,2024,Luas,0
Wanayasa,2018,Jenis Kolam Luas,0.2
Wanayasa,2018,Produksi,0
Wanayasa,2018,Luas,0
Wanayasa,2019,Jenis Kolam Luas,0.2
Wanayasa,2019,Produksi,423506
Wanayasa,2020,Jenis Kolam Luas,0.2
Wanayasa,2020,Produksi,0
Wanayasa,2020,Luas,0
Wanayasa,2021,Jenis Kolam Luas,0.2
Wanayasa,2021,Produksi,0
Wanayasa,2021,Luas,0
Wanayasa,2022,Jenis Kolam Luas,0.2
Wanayasa,2022,Produksi,0
Wanayasa,2022,Luas,0
Wanayasa,2023,Jenis Kolam Luas,0.2
Wanayasa,2023,Produksi,0
Wanayasa,2023,Luas,0
Wanayasa,2024,Jenis Kolam Luas,0.2
Wanayasa,2024,Produksi,0
Wanayasa,2024,Luas,0
Kalibening,2018,Jenis Kolam Luas,0.2
Kalibening,2018,Produksi,0
Kalibening,2018,Luas,0
Kalibening,2019,Jenis Kolam Luas,0.2
Kalibening,2019,Produksi,635259
Kalibening,2020,Jenis Kolam Luas,0.2
Kalibening,2020,Produksi,0
Kalibening,2020,Luas,0
Kalibening,2021,Jenis Kolam Luas,0.2
Kalibening,2021,Produksi,0
Kalibening,2021,Luas,0
Kalibening,2022,Jenis Kolam Luas,0.2
Kalibening,2022,Produksi,0
Kalibening,2022,Luas,0
Kalibening,2023,Jenis Kolam Luas,0.2
Kalibening,2023,Produksi,0
Kalibening,2023,Luas,0
Kalibening,2024,Jenis Kolam Luas,0.2
Kalibening,2024,Produksi,0
Kalibening,2024,Luas,0
Pandanarum,2018,Jenis Kolam Luas,0
Pandanarum,2018,Produksi,0
Pandanarum,2018,Luas,0
Pandanarum,2020,Produksi,0
Pandanarum,2020,Luas,0
Pandanarum,2021,Jenis Kolam Luas,0
Pandanarum,2021,Produksi,0
Pandanarum,2021,Luas,0
Pandanarum,2022,Jenis Kolam Luas,0
Pandanarum,2023,Jenis Kolam Luas,0
Pandanarum,2023,Produksi,0
Pandanarum,2023,Luas,0
Pandanarum,2024,Jenis Kolam Luas,0
Pandanarum,2024,Produksi,0
Pandanarum,2024,Luas,0
Jumlah,2018,Jenis Kolam Luas,68.93
Jumlah,2018,Produksi,5620000
Jumlah,2018,Luas,2
Jumlah,2019,Jenis Kolam Luas,68.93
Jumlah,2019,Produksi,6595000
Jumlah,2019,Luas,2
Jumlah,2020,Jenis Kolam Luas,68.93
Jumlah,2020,Produksi,7225000
Jumlah,2020,Luas,2
Jumlah,2021,Jenis Kolam Luas,68.93
Jumlah,2021,Produksi,6000000
Jumlah,2021,Luas,1
Jumlah,2022,Jenis Kolam Luas,68.93
Jumlah,2022,Produksi,7703000
Jumlah,2022,Luas,1
Jumlah,2023,Jenis Kolam Luas,68.93
Jumlah,2023,Produksi,0
Jumlah,2023,Luas,1
Jumlah,2024,Jenis Kolam Luas,68.93
Jumlah,2024,Produksi,6425000
Jumlah,2024,Luas,1
