Kecamatan,Agloenema (m2) 2019,Krisan (m2) 2019,Mawar (m2) 2019,Soka (m2) 2019,Agloenema (m2) 2020,Krisan (m2) 2020,Mawar (m2) 2020,Soka (m2) 2020,Agloenema (m2) 2021,Krisan (m2) 2021,Mawar (m2) 2021,Soka (m2) 2021,Agloenema (m2) 2022,Krisan (m2) 2022,Mawar (m2) 2022,Soka (m2) 2022,Agloenema (m2) 2023,Krisan (m2) 2023,Mawar (m2) 2023,Soka (m2) 2023,Agloenema (m2) 2024,Krisan (m2) 2024,Mawar (m2) 2024,Soka (m2) 2024,Tahun
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,0,0,2024
Madukara,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Madukara,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Madukara,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Madukara,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2022
Madukara,,,,,,,,,,,,,,,,,0,0,0,0,,,,,2023
Madukara,,,,,,,,,,,,,,,,,,,,,,,0,0,2024
Mandiraja,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Mandiraja,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Mandiraja,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Mandiraja,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2022
Mandiraja,,,,,,,,,,,,,,,,,0,0,0,0,,,,,2023
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,0,0,2024
Pagedongan,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Pagedongan,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Pagedongan,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Pagedongan,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2022
Pagedongan,,,,,,,,,,,,,,,,,0,0,0,0,,,,,2023
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,0,0,2024
Pagentan,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Pagentan,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Pagentan,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Pagentan,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2022
Pagentan,,,,,,,,,,,,,,,,,0,0,0,0,,,,,2023
Pagentan,,,,,,,,,,,,,,,,,,,,,,,0,0,2024
Pandanarum,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Pandanarum,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Pandanarum,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Pandanarum,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2022
Pandanarum,,,,,,,,,,,,,,,,,0,0,0,0,,,,,2023
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,0,0,2024
Pejawaran,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Pejawaran,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Pejawaran,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Pejawaran,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2022
Pejawaran,,,,,,,,,,,,,,,,,0,0,0,0,,,,,2023
Pejawaran,,,,,,,,,,,,,,,,,,,,,,,0,0,2024
Punggelan,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Punggelan,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Punggelan,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Punggelan,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2022
Punggelan,,,,,,,,,,,,,,,,,0,0,0,0,,,,,2023
Punggelan,,,,,,,,,,,,,,,,,,,,,,,0,0,2024
Purwonegoro,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Purwonegoro,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Purwonegoro,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Purwonegoro,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2022
Purwonegoro,,,,,,,,,,,,,,,,,0,0,0,0,,,,,2023
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,0,0,2024
Purworejo Klampok,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Purworejo Klampok,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Purworejo Klampok,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Purworejo Klampok,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2022
Purworejo Klampok,,,,,,,,,,,,,,,,,0,0,0,0,,,,,2023
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,0,0,2024
Rakit,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Rakit,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Rakit,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Rakit,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2022
Rakit,,,,,,,,,,,,,,,,,0,0,0,0,,,,,2023
Rakit,,,,,,,,,,,,,,,,,,,,,,,0,0,2024
Sigaluh,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Sigaluh,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Sigaluh,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Sigaluh,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2022
Sigaluh,,,,,,,,,,,,,,,,,0,0,0,0,,,,,2023
Sigaluh,,,,,,,,,,,,,,,,,,,,,,,0,0,2024
Susukan,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Susukan,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Susukan,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Susukan,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2022
Susukan,,,,,,,,,,,,,,,,,0,0,0,0,,,,,2023
Susukan,,,,,,,,,,,,,,,,,,,,,,,0,0,2024
Wanadadi,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
