Kecamatan, Hasil Obyek Perairan Umum Sungai Produksi (Kg),Hasil Obyek Perairan Umum Sungai Dipelihara Sendiri (Kg),Hasil Obyek Perairan Umum Sungai Dijual ke lain daerah (Kg),Hasil Obyek Perairan Umum Waduk Produksi (Kg),Hasil Obyek Perairan Umum Waduk Dipelihara Sendiri (Kg),Hasil Obyek Perairan Umum Waduk Dijual ke lain daerah (Kg),Hasil Obyek Perikanan Jaring Apung Produksi,Hasil Obyek Perikanan Jaring Apung dipelihara sendiri,Hasil Obyek Perikanan Jaring Apung dijual ke lain daerah ,Hasil Obyek Perairan Umum Telaga/Rawa Produksi ,Hasil Obyek Perairan Umum Telaga/Rawa dipelihara sendiri,Hasil Obyek Perairan Umum Telaga/Rawa dijual kelain daerah,Tahun 
Purwanegara,"67,392","44,479","22,913", - , - , - , - , - , - , - , - , - ,2021
Bawang,"18,450","10,332","8,118","221,220","66,366","154,854"," 25,383 "," 25,383 ", - , - , - , - ,2021
Banjarnegara,"34,881","16,743","18,138", - , - , - , - , - , - , - , - , - ,2021
Pagedongan,"10,910","7,201","3,709", - , - , - , - , - , - ," 1,381 "," 1,381 ", - ,2021
Sigaluh,"15,555","5,755","9,800", - , - , - , - , - , - , - , - , - ,2021
Madukara,"16,484","16,848",-364, - , - , - , - , - , - , - , - , - ,2021
Banjarmangu,"29,488","29,488", - , - , - , - , - , - , - , - , - , - ,2021
Wanadadi,"82,509","27,996","54,513","429,426","128,828","300,598"," 378,024 "," 378,024 ", - , - , - , - ,2021
Rakit,"55,881","30,218","25,663", - , - , - , - , - , - , - , - , - ,2021
Punggelan,"21,911","16,728","5,183", - , - , - , - , - , - , - , - , - ,2021
Karangkobar,"10,218","5,092","5,126", - , - , - , - , - , - , - , - , - ,2021
Pagentan,"11,857","10,309","1,548", - , - , - , - , - , - , - , - , - ,2021
Pejawaran,"5,446","5,446", - , - , - , - , - , - , - , - , - , - ,2021
Batur,"2,605","2,605", - , - , - , - , - , - , - ," 2,881 "," 2,881 ", - ,2021
Wanayasa,"17,558","12,287","5,271", - , - , - , - , - , - , - , - , - ,2021
Kalibening,"19,871","14,749","5,122", - , - , - , - , - , - , - , - , - ,2021
Pandanarum,"11,366","11,366", - , - , - , - , - , - , - , - , - , - ,2021
Susukan,"22,074","15,452","6,622", - , - , - , - , - , - , - , - , - ,2022
Purwareja Klampok,"16,736","6,192","10,544", - , - , - , - , - , - , - , - , - ,2022
Mandiraja,"61,048","28,082","32,966", - , - , - , - , - , - , - , - , - ,2022
Purwanegara,"40,552","26,764","13,788", - , - , - , - , - , - , - , - , - ,2022
Bawang,"11,103","6,218","4,885","156,673","47,002","109,671"," 8,345 "," 8,345 ", - , - , - , - ,2022
Banjarnegara,"20,988","10,074","10,914", - , - , - , - , - , - , - , - , - ,2022
Pagedongan,"6,565","4,333","2,232", - , - , - , - , - , - ," 1,081 "," 1,081 ", - ,2022
Sigaluh,"9,359","3,463","5,896", - , - , - , - , - , - , - , - , - ,2022
Madukara,"9,918","9,918", - , - , - , - , - , - , - , - , - , - ,2022
Banjarmangu,"17,743","17,743", - , - , - , - , - , - , - , - , - , - ,2022
Wanadadi,"49,649","16,846","32,803","304,129","91,239","212,890"," 345,643 "," 345,643 ", - , - , - , - ,2022
Rakit,"33,625","18,183","15,442", - , - , - , - , - , - , - , - , - ,2022
Punggelan,"13,185","10,066","3,119", - , - , - , - , - , - , - , - , - ,2022
Karangkobar,"6,147","3,063","3,084", - , - , - , - , - , - , - , - , - ,2022
Pagentan,"7,135","6,203",932, - , - , - , - , - , - , - , - , - ,2022
Pejawaran,"3,278","3,278", - , - , - , - , - , - , - , - , - , - ,2022
Batur,"1,569","1,569", - , - , - , - , - , - , - ," 2,255 "," 2,255 ", - ,2022
Wanayasa,"10,565","7,393","3,172", - , - , - , - , - , - , - , - , - ,2022
Kalibening,"11,957","8,875","3,082", - , - , - , - , - , - , - , - , - ,2022
Pandanarum,"6,838","6,838", - , - , - , - , - , - , - , - , - , - ,2022
Susukan,"26,755","18,729","8,026", - , - , - , - , - , - , - , - , - ,2023
