Kecamatan,Bawang Merah (ha) 2017,Cabai Besar (ha) 2017,Kentang (ha) 2017,Kubis (ha) 2017,Petsai (ha) 2017,Tomat (ha) 2017,Bawang Putih (ha) 2017,Cabai Rawit (ha) 2017,Bawang Merah (ha) 2018,Cabai Besar (ha) 2018,Kentang (ha) 2018,Kubis (ha) 2018,Petsai (ha) 2018,Tomat (ha) 2018,Bawang Putih (ha) 2018,Cabai Rawit (ha) 2018,Bawang Merah (ha) 2019,Cabai Besar (ha) 2019,Kentang (ha) 2019,Kubis (ha) 2019,Petsai (ha) 2019,Tomat (ha) 2019,Bawang Putih (ha) 2019,Cabai Rawit (ha) 2019,Bawang Merah (ha) 2021,Cabai Besar (ha) 2021,Kentang (ha) 2021,Kubis (ha) 2021,Petsai (ha) 2021,Tomat (ha) 2021,Bawang Putih (ha) 2021,Cabai Rawit (ha) 2021,Bawang Merah (ha) 2023,Cabai Besar (ha) 2023,Kentang (ha) 2023,Kubis (ha) 2023,Petsai (ha) 2023,Tomat (ha) 2023,Bawang Putih (ha) 2023,Cabai Rawit (ha) 2023,Bawang Merah (ha) 2020,Cabai Besar (ha) 2020,Kentang (ha) 2020,Kubis (ha) 2020,Petsai (ha) 2020,Tomat (ha) 2020,Bawang Putih (ha) 2020,Cabai Rawit (ha) 2020,Bawang Merah (ha) 2022,Cabai Besar (ha) 2022,Kentang (ha) 2022,Kubis (ha) 2022,Petsai (ha) 2022,Tomat (ha) 2022,Bawang Putih (ha) 2022,Cabai Rawit (ha) 2022,Bawang Merah (ha) 2024,Cabai Besar (ha) 2024,Kentang (ha) 2024,Kubis (ha) 2024,Petsai (ha) 2024,Tomat (ha) 2024,Bawang Putih (ha) 2024,Cabai Rawit (ha) 2024,Tahun
Kalibening,,,,,,,,,,,,,,,,,,,,,,,,,0,131,37,117,35,26,0,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Kalibening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,191,22,82,40,23,0,160,,,,,,,,,2022
Kalibening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,21,97,29,26,0,120,,,,,,,,,,,,,,,,,,,,,,,,,2023
Kalibening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,321,14,115,31,56.5,0,227,2024
Karangkobar,0,0,0,359,0,54,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Karangkobar,,,,,,,,,0,91,0,274,0,44,0,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Karangkobar,,,,,,,,,,,,,,,,,0,58,0,188,39,32,46,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,45,0,126,36,21,0,114,,,,,,,,,,,,,,,,,2020
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,,0,33,0,107,18,16,0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,75,0,102,33,28,0,70,,,,,,,,,2022
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,0,57,28,30,0,84,,,,,,,,,,,,,,,,,,,,,,,,,2023
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,290,0,55,30,56,0,219,2024
Madukara,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Madukara,,,,,,,,,0,3,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
