Kecamatan,Bawang Merah,Cabai Besar,Kentang,Kubis,Petsai,Tomat,Bawang Putih,Cabai Rawit,Tahun 
14. Karangkobar, - , 33 , - , 107 , 18 , 16 , - , 53 ,2021
15. Pagentan, - , 586 , - , 173 , 42 , 33 , 32 , 139 ,2021
16. Pejawaran, - , 451 ," 2,303 ", 668 , 198 , 189 , 48 ," 1,148 ",2021
17. Batur, - , - ," 3,478 ", 891 , - , - , - , - ,2021
18. Wanayasa, - , 102 , 307 , 249 , - , 16 , - , 71 ,2021
19. Kalibening, - , 131 , 37 , 117 , 35 , 26 , - , 124 ,2021
20. Pandanarum, - , 14 , - , - , - , - , - , 17 ,2021
1. Susukan, - , - , - , - , - , - , - , - ,2022
2. Purwareja Klampok, - , - , - , - , - , - , - , - ,2022
3. Mandiraja, 1 , 37 , - , - , - , - , - , 4 ,2022
4. Purwanegara, 2 , 639 , - , - , - , 26 , - , 38 ,2022
5. Bawang, - , 178 , - , - , - , 17 , - , 143 ,2022
6. Banjarnegara, - , - , - , - , - , - , - , - ,2022
7. Pagedongan, - , - , - , - , - , - , - , 39 ,2022
8. Sigaluh, - , - , - , - , - , - , - , - ,2022
9. Madukara, - , 2 , - , - , - , - , - , - ,2022
10. Banjarmangu, - , 1 , - , - , - , 1 , - , 1 ,2022
11. Wanadadi, - , - , - , - , - , 3 , - , 4 ,2022
12. Rakit, - , 6 , - , - , - , 1 , - , - ,2022
13. Punggelan, - , - , - , - , - , - , - , 2 ,2022
14. Karangkobar, - , 75 , - , 102 , 33 , 28 , - , 70 ,2022
15. Pagentan, - , 320 , - , 130 , 41 , 40 , - , 531 ,2022
16. Pejawaran, - , 618 ," 2,415 ", 708 , 258 , 213 , - ," 1,951 ",2022
17. Batur, - , - ," 4,325 ", 965 , - , - , - , - ,2022
18. Wanayasa, - , 90 , 290 , 251 , 81 , 16 , - , 87 ,2022
19. Kalibening, - , 191 , 22 , 82 , 40 , 23 , - , 160 ,2022
20. Pandanarum, - , 16 , - , - , - , 1 , - , 17 ,2022
1. Susukan, - , - , - , - , - , - , - , - ,2023
2. Purwareja Klampok, - , - , - , - , - , - , - , - ,2023
3. Mandiraja, 1 , 14 , - , - , - , - , - , 1 ,2023
4. Purwanegara, 9 , 353 , - , - , - , 13 , - , 43 ,2023
5. Bawang, - , 142 , - , - , - , 12 , - , 178 ,2023
6. Banjarnegara, - , - , - , - , - , - , - , 1 ,2023
