kecamatan,tahun,metric,value
Sigaluh,2019,Produksi,1870.74
Sigaluh,2019,Rata-rata Produksi,61.7
Sigaluh,2020,Luas Panen,0
Sigaluh,2020,Produksi,0
Sigaluh,2020,Rata-rata Produksi,0
Sigaluh,2021,Luas Panen,0
Sigaluh,2021,Produksi,0
Sigaluh,2021,Rata-rata Produksi,0
Sigaluh,2022,Luas Panen,311.4
Sigaluh,2022,Produksi,2327
Sigaluh,2022,Rata-rata Produksi,74.73
Sigaluh,2023,Luas Panen,305
Sigaluh,2023,Produksi,2215
Sigaluh,2023,Rata-rata Produksi,72.62
Sigaluh,2024,Luas Panen,364
Sigaluh,2024,Produksi,2716.45
Sigaluh,2024,Rata-rata Produksi,74.63
Madukara,2018,Luas Panen,0
Madukara,2018,Produksi,0
Madukara,2018,Rata-rata Produksi,0
Madukara,2019,Luas Panen,805.7
Madukara,2019,Produksi,4941.36
Madukara,2019,Rata-rata Produksi,61.33
Madukara,2020,Luas Panen,0
Madukara,2020,Produksi,0
Madukara,2020,Rata-rata Produksi,0
Madukara,2021,Luas Panen,0
Madukara,2021,Produksi,0
Madukara,2021,Rata-rata Produksi,0
Madukara,2022,Luas Panen,1208.9
Madukara,2022,Produksi,7857.99
Madukara,2022,Rata-rata Produksi,65
Madukara,2023,Luas Panen,398
Madukara,2023,Produksi,2587
Madukara,2023,Rata-rata Produksi,65
Madukara,2024,Luas Panen,1016
Madukara,2024,Produksi,6677.51
Madukara,2024,Rata-rata Produksi,65.72
Banjarmangu,2018,Luas Panen,0
Banjarmangu,2018,Produksi,0
Banjarmangu,2018,Rata-rata Produksi,0
Banjarmangu,2019,Luas Panen,1590.4
Banjarmangu,2019,Produksi,9837.94
Banjarmangu,2019,Rata-rata Produksi,61.86
Banjarmangu,2020,Luas Panen,0
Banjarmangu,2020,Produksi,0
Banjarmangu,2020,Rata-rata Produksi,0
Banjarmangu,2021,Luas Panen,0
Banjarmangu,2021,Produksi,0
Banjarmangu,2021,Rata-rata Produksi,0
Banjarmangu,2022,Luas Panen,1501.6
Banjarmangu,2022,Produksi,8953.41
Banjarmangu,2022,Rata-rata Produksi,59.63
Banjarmangu,2023,Luas Panen,972
Banjarmangu,2023,Produksi,5505.8
Banjarmangu,2023,Rata-rata Produksi,56.64
Banjarmangu,2024,Luas Panen,1115
Banjarmangu,2024,Produksi,6677.51
Banjarmangu,2024,Rata-rata Produksi,59.89
Wanadadi,2018,Luas Panen,0
Wanadadi,2018,Produksi,0
Wanadadi,2018,Rata-rata Produksi,0
Wanadadi,2019,Luas Panen,1376.9
Wanadadi,2019,Produksi,8583.67
Wanadadi,2019,Rata-rata Produksi,62.34
Wanadadi,2020,Luas Panen,0
Wanadadi,2020,Produksi,0
Wanadadi,2020,Rata-rata Produksi,0
Wanadadi,2021,Luas Panen,0
Wanadadi,2021,Produksi,0
Wanadadi,2021,Rata-rata Produksi,0
Wanadadi,2022,Luas Panen,1414
Wanadadi,2022,Produksi,9999.8
Wanadadi,2022,Rata-rata Produksi,70.72
Wanadadi,2023,Luas Panen,1241
Wanadadi,2023,Produksi,9103.6
Wanadadi,2023,Rata-rata Produksi,73.36
Wanadadi,2024,Luas Panen,1638.84
Wanadadi,2024,Produksi,12017.48
Wanadadi,2024,Rata-rata Produksi,73.33
Rakit,2018,Luas Panen,0
Rakit,2018,Produksi,0
Rakit,2018,Rata-rata Produksi,0
Rakit,2019,Luas Panen,1469.3
Rakit,2019,Produksi,9050.08
Rakit,2019,Rata-rata Produksi,61.59
Rakit,2020,Luas Panen,0
Rakit,2020,Produksi,0
Rakit,2020,Rata-rata Produksi,0
Rakit,2021,Luas Panen,35
Rakit,2021,Produksi,122.5
Rakit,2021,Rata-rata Produksi,35
Rakit,2022,Luas Panen,1611
Rakit,2022,Produksi,10989
Rakit,2022,Rata-rata Produksi,68.21
Rakit,2023,Luas Panen,1073
Rakit,2023,Produksi,7532
Rakit,2023,Rata-rata Produksi,70.2
Rakit,2024,Luas Panen,1529.75
Rakit,2024,Produksi,10836.78
Rakit,2024,Rata-rata Produksi,70.84
Punggelan,2018,Luas Panen,1
Punggelan,2018,Produksi,0
Punggelan,2018,Rata-rata Produksi,0
Punggelan,2019,Luas Panen,1589.9
Punggelan,2019,Produksi,9300.92
Punggelan,2019,Rata-rata Produksi,58.5
Punggelan,2020,Luas Panen,0
Punggelan,2020,Produksi,0
Punggelan,2020,Rata-rata Produksi,0
Punggelan,2021,Luas Panen,0
Punggelan,2021,Produksi,0
Punggelan,2021,Rata-rata Produksi,0
Punggelan,2022,Luas Panen,1989
Punggelan,2022,Produksi,13724
Punggelan,2022,Rata-rata Produksi,69
Punggelan,2023,Luas Panen,1606
Punggelan,2023,Produksi,9993.6
Punggelan,2023,Rata-rata Produksi,62.23
Punggelan,2024,Luas Panen,1860.64
Punggelan,2024,Produksi,12677.51
Punggelan,2024,Rata-rata Produksi,68.14
Karangkobar,2018,Luas Panen,0
Karangkobar,2018,Produksi,0
Karangkobar,2018,Rata-rata Produksi,0
Karangkobar,2019,Luas Panen,607.4
Karangkobar,2019,Produksi,3413.59
Karangkobar,2019,Rata-rata Produksi,56.2
Karangkobar,2020,Luas Panen,0
Karangkobar,2020,Produksi,0
Karangkobar,2020,Rata-rata Produksi,0
Karangkobar,2021,Luas Panen,0
Karangkobar,2021,Produksi,0
Karangkobar,2021,Rata-rata Produksi,0
Karangkobar,2022,Luas Panen,331
Karangkobar,2022,Produksi,1919
Karangkobar,2022,Rata-rata Produksi,57.98
Karangkobar,2023,Luas Panen,362
Karangkobar,2023,Produksi,2044
Karangkobar,2023,Rata-rata Produksi,56.46
Karangkobar,2024,Luas Panen,668
Karangkobar,2024,Produksi,4071.05
Karangkobar,2024,Rata-rata Produksi,60.94
Pagentan,2018,Luas Panen,0
Pagentan,2018,Produksi,0
Pagentan,2018,Rata-rata Produksi,0
Pagentan,2019,Luas Panen,534.9
Pagentan,2019,Produksi,3064.98
Pagentan,2019,Rata-rata Produksi,57.3
Pagentan,2020,Luas Panen,0
Pagentan,2020,Produksi,0
Pagentan,2020,Rata-rata Produksi,0
Pagentan,2021,Luas Panen,0
Pagentan,2021,Produksi,0
Pagentan,2021,Rata-rata Produksi,0
Pagentan,2022,Luas Panen,582
Pagentan,2022,Produksi,2831
Pagentan,2022,Rata-rata Produksi,48.64
Pagentan,2023,Luas Panen,424
Pagentan,2023,Produksi,2081
Pagentan,2023,Rata-rata Produksi,49.08
Pagentan,2024,Luas Panen,730
Pagentan,2024,Produksi,3617.55
Pagentan,2024,Rata-rata Produksi,49.56
Pejawaran,2018,Luas Panen,0
Pejawaran,2018,Produksi,0
Pejawaran,2018,Rata-rata Produksi,0
Pejawaran,2019,Luas Panen,226.9
Pejawaran,2019,Produksi,1202.57
Pejawaran,2019,Rata-rata Produksi,53
Pejawaran,2020,Luas Panen,0
Pejawaran,2020,Produksi,0
Pejawaran,2020,Rata-rata Produksi,0
Pejawaran,2021,Luas Panen,0
Pejawaran,2021,Produksi,0
Pejawaran,2021,Rata-rata Produksi,0
Pejawaran,2022,Luas Panen,177
Pejawaran,2022,Produksi,884.92
Pejawaran,2022,Rata-rata Produksi,50
Pejawaran,2023,Luas Panen,151
Pejawaran,2023,Produksi,847.5
Pejawaran,2023,Rata-rata Produksi,56.13
Pejawaran,2024,Luas Panen,184
Pejawaran,2024,Produksi,1045.22
Pejawaran,2024,Rata-rata Produksi,56.81
Batur,2018,Luas Panen,0
Batur,2018,Produksi,0
Batur,2018,Rata-rata Produksi,0
Batur,2020,Luas Panen,0
Batur,2020,Produksi,0
Batur,2020,Rata-rata Produksi,0
Batur,2021,Luas Panen,0
Batur,2021,Produksi,0
Batur,2021,Rata-rata Produksi,0
Batur,2022,Luas Panen,0
Batur,2022,Produksi,0
Batur,2022,Rata-rata Produksi,0
Batur,2023,Luas Panen,0
Batur,2023,Produksi,0
Batur,2023,Rata-rata Produksi,0
Batur,2024,Luas Panen,0
Batur,2024,Produksi,0
Batur,2024,Rata-rata Produksi,0
Wanayasa,2018,Luas Panen,0
Wanayasa,2018,Produksi,0
Wanayasa,2018,Rata-rata Produksi,0
Wanayasa,2019,Luas Panen,316.6
Wanayasa,2019,Produksi,1370.88
Wanayasa,2019,Rata-rata Produksi,43.3
Wanayasa,2020,Luas Panen,0
Wanayasa,2020,Produksi,0
Wanayasa,2020,Rata-rata Produksi,0
Wanayasa,2021,Luas Panen,0
Wanayasa,2021,Produksi,0
Wanayasa,2021,Rata-rata Produksi,0
Wanayasa,2022,Luas Panen,88
Wanayasa,2022,Produksi,264
Wanayasa,2022,Rata-rata Produksi,30
Wanayasa,2023,Luas Panen,75
Wanayasa,2023,Produksi,287
Wanayasa,2023,Rata-rata Produksi,38.27
Wanayasa,2024,Luas Panen,176
Wanayasa,2024,Produksi,745.22
Wanayasa,2024,Rata-rata Produksi,42.34
Kalibening,2018,Luas Panen,0
Kalibening,2018,Produksi,0
Kalibening,2018,Rata-rata Produksi,0
Kalibening,2019,Luas Panen,1288.2
Kalibening,2019,Produksi,7117.31
Kalibening,2019,Rata-rata Produksi,55.25
Kalibening,2020,Luas Panen,0
Kalibening,2020,Produksi,0
Kalibening,2020,Rata-rata Produksi,0
Kalibening,2021,Luas Panen,0
Kalibening,2021,Produksi,0
Kalibening,2021,Rata-rata Produksi,0
Kalibening,2022,Luas Panen,1558
Kalibening,2022,Produksi,8607
Kalibening,2022,Rata-rata Produksi,55.24
Kalibening,2023,Luas Panen,1602
Kalibening,2023,Produksi,10251
Kalibening,2023,Rata-rata Produksi,63.99
Kalibening,2024,Luas Panen,1815
Kalibening,2024,Produksi,11497.51
Kalibening,2024,Rata-rata Produksi,63.35
Pandanarum,2018,Luas Panen,0
Pandanarum,2018,Produksi,0
Pandanarum,2018,Rata-rata Produksi,0
Pandanarum,2019,Luas Panen,762.8
Pandanarum,2019,Produksi,4254.14
Pandanarum,2019,Rata-rata Produksi,55.77
Pandanarum,2020,Luas Panen,0
Pandanarum,2020,Produksi,0
Pandanarum,2020,Rata-rata Produksi,0
Pandanarum,2021,Luas Panen,0
Pandanarum,2021,Produksi,0
Pandanarum,2021,Rata-rata Produksi,0
Pandanarum,2022,Luas Panen,1084
Pandanarum,2022,Produksi,6069.92
Pandanarum,2022,Rata-rata Produksi,56
Pandanarum,2023,Luas Panen,833
Pandanarum,2023,Produksi,4498.2
Pandanarum,2023,Rata-rata Produksi,54
Pandanarum,2024,Luas Panen,1451
Pandanarum,2024,Produksi,8397.51
Pandanarum,2024,Rata-rata Produksi,57.87
Jumlah,2018,Luas Panen,546
Jumlah,2018,Produksi,1784.87
Jumlah,2018,Rata-rata Produksi,32.69
Jumlah,2019,Luas Panen,725.7
Jumlah,2019,Produksi,3229.32
Jumlah,2019,Rata-rata Produksi,44.5
Jumlah,2020,Luas Panen,740
Jumlah,2020,Produksi,3700
Jumlah,2020,Rata-rata Produksi,50
Jumlah,2021,Luas Panen,607
Jumlah,2021,Produksi,2403
Jumlah,2021,Rata-rata Produksi,39.17
Jumlah,2022,Luas Panen,25029.1
Jumlah,2022,Produksi,171559.15
Jumlah,2022,Rata-rata Produksi,68.54
Jumlah,2023,Luas Panen,21807
Jumlah,2023,Produksi,146881.4
Jumlah,2023,Rata-rata Produksi,67.36
Jumlah,2024,Luas Panen,25574.37
Jumlah,2024,Produksi,176197.01
Jumlah,2024,Rata-rata Produksi,68.9
