Kecamatan,Bawang Merah,Cabai Besar,Kentang,Kubis,Petsai,Tomat,Bawang Putih,Cabai Rawit,Tahun 
Pandanarum,0,16,0,0,0,1,0,17,2022
Susukan,0,0,0,0,0,0,0,0,2023
Purwareja Klampok,0,0,0,0,0,0,0,0,2023
Mandiraja,0,8,0,0,0,0,0,7,2023
Purwanegara,52,13009,0,0,0,632,0,870,2023
Bawang,0,691,0,0,0,87,0,680,2023
Banjarnegara,0,0,0,0,0,0,0,1,2023
Pagedongan,0,0,0,0,0,5,0,208,2023
Sigaluh,0,0,0,0,0,0,0,0,2023
Madukara,0,1,0,0,0,0,0,19,2023
Banjarmangu,0,0,0,0,0,9,0,9,2023
Wanadadi,0,1,0,0,0,35,0,19,2023
Rakit,0,25,0,0,0,14,0,13,2023
Punggelan,0,0,0,0,0,0,0,5,2023
Karangkobar,0,1153,0,930,261,1044,0,642,2023
Pagentan,0,5289,0,5,155,252,0,3967,2023
Pejawaran,0,6858,24947,1378,3348,12885,0,8138,2023
Batur,0,0,55245,22025,0,0,0,0,2023
Wanayasa,0,881,363,324,500,560,3,302,2023
Kalibening,0,1326,237,1136,130,198,0,597,2023
Pandanarum,0,35,0,0,0,0,0,18,2023
Susukan,0,0,0,0,0,0,0,0,2024
Purwareja Klampok,0,1,0,0,0,0,0,2,2024
Mandiraja,0,60,0,0,0,0,0,6,2024
Purwanegara,0,1425,0,0,0,161,0,2895,2024
Bawang,0,1756,0,0,0,270,0,281,2024
Banjarnegara,0,0,0,0,0,0,0,4,2024
Pagedongan,0,0,0,0,0,0,0,176,2024
Sigaluh,0,0,0,0,0,0,0,1,2024
Madukara,0,0,0,0,0,0,0,31,2024
Banjarmangu,0,0,0,0,0,0,0,2,2024
Wanadadi,0,2,0,0,0,35,0,16,2024
Rakit,0,33,0,0,0,10,0,12,2024
Punggelan,0,0,0,0,0,90,0,46,2024
Karangkobar,0,900,0,810,276,825,0,442,2024
Pagentan,0,3493,0,376,266,588,0,2035,2024
Pejawaran,0,2695,25194,48,1692,16553,0,363,2024
Batur,0,0,1103,1631,0,0,0,0,2024
Wanayasa,0,810,4035,4374,545,324,0,286,2024
Kalibening,0,1661,197,1495,137,226,0,681,2024
Pandanarum,0,1283,0,0,0,0,0,645,2024
