Kecamatan , Jenis Ternak Sapi Cow,Jenis Ternak Kerbau Buffalow,Jenis Ternak Babi Pig,Jenis Ternak Kambing Goat,Jenis Ternak Domba Sheep,Tahun 
Banjarnegara, 410 , - , - , 496 , 185 ,2024
Pagedongan, 143 , - , - , 355 , 67 ,2024
S i g a l u h, 188 , - , - , 258 , 69 ,2024
Madukara, 252 , - , - , 368 , 93 ,2024
Banjarmangu, 328 , - , - , 188 , 66 ,2024
Wanadadi, 376 , - , - , 294 , 70 ,2024
R a k i t, 220 , - , - , 331 , 65 ,2024
Punggelan, 598 , - , - , 755 , 68 ,2024
Karangkobar, 165 , - , - , 225 , 193 ,2024
Pagentan, 254 , - , - , 139 , 48 ,2024
Pejawaran, 449 , - , - , 150 , 197 ,2024
B a t u r, 502 , - , - , - , 663 ,2024
Wanayasa, 363 , - , - , 261 , 299 ,2024
Kalibening, 332 , - , - , 240 , 507 ,2024
Pandanarum, 232 , - , - , 309 , 73 ,2024
