Kecamatan,Jala Tebar Produksi (Kg),Jala Tebar Nilai (Ribu Rupiah),Pancing Produksi (Kg),Pancing Nilai (Ribu Rupiah),Jaring Ingsang Produksi (Kg),Jaring Ingsang Nilai (Ribu Rupiah),Lainnya Produksi (Kg),Lainnya Nilai (Ribu Rupiah),Tahun
Pagentan,2958,57484.4,2898,54590.4,,,1279,26519.9,2022
Pejawaran,1359,26402.2,1331,25073,,,588,12180.4,2022
Batur,771,15025.7,2772,53326.5,,,281,5825.4,2022
Wanayasa,4380,85122.8,4291,80837.4,,,1894,39270.6,2022
Kalibening,4957,96337.1,4856,91487.1,,,2144,44444.2,2022
Pandanarum,2835,55100.2,2777,52326.4,,,1226,25420,2022
Susukan,10291.33,201359.32,8380.33,163968.82,0,0,8083.59,158162.91,2023
Purwareja Klampok,7802.8,152668.97,6353.9,124319.8,0,0,6128.91,119917.81,2023
Mandiraja,28768.09,562873.97,22570.95,441621.29,0,0,22656.29,443290.99,2023
Purwanegara,19208.59,375833.71,15093.82,295324.39,0,0,14850.68,290567.05,2023
Bawang,12788.79,287842.23,15244.62,343116.58,44543.4,1002555.66,30017.97,675626.17,2023
Banjarnegara,9785.64,191464.99,7968.54,155911.77,0,0,7686.39,150391.15,2023
Pagedongan,3139.89,59513.02,3794.4,71918.51,0,0,2404.2,45568.98,2023
Sigaluh,4363.87,85383.03,3553.54,69528.22,0,0,3427.71,67066.32,2023
Madukara,4624.45,90481.61,3765.73,73680.04,0,0,3632.4,71071.13,2023
Banjarmangu,8372.91,163823.69,6636.71,129853.33,0,0,6498.17,127142.72,2023
Wanadadi,37925.2,837306.28,39622.88,874787.24,86766.6,1915618.45,68896.84,1521092.97,2023
Rakit,15677.14,306737.65,12766.05,249779.4,0,0,12314.02,240935.06,2023
Punggelan,6147.2,120275.55,5005.72,97941.53,0,0,4828.48,94473.56,2023
Karangkobar,2866.65,56088.6,2334.34,45673.48,0,0,2251.68,44056.25,2023
Pagentan,3326.54,65086.77,2708.83,53000.78,0,0,2612.92,51124.1,2023
Pejawaran,1527.86,29893.92,1244.15,24342.91,0,0,1200.1,23480.96,2023
Batur,895.65,17660.56,3311.09,65288.44,0,0,573.96,11317.38,2023
Wanayasa,4925.93,96380.41,4011.24,78483.49,0,0,3869.2,75704.5,2023
Kalibening,5574.89,109077.83,4539.69,88823.12,0,0,4378.94,85678.01,2023
Pandanarum,3188.57,62387.32,2596.48,50802.59,0,0,2504.55,49003.74,2023
