Kecamatan,Mangga,Durian,Jeruk Besar,Pisang,Pepaya,Salak,Jeruk Siam,Tahun 
Purwanegara, 696 ," 2,310 ", 35 , 876 ," 2,355 ", - , - ,2021
Bawang, 2 , 1 , - , 514 , 147 , 34 , - ,2021
Banjarnegara, 2 , 19 , - , 47 , 14 ," 8,620 ", - ,2021
Pagedongan, - , 33 , - ," 4,671 ", 113 , 214 , - ,2021
Sigaluh, 86 , 80 , - ," 1,145 ", 76 ," 4,879 ", - ,2021
Madukara, - , - , - , 223 , 28 ," 110,123 ", - ,2021
Banjarmangu, 132 ," 2,535 ", - ," 2,376 ", 318 ," 169,839 ", 98 ,2021
Wanadadi, 14 , 46 , - , 618 ," 1,383 "," 1,619 ", 2 ,2021
Rakit, - , 14 , - , 48 , 16 , - , 130 ,2021
Punggelan, 2 , 13 , - ," 3,342 ", 62 ," 1,450 ", - ,2021
Karangkobar, - , - , - , 245 , - ," 9,131 ", 13 ,2021
Pagentan, - , 12 , 9 , 744 , 18 ," 41,961 ", - ,2021
Pejawaran, - , - , - ," 1,624 ", - , 276 , - ,2021
Batur, - , - , - , 97 ," 20,198 ", - , - ,2021
Wanayasa, - , - , - , 685 , - ," 1,776 ", - ,2021
Kalibening, - , - , - , 694 , 32 ," 9,840 ", - ,2021
Pandanarum, - , 2 , - , 234 , - , 55 , - ,2021
Susukan, - , 334 , 658 ," 3,182 ", 859 , 81 , - ,2022
Purwareja Klampok, 22 , 8 , - , 46 , 53 , - , - ,2022
Mandiraja, 42 , - , - , 997 , 126 , 1 , - ,2022
Purwanegara," 2,460 "," 4,622 ", 79 ," 3,902 "," 1,706 ", - , - ,2022
Bawang, - , 1 , - , 436 , 9 , 3 , - ,2022
Banjarnegara, - , 22 , - , 174 , 8 ," 5,798 ", 6 ,2022
Pagedongan, - , - , - ," 1,627 ", - , - , - ,2022
Sigaluh, 50 , 110 , - , 327 , 45 ," 1,451 ", - ,2022
Madukara, - , 182 , - , 243 , 42 ," 24,970 ", - ,2022
