Kecamatan,Kelapa Sawit (ha) 2017,Kelapa Dalam (ha) 2017,Karet (ha) 2017,Kopi Robusta (ha) 2017,Kakao (ha) 2017,Tebu (ha) 2017,Teh (ha) 2017,Tembakau (ha) 2017,Kelapa Sawit (ha) 2018,Kelapa Dalam (ha) 2018,Karet (ha) 2018,Kopi Robusta (ha) 2018,Kakao (ha) 2018,Tebu (ha) 2018,Teh (ha) 2018,Tembakau (ha) 2018,Kelapa Sawit (ha) 2019,Kelapa Dalam (ha) 2019,Karet (ha) 2019,Kopi Robusta (ha) 2019,Kakao (ha) 2019,Tebu (ha) 2019,Teh (ha) 2019,Tembakau (ha) 2019,Kelapa Sawit (ha) 2020,Kelapa Dalam (ha) 2020,Karet (ha) 2020,Kopi Robusta (ha) 2020,Kakao (ha) 2020,Tebu (ha) 2020,Teh (ha) 2020,Tembakau (ha) 2020,Kelapa Sawit (ha) 2021,Kelapa Dalam (ha) 2021,Karet (ha) 2021,Kopi Robusta (ha) 2021,Kakao (ha) 2021,Tebu (ha) 2021,Teh (ha) 2021,Tembakau (ha) 2021,Kopi Arabica (ha) 2021,Kelapa Sawit (ha) 2022,Kelapa Dalam (ha) 2022,Karet (ha) 2022,Kopi Robusta (ha) 2022,Kakao (ha) 2022,Tebu (ha) 2022,Teh (ha) 2022,Tembakau (ha) 2022,Kopi Arabica (ha) 2022,Kelapa Sawit (ha) 2023,Kelapa Dalam (ha) 2023,Karet (ha) 2023,Kopi Robusta (ha) 2023,Kakao (ha) 2023,Tebu (ha) 2023,Teh (ha) 2023,Tembakau (ha) 2023,Kopi Arabica (ha) 2023,Kelapa Sawit (ha) 2024,Kelapa Dalam (ha) 2024,Karet (ha) 2024,Kopi Robusta (ha) 2024,Kakao (ha) 2024,Tebu (ha) 2024,Teh (ha) 2024,Tembakau (ha) 2024,Kopi Arabica (ha) 2024,Tahun
Madukara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,774.87,0,51,0,0,0,0,0,2024
Mandiraja,0,,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Mandiraja,,,,,,,,,0,1113,30,46,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Mandiraja,,,,,,,,,,,,,,,,,0,1113,30,46,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,,,1117,24.4,48,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1117,24.4,48,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1117,24.4,48,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2022
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1117,24.4,48,0,0,0,0,0,,,,,,,,,,2023
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1117,24.4,48,0,0,0,0,0,2024
Pagedongan,0,,2.68,,7.79,0.29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Pagedongan,,,,,,,,,0,1068,395.68,54,7.79,0.29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Pagedongan,,,,,,,,,,,,,,,,,0,1069.12,393.68,61,3.8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,,,1116.12,393.68,68,3.8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1116.12,393.68,68,3.8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1116.12,393.68,68,3.8,0,0,0,0,,,,,,,,,,,,,,,,,,,2022
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1118.12,391.68,77.6,1.51,0,0,0,0,,,,,,,,,,2023
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1116.12,387,77.6,1.51,0,0,0,0,2024
Pagentan,0,,0,,0,0,10.5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Pagentan,,,,,,,,,0,47.08,0,43.04,0,0,10.5,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Pagentan,,,,,,,,,,,,,,,,,0,47.08,0,43.04,0,0,34.25,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,,,47.08,0,50.29,0,0,34.25,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,47.08,0,50.29,0,0,34.25,102,114.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,47.08,0,50.29,0,0,34.25,42,114.26,,,,,,,,,,,,,,,,,,,2022
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,47.08,0,50.29,0,0,34.25,127,237.3,,,,,,,,,,2023
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,47.08,0,50.29,0,0,34.25,103,240.8,2024
Pandanarum,0,,0,,0,0,160.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Pandanarum,,,,,,,,,0,0,0,91.95,0,0,160.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Pandanarum,,,,,,,,,,,,,,,,,0,0,0,91.95,0,0,236.69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,91.95,0,0,236.69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,91.95,0,0,236.69,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,91.95,0,0,236.69,0,38,,,,,,,,,,,,,,,,,,,2022
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,91.95,0,0,173.89,0,53,,,,,,,,,,2023
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,91.95,0,0,168.59,0,53,2024
Pejawaran,0,,0,,0,0,15.5,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Pejawaran,,,,,,,,,0,0,0,149.2,0,0,15.5,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Pejawaran,,,,,,,,,,,,,,,,,0,0,0,156.2,0,0,17.03,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Pejawaran,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,156.2,0,0,17.03,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Pejawaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,156.2,0,0,17.03,345,318.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Pejawaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,156.2,0,0,17.03,355,318.4,,,,,,,,,,,,,,,,,,,2022
Pejawaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,156.2,0,0,17.03,327,343.4,,,,,,,,,,2023
Pejawaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,156.2,0,0,17.03,338,343.4,2024
Punggelan,0,,0,,2,22.68,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Punggelan,,,,,,,,,0,1216,0,133,2,17.15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Punggelan,,,,,,,,,,,,,,,,,0,1216,0,133,15,5.18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,1216,0,133,15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1216,0,133,15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1216,0,133,15,0,0,0,0,,,,,,,,,,,,,,,,,,,2022
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1216,0,133,15,0,0,0,0,,,,,,,,,,2023
Punggelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1216,0,133,15,0,0,0,0,2024
Purwonegoro,0,,1,,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Purwonegoro,,,,,,,,,0,1104.4,20,36.19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Purwonegoro,,,,,,,,,,,,,,,,,0,1104.6,18.5,36.39,4.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,,,1104.6,14,36.39,4.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1104.6,14,36.39,4.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1104.6,14,36.39,4.5,0,0,0,0,,,,,,,,,,,,,,,,,,,2022
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1080.23,14,36.39,4.5,0,0,0,0,,,,,,,,,,2023
Purwonegoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1080.23,14,36.39,4.5,0,0,0,0,2024
Purworejo Klampok,0,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Purworejo Klampok,,,,,,,,,0,238.36,0,4.41,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Purworejo Klampok,,,,,,,,,,,,,,,,,0,249.12,0,4.41,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,,,255.12,0,4.41,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,255.12,0,4.41,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,255.12,0,4.41,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2022
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,255.12,0,4.41,0,0,0,0,0,,,,,,,,,,2023
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,235.14,0,4.41,0,0,0,0,0,2024
