Kecamatan,Kulit Sapi/Kerbau (lembar),Kulit Kambing/Domba (lembar),Susu Sapi (liter),Tahun 
Purwonegoro, 374 , 593 , - ,2021
Bawang, 340 , 466 , - ,2021
Banjarnegara," 3,636 ", 499 ," 18,998 ",2021
Pagedongan, 84 , 340 , - ,2021
Sigaluh, 190 , 313 , - ,2021
Madukara, 187 , 532 , - ,2021
Banjarmangu, 352 , 686 , - ,2021
Wanadadi, 368 , 225 ," 29,040 ",2021
Rakit, 207 , 282 , - ,2021
Punggelan, 448 ," 1,454 ", - ,2021
Karangkobar, 135 ," 1,308 ", - ,2021
Pagentan, 289 , 870 , - ,2021
Pejawaran, 476 , 675 , - ,2021
Batur, 514 , 536 , - ,2021
Wanayasa," 1,340 ", 976 , - ,2021
Kalibening, 251 , 925 , - ,2021
Pandanarum, 190 , 721 , - ,2021
Susukan, 91 , 766 , - ,2022
Purworejo Klampok, 64 , 326 , - ,2022
Mandiraja, 172 , 955 , - ,2022
Purwonegoro, 353 , 601 , - ,2022
Bawang, 323 , 476 , - ,2022
Banjarnegara," 3,605 ", 514 , - ,2022
Pagedongan, 63 , 358 , - ,2022
Sigaluh, 166 , 326 , - ,2022
Madukara, 165 , 542 , - ,2022
Banjarmangu, 321 , 699 , - ,2022
Wanadadi, 353 , 240 ," 18,865 ",2022
Rakit, 186 , 290 , - ,2022
Punggelan, 432 ," 1,467 ", - ,2022
Karangkobar, 115 ," 1,323 ", - ,2022
Pagentan, 270 , 883 , - ,2022
Pejawaran, 458 , 686 , - ,2022
Batur, 501 , 551 , - ,2022
Wanayasa," 1,312 ", 994 , - ,2022
Kalibening, 234 , 935 , - ,2022
Pandanarum, 171 , 734 , - ,2022
Susukan, 93 , 729 , - ,2023
Purworejo Klampok, 65 , 310 , - ,2023
Mandiraja, 176 , 909 , - ,2023
Purwonegoro, 360 , 572 , - ,2023
Bawang, 330 , 453 , - ,2023
Banjarnegara," 3,682 ", 489 , - ,2023
Pagedongan, 64 , 341 , - ,2023
Sigaluh, 170 , 310 , - ,2023
Madukara, 169 , 516 , - ,2023
Banjarmangu, 328 , 665 , - ,2023
Wanadadi, 361 , 228 ," 27,440 ",2023
Rakit, 190 , 276 , - ,2023
Punggelan, 441 ," 1,396 ", - ,2023
Karangkobar, 117 ," 1,259 "," 7,740 ",2023
Pagentan, 276 , 840 , - ,2023
Pejawaran, 468 , 653 , - ,2023
Batur, 512 , 524 , - ,2023
Wanayasa," 1,340 ", 946 , - ,2023
Kalibening, 239 , 890 , - ,2023
Pandanarum, 175 , 699 , - ,2023
Susukan, 50 , 301 , - ,2024
Purworejo Klampok, 30 , 129 , - ,2024
Mandiraja, 80 , 375 , - ,2024
Purwonegoro, 161 , 236 , - ,2024
Bawang, 149 , 188 , - ,2024
Banjarnegara," 1,654 ", 202 , - ,2024
