Kecamatan,Kambing,Domba,Babi,Kelinci,Tahun 
Sigaluh," 5,914 ", 419 , 47 , 961 ,2023
Madukara," 10,530 "," 2,215 ", 9 ," 1,242 ",2023
Banjarmangu," 18,802 ", 627 , - , 994 ,2023
Wanadadi, 809 , 69 , - , 145 ,2023
Rakit," 3,425 "," 1,173 ", - , 627 ,2023
Punggelan," 25,070 "," 1,053 ", - , 561 ,2023
Karangkobar," 30,317 "," 15,601 ", - , 130 ,2023
Pagentan," 23,748 "," 5,365 ", - , 900 ,2023
Pejawaran," 9,432 "," 20,725 ", - ," 6,376 ",2023
Batur, - ," 5,491 ", - , - ,2023
Wanayasa," 13,360 "," 12,354 ", - , 563 ,2023
Kalibening," 10,280 "," 3,722 ", - , 187 ,2023
Pandanarum," 10,732 ", - , - , 432 ,2023
Susukan," 13,119 ", 331 , - , 497 ,2024
Purworejo Klampok," 4,853 ", 987 , 32 , 856 ,2024
Mandiraja," 9,324 "," 1,456 ", 14 ," 1,272 ",2024
Purwonegoro," 18,165 "," 1,426 ", - ," 1,055 ",2024
Bawang," 8,283 "," 3,007 ", 3 ," 1,355 ",2024
Banjarnegara," 3,453 "," 3,139 ", - , 341 ,2024
Pagedongan," 9,393 ", 884 , - , 474 ,2024
Sigaluh," 5,447 "," 2,332 ", - , 863 ,2024
Madukara," 5,178 "," 1,073 ", - ," 1,043 ",2024
Banjarmangu," 9,029 "," 1,092 ", - , 580 ,2024
Wanadadi," 2,980 "," 1,964 ", - , 332 ,2024
Rakit," 6,120 "," 2,880 ", - , 379 ,2024
Punggelan," 24,644 "," 2,589 ", 20 , 483 ,2024
Karangkobar," 12,933 ", 933 , - , 582 ,2024
Pagentan," 17,874 "," 3,310 ", - , 542 ,2024
Pejawaran," 11,501 "," 10,057 ", - , 433 ,2024
Batur, 996 ," 6,327 ", - , 29 ,2024
Wanayasa," 18,787 "," 2,952 ", - , 395 ,2024
Kalibening," 14,599 "," 4,974 ", - , 795 ,2024
Pandanarum," 8,940 ", 558 , - , 55 ,2024
