Wilayah,Komposit,Rasio Luas Lahan Pertanian,Rasio Sarana Pangan,Rasio Penduduk Miskin Desil 1,Desa Tanpa Akses Penghubung,Rasio Rumah Tangga Tanpa Air Bersih,Rasio Tenaga Kesehatan,IKP,IKP Ranking,
susukan - berta,3,0.04,0.02,0.27,1.00,0.09,0.10,54.25,237,
susukan - derik,2,0.04,0.02,0.27,1.00,0.24,0.08,49.36,263,
susukan - gumelem wetan,3,0.06,0.06,0.26,1.00,0.07,0.20,55.07,230,
susukan - gumelem kulon,2,0.04,0.09,0.32,1.00,0.26,0.17,47.65,268,
susukan - penarusan wetan,3,0.05,0.04,0.25,1.00,0.09,0.11,56.39,217,
susukan - penarusan kulon,3,0.04,0.02,0.29,1.00,0.03,0.10,55.57,224,
susukan - brengkok,4,0.04,0.04,0.18,1.00,0.06,0.05,62.92,109,
susukan - pekikiran,3,0.05,0.04,0.21,1.00,0.21,0.09,55.08,229,
susukan - piasa wetan,4,0.04,0.07,0.26,1.00,0.06,0.03,61.14,135,
susukan - karangsalam,4,0.04,0.04,0.19,1.00,0.02,0.09,61.19,134,
susukan - kemranggon,4,0.03,0.05,0.23,1.00,0.02,0.07,60.75,146,
susukan - susukan,4,0.05,0.04,0.21,1.00,0.05,0.06,61.40,132,
susukan - dermasari,4,0.04,0.04,0.20,1.00,0.06,0.04,61.51,127,
susukan - kedawung,4,0.03,0.09,0.24,1.00,0.01,0.06,63.85,95,
susukan - karangjati,4,0.01,0.05,0.21,1.00,0.03,0.04,60.83,143,
purworeja klampok - sirkandi,3,0.05,0.06,0.20,1.00,0.25,0.23,50.13,261,
purworeja klampok - pagak,4,0.02,0.05,0.22,1.00,0.08,0.07,58.79,185,
purworeja klampok - kecitran,4,0.02,0.06,0.17,1.00,0.05,0.10,60.81,145,
purworeja klampok - purwareja,6,0.02,0.14,0.08,1.00,0.06,0.05,72.08,11,
purworeja klampok - klampok,4,0.01,0.06,0.13,1.00,0.06,0.04,64.21,92,
purworeja klampok - kalilandak,5,0.03,0.04,0.12,1.00,0.03,0.03,66.51,56,
purworeja klampok - kalimandi,4,0.04,0.03,0.24,1.00,0.06,0.05,58.93,182,
purworeja klampok - kaliwinasuh,4,0.03,0.04,0.22,1.00,0.05,0.05,60.81,144,
mandiraja - jalatunda,3,0.04,0.01,0.21,1.00,0.20,0.14,51.12,250,
mandiraja - somawangi,3,0.03,0.02,0.14,1.00,0.12,0.14,57.11,207,
mandiraja - kaliwungu,4,0.05,0.03,0.16,1.00,0.02,0.11,63.11,105,
mandiraja - kebanaran,4,0.04,0.04,0.15,1.00,0.06,0.11,62.02,119,
mandiraja - glempang,4,0.02,0.03,0.19,1.00,0.02,0.12,58.71,186,
mandiraja - salamerta,4,0.03,0.03,0.16,1.00,0.06,0.10,60.09,158,
mandiraja - purwasaba,4,0.02,0.03,0.12,1.00,0.04,0.06,63.60,98,
mandiraja - blimbing,5,0.02,0.06,0.13,1.00,0.04,0.02,66.40,57,
mandiraja - panggisari,4,0.03,0.03,0.18,1.00,0.00,0.06,62.90,110,
mandiraja - candiwulan,4,0.02,0.03,0.13,1.00,0.08,0.02,63.63,97,
mandiraja - simbang,5,0.03,0.04,0.13,1.00,0.06,0.03,65.26,77,
mandiraja - kertayasa,4,0.03,0.04,0.20,1.00,0.14,0.07,57.42,204,
mandiraja - banjengan,5,0.03,0.04,0.12,1.00,0.04,0.03,66.64,53,
mandiraja - mandiraja kulon,6,0.01,0.08,0.07,1.00,0.02,0.04,70.00,21,
mandiraja - kebakalan,5,0.03,0.05,0.11,1.00,0.03,0.02,67.88,36,
mandiraja - mandiraja wetan,5,0.01,0.04,0.11,1.00,0.02,0.03,65.57,73,
purwanegara - kalitengah,3,0.11,0.01,0.23,1.00,0.19,0.26,51.07,251,
purwanegara - merden,4,0.06,0.04,0.13,1.00,0.05,0.28,57.75,198,
purwanegara - karanganyar,3,0.09,0.02,0.19,1.00,0.12,0.26,54.53,234,
purwanegara - kaliajir,2,0.10,0.02,0.25,1.00,0.32,0.26,45.51,272,
purwanegara - petir,3,0.10,0.02,0.19,1.00,0.15,0.37,50.41,255,
purwanegara - pucungbedug,3,0.06,0.05,0.25,1.00,0.19,0.22,50.26,260,
purwanegara - parakan,4,0.08,0.02,0.19,1.00,0.06,0.15,60.12,157,
purwanegara - mertasari,5,0.06,0.02,0.09,1.00,0.03,0.09,66.94,50,
purwanegara - danaraja,5,0.04,0.04,0.12,1.00,0.03,0.07,65.26,78,
purwanegara - purwonegoro,5,0.03,0.03,0.09,1.00,0.01,0.08,65.58,72,
purwanegara - kalipelus,4,0.04,0.03,0.20,1.00,0.05,0.06,61.19,133,
purwanegara - gumiwang,4,0.03,0.03,0.18,1.00,0.06,0.09,59.71,163,
purwanegara - kutawuluh,4,0.09,0.06,0.20,1.00,0.10,0.09,63.87,94,
bawang - wanadri,3,0.05,0.05,0.18,1.00,0.28,0.14,53.58,241,
bawang - kebondalem,4,0.13,0.07,0.19,1.00,0.24,0.25,57.29,206,
bawang - majalengka,3,0.10,0.05,0.23,1.00,0.38,0.16,50.36,258,
bawang - wiramastra,3,0.06,0.06,0.20,1.00,0.27,0.08,56.26,219,
bawang - kutayasa,5,0.10,0.03,0.07,1.00,0.18,0.10,66.55,54,
bawang - winong,3,0.08,0.04,0.18,1.00,0.27,0.09,56.90,212,
bawang - depok,6,0.15,0.05,0.09,1.00,0.14,0.05,73.15,8,
bawang - watuurip,4,0.19,0.04,0.13,1.00,0.45,0.09,61.89,121,
bawang - masaran,5,0.09,0.06,0.16,1.00,0.13,0.10,64.51,88,
bawang - serang,4,0.07,0.04,0.20,1.00,0.20,0.04,60.31,153,
bawang - mantrianom,4,0.05,0.04,0.18,1.00,0.11,0.09,60.24,155,
bawang - binorong,4,0.01,0.06,0.16,1.00,0.05,0.06,62.00,120,
bawang - joho,4,0.01,0.04,0.15,1.00,0.00,0.05,63.43,100,
bawang - bawang,4,0.02,0.04,0.10,1.00,0.19,0.09,59.65,165,
bawang - bandingan,6,0.02,0.10,0.09,1.00,0.02,0.04,71.13,15,
bawang - blambangan,5,0.02,0.04,0.07,1.00,0.05,0.10,64.99,82,
bawang - gemuruh,4,0.03,0.03,0.09,1.00,0.12,0.10,61.83,123,
bawang - pucang,4,0.02,0.05,0.12,1.00,0.13,0.10,59.72,162,
banjarnegara - argasoka,5,0.04,0.13,0.14,1.00,0.03,0.11,69.02,30,
banjarnegara - karangtengah,6,0.01,0.20,0.10,1.00,0.02,0.04,76.21,2,
banjarnegara - wangon,6,0.02,0.09,0.07,1.00,0.03,0.04,70.96,17,
banjarnegara - semampir,5,0.03,0.06,0.09,1.00,0.01,0.05,69.17,28,
banjarnegara - sokanandi,6,0.02,0.12,0.06,1.00,0.01,0.07,73.25,7,
banjarnegara - parakancanggah,5,0.01,0.06,0.07,1.00,0.03,0.06,67.56,41,
banjarnegara - semarang,6,0.00,0.17,0.10,1.00,0.01,0.02,74.63,4,
banjarnegara - krandegan,6,0.00,0.26,0.06,1.00,0.02,0.02,81.75,1,
banjarnegara - kutabanjarnegara,5,0.00,0.08,0.05,1.00,0.02,0.04,69.68,25,
banjarnegara - ampelsari,4,0.03,0.03,0.21,1.00,0.04,0.08,58.98,179,
banjarnegara - tlagawera,3,0.09,0.00,0.16,1.00,0.23,0.11,56.94,211,
banjarnegara - cendana,4,0.07,0.03,0.21,1.00,0.09,0.12,59.32,170,
banjarnegara - sokayasa,4,0.05,0.04,0.15,1.00,0.09,0.06,63.05,106,
sigaluh - kalibenda,5,0.04,0.04,0.12,1.00,0.01,0.03,67.69,38,
sigaluh - pringamba,3,0.06,0.05,0.23,1.00,0.24,0.19,50.37,257,
sigaluh - sawal,4,0.09,0.03,0.08,1.00,0.08,0.32,59.18,172,
sigaluh - panawaren,4,0.14,0.02,0.16,1.00,0.16,0.29,57.73,200,
sigaluh - tunggara,4,0.07,0.02,0.17,1.00,0.00,0.10,63.97,93,
sigaluh - randegan,6,0.08,0.08,0.16,1.00,0.01,0.05,71.07,16,
sigaluh - bojanegara,4,0.05,0.03,0.16,1.00,0.00,0.09,63.74,96,
sigaluh - bandingan,5,0.05,0.05,0.16,1.00,0.00,0.04,67.44,44,
