Wilayah,Komposit,Rasio Luas Lahan Pertanian,Rasio Sarana Pangan,Rasio Penduduk Miskin Desil 1,Desa Tanpa Akses Penghubung,Rasio Rumah Tangga Tanpa Air Bersih,Rasio Tenaga Kesehatan,IKP,IKP Ranking,
susukan - berta,4,0.03,0.02,0.19,1.00,0.08,0.11,58.05,235,
susukan - derik,4,0.03,0.03,0.20,1.00,0.21,0.09,56.00,256,
susukan - gumelem wetan,4,0.06,0.03,0.17,1.00,0.09,0.23,57.05,248,
susukan - gumelem kulon,3,0.04,0.07,0.27,1.00,0.23,0.19,51.81,268,
susukan - penarusan wetan,4,0.04,0.04,0.25,1.00,0.10,0.12,56.64,249,
susukan - penarusan kulon,4,0.04,0.05,0.17,1.00,0.03,0.11,61.33,180,
susukan - brengkok,4,0.04,0.04,0.11,1.00,0.07,0.06,64.34,115,
susukan - pekikiran,4,0.04,0.07,0.19,1.00,0.23,0.10,58.53,227,
susukan - piasa wetan,3,0.04,0.04,0.16,1.00,0.06,0.03,46.34,276,
susukan - karangsalam,4,0.03,0.03,0.10,1.00,0.02,0.10,62.78,154,
susukan - kemranggon,4,0.03,0.04,0.07,1.00,0.02,0.08,64.99,102,
susukan - susukan,4,0.05,0.04,0.20,1.00,0.06,0.07,61.04,186,
susukan - dermasari,4,0.04,0.03,0.22,1.00,0.06,0.04,60.05,206,
susukan - kedawung,4,0.03,0.03,0.13,1.00,0.01,0.06,63.31,145,
susukan - karangjati,4,0.01,0.04,0.22,1.00,0.03,0.05,58.56,226,
purworeja klampok - sirkandi,3,0.05,0.04,0.21,1.00,0.28,0.25,50.86,271,
purworeja klampok - pagak,4,0.02,0.05,0.19,1.00,0.09,0.07,59.04,222,
purworeja klampok - kecitran,4,0.02,0.06,0.16,1.00,0.05,0.10,60.05,205,
purworeja klampok - purwareja,4,0.02,0.11,0.07,1.00,0.06,0.03,68.10,38,
purworeja klampok - klampok,4,0.01,0.08,0.14,1.00,0.07,0.03,63.67,135,
purworeja klampok - kalilandak,4,0.03,0.07,0.12,1.00,0.04,0.02,66.48,63,
