Wilayah,Komposit,Rasio Luas Lahan Pertanian,Rasio Sarana Pangan,Rasio Penduduk Miskin Desil 1,Desa Tanpa Akses Penghubung,Rasio Rumah Tangga Tanpa Air Bersih,Rasio Tenaga Kesehatan,IKP,IKP Ranking,
susukan - berta,5,0.09,0.03,0.05,1.00,0.01,0.08,65.13,46,
susukan - derik,3,0.04,0.04,0.21,1.00,0.24,0.07,52.67,251,
susukan - gumelem wetan,3,0.05,0.03,0.10,1.00,0.12,0.16,56.56,222,
susukan - gumelem kulon,3,0.04,0.05,0.11,1.00,0.14,0.13,56.72,218,
susukan - penarusan wetan,4,0.06,0.05,0.15,1.00,0.02,0.08,60.23,153,
susukan - penarusan kulon,3,0.05,0.06,0.25,1.00,0.30,0.07,50.20,263,
susukan - brengkok,5,0.04,0.08,0.08,1.00,0.03,0.04,64.58,58,
susukan - pekikiran,3,0.05,0.07,0.18,1.00,0.30,0.07,53.86,242,
susukan - piasa wetan,4,0.05,0.01,0.17,1.00,0.11,0.02,58.17,196,
susukan - karangsalam,5,0.09,0.05,0.06,1.00,0.00,0.07,65.73,36,
susukan - kemranggon,5,0.04,0.04,0.05,1.00,0.03,0.05,64.57,60,
susukan - susukan,4,0.05,0.05,0.13,1.00,0.13,0.05,59.49,166,
susukan - dermasari,4,0.05,0.01,0.20,1.00,0.05,0.03,58.00,199,
susukan - kedawung,4,0.05,0.02,0.22,1.00,0.00,0.04,58.17,195,
susukan - karangjati,5,0.02,0.01,0.05,1.00,0.00,0.04,64.45,64,
purworeja klampok - sirkandi,3,0.05,0.03,0.10,1.00,0.08,0.21,55.38,232,
purworeja klampok - pagak,3,0.02,0.04,0.27,1.00,0.01,0.06,54.75,238,
purworeja klampok - kecitran,4,0.02,0.01,0.12,1.00,0.01,0.09,59.31,173,
purworeja klampok - purwareja,4,0.02,0.03,0.08,1.00,0.02,0.05,62.66,102,
purworeja klampok - klampok,4,0.01,0.09,0.10,1.00,0.03,0.05,63.12,86,
purworeja klampok - kalilandak,5,0.03,0.07,0.08,1.00,0.02,0.03,64.69,54,
purworeja klampok - kalimandi,4,0.04,0.08,0.17,1.00,0.08,0.06,59.16,178,
purworeja klampok - kaliwinasuh,3,0.03,0.04,0.28,1.00,0.00,0.05,55.57,230,
mandiraja - jalatunda,4,0.07,0.03,0.03,1.00,0.09,0.13,61.47,125,
mandiraja - somawangi,4,0.05,0.04,0.13,1.00,0.00,0.13,58.77,184,
mandiraja - kaliwungu,4,0.05,0.01,0.11,1.00,0.09,0.10,57.72,202,
mandiraja - kebanaran,4,0.05,0.01,0.11,1.00,0.04,0.12,58.73,186,
mandiraja - glempang,4,0.05,0.06,0.06,1.00,0.01,0.13,62.42,108,
mandiraja - salamerta,3,0.05,0.02,0.13,1.00,0.14,0.11,56.29,224,
mandiraja - purwasaba,4,0.03,0.00,0.09,1.00,0.01,0.06,61.61,124,
mandiraja - blimbing,5,0.03,0.07,0.04,1.00,0.02,0.02,66.55,27,
mandiraja - panggisari,4,0.04,0.00,0.05,1.00,0.03,0.06,63.25,81,
