Kecamatan,Jala Tebar Produksi (Kg),Jala Tebar Nilai Produksi (Ribu Rp),Pancing Produksi (Kg),Pancing Nilai Produksi (Ribu Rp),Jaring Ingsang Produksi (Kg),Jaring Ingsang Nilai Produksi (Ribu Rp),Lainnya Produksi (Kg),Lainnya Nilai Produksi (Ribu Rp),Tahun
Pandanarum,3232.0,65852.5,5930.0,118112.5,727.0,15362.5,2162.0,45275.5,2020
Susukan,11852.0,238397.6,18159.0,339918.1,0.0,0.0,6672.0,138506.6,2021
Purworejo Klampok,8986.0,180751.1,13768.0,257723.0,0.0,0.0,5059.0,105014.5,2021
Mandiraja,33684.0,659321.3,49315.0,940090.0,0.0,0.0,18452.0,383058.9,2021
Purwonegoro,22376.0,437969.2,32759.0,624476.3,0.0,0.0,12257.0,254455.7,2021
Bawang,7252.0,143673.2,16708.0,296507.7,125694.0,2185896.5,90015.0,69664.1,2021
Banjarnegara,11581.0,226683.3,16956.0,323215.3,0.0,0.0,6344.0,131700.7,2021
Pagedongan,3701.0,72430.7,6605.0,126944.5,0.0,0.0,1984.0,41194.3,2021
Sigaluh,5165.0,101088.5,7561.0,144136.5,0.0,0.0,2829.0,58731.4,2021
Madukara,5473.0,107124.9,8013.0,152743.5,0.0,0.0,2998.0,62238.5,2021
Banjarmangu,9791.0,191641.1,14334.0,273250.6,0.0,0.0,5363.0,111341.5,2021
Wanadadi,29581.0,582353.0,55132.0,1008257.9,243996.0,4295622.5,183227.0,311536.3,2021
Rakit,18554.0,363159.4,27163.0,517809.0,0.0,0.0,10164.0,210991.9,2021
Punggelan,7275.0,142399.2,10651.0,203039.2,0.0,0.0,3985.0,82732.5,2021
Karangkobar,3393.0,66405.6,4967.0,94684.1,0.0,0.0,1858.0,38581.0,2021
Pagentan,3937.0,77058.9,5764.0,109874.1,0.0,0.0,2157.0,44770.4,2021
Pejawaran,1808.0,35392.65,2647.0,50464.4,0.0,0.0,991.0,20562.8,2021
Batur,1030.0,20111.9,3982.0,78047.3,0.0,0.0,474.0,9834.4,2021
Wanayasa,5830.0,114108.7,8535.0,162701.4,0.0,0.0,3194.0,66296.0,2021
Kalibening,6598.0,129141.7,9659.0,184136.1,0.0,0.0,3614.0,75030.0,2021
Pandanarum,3774.0,73862.9,5525.0,105317.1,0.0,0.0,2067.0,42913.6,2021
Susukan,9151.0,177839.7,8965.0,168886.6,,,3958.0,82044.7,2022
Purworejo Klampok,6938.0,134836.6,6797.0,128048.4,,,3001.0,62205.6,2022
