Jenis Tanaman, Luas (ha) ,Tahun 
3. Bawang Putih/Garlic , 1.00 ,2023
4. Bayam/Spinach, - ,2023
5. Buncis/Green Bean, 855.00 ,2023
6. Cabai Besar/Chili Annum," 7,459.50 ",2023
7. Cabai Rawit/Chili (Capsicum Frustescens)," 10,038.40 ",2023
8. Cabai/Chili, - ,2023
9. Jamur/Mushroom," 16,459.00 ",2023
10. Kacang Merah/Red Bean, - ,2023
11. Kacang Panjang/Yarldlong Bean, 270.00 ,2023
12. Kangkung/Kangkong, 51.50 ,2023
13. Kembang Kol/Cauliflower, - ,2023
14. Kentang/Potato," 4,411.00 ",2023
15. Ketimun/Cucumber, 34.50 ,2023
16. Kubis/Cabbage," 1,977.00 ",2023
17. Labu Siam/Chayote, 359.00 ,2023
18. Lobak/Radish, - ,2023
19. Petsai/Chinese Cabbage, 336.00 ,2023
20. Terung/Eggplant, 418.00 ,2023
21. Tomat/Tomato," 1,140.00 ",2023
22. Wortel/Carrot," 2,323.00 ",2023
Buah-buahan/Fruits,,2023
23. Buah Blewah/Cantaloupe, - ,2023
24. Buah Melon/Melon, - ,2023
25. Buah Semangka/Watermelon, - ,2023
1. Bawang Daun/Wlech Onion," 1,059.00 ",2024
2. Bawang Merah/Shallot, 0.35 ,2024
3. Bawang Putih/Garlic , - ,2024
4. Bayam/Spinach, - ,2024
5. Buncis/Green Bean, 666.00 ,2024
6. Cabai Besar/Chili Annum," 3,572.20 ",2024
7. Cabai Rawit/Chili (Capsicum Frustescens)," 5,541.50 ",2024
8. Cabai/Chili, - ,2024
9. Jamur/Mushroom," 12,499.97 ",2024
10. Kacang Merah/Red Bean, - ,2024
11. Kacang Panjang/Yarldlong Bean, 67.00 ,2024
12. Kangkung/Kangkong, 60.00 ,2024
13. Kembang Kol/Cauliflower, - ,2024
14. Kentang/Potato," 7,644.00 ",2024
15. Ketimun/Cucumber, 27.00 ,2024
16. Kubis/Cabbage," 1,919.00 ",2024
17. Labu Siam/Chayote, 223.50 ,2024
18. Lobak/Radish, - ,2024
19. Petsai/Chinese Cabbage, 279.00 ,2024
20. Terung/Eggplant, 360.00 ,2024
21. Tomat/Tomato," 1,232.00 ",2024
22. Wortel/Carrot," 2,117.00 ",2024
Buah-buahan/Fruits,,2024
23. Buah Blewah/Cantaloupe, - ,2024
24. Buah Melon/Melon, 1.00 ,2024
25. Buah Semangka/Watermelon, 1.00 ,2024
