Kecamatan,Hasil Obyek Perikanan Sawah (Minapadi) Produksi,Di pelihara Sendiri,Dijual ke Lain Daerah,Produksi,Hasil Obyek Balai Benih Ikan (BBI) Produksi,Dipelihara Sendiri,Tahun
Wanayasa,0,0,0,0,0,,2024
Batur,0,0,0,0,0,,2018
Batur,0,0,0,0,0,0,2020
Batur,0,0,0,0,0,,2021
Batur,0,0,0,0,0,,2022
Batur,0,0,0,0,0,,2023
Batur,0,0,0,0,0,,2024
Purworejo Klp.,0,0,0,0,0,,2018
Jumlah,11254899,0,5620000,123760.02,5620000,,2018
Jumlah,11254899,0,6595000,133280,6595000,,2019
Purworejo Klp.,0,0,0,0,0,0,2020
Jumlah,0,0,0,87124,0,0,2020
Purworejo Klp.,0,0,0,0,0,,2021
Jumlah,0,0,0,87124,0,,2021
Purworejo Klp.,0,0,0,0,0,,2022
Jumlah,0,0,7703000,45299.28,7703000,,2022
Purworejo Klp.,0,0,0,0,0,,2023
Jumlah,0,4350000,0,23150.31,4350000,,2023
Purworejo Klp.,0,0,0,0,0,,2024
Jumlah,0,0,0,10900,0,,2024
