Kecamatan,Pembesaran Produksi (Kg),Pembesaran Nilai (Ribu Rupiah),Karamba Jaring Apung Produksi (Kg),Karamba Jaring Apung Nilai (Ribu Rupiah),Minapadi Tumpang Sari Produksi (Kg),Minapadi Tumpang Sari Nilai (Ribu Rupiah),Tahun
Purwanegara,14523940.58,321630437.93,0,0,1816.67,39966.67,2024
Bawang,3725500.2,82500630.83,9054.84,215687.73,0,0,2024
Banjarnegara,1494383.74,33092898.89,0,0,0,0,2024
Pagedongan,973466.77,21557272.48,0,0,0,0,2024
Sigaluh,572447.44,12676760.86,0,0,0,0,2024
Madukara,1846423.61,40888767.87,0,0,0,0,2024
Banjarmangu,1008160.56,22325561.01,0,0,0,0,2024
Wanadadi,2369891.59,52480886.09,375033.22,8933346.39,0,0,2024
Rakit,4105091.01,90906611.29,0,0,0,0,2024
Punggelan,2489789.23,55136000.88,0,0,0,0,2024
Karangkobar,551018.93,12202229.7,0,0,0,0,2024
Pagentan,601018.79,13309469.07,0,0,0,0,2024
Pejawaran,545916.9,12089246.1,0,0,0,0,2024
Batur,11734.66,259862.3,0,0,0,0,2024
Wanayasa,1232139.55,27285541.42,0,0,0,0,2024
Kalibening,565814.81,12529882.17,0,0,0,0,2024
Pandanarum,113775.2,2519534.47,0,0,0,0,2024
