Kecamatan,Kelapa Sawit,Kelapa Dalam,Karet,Kopi Robusta,Kakao,Tebu,Teh,Tembakau,Tahun 
Batur, - , - , - , - , - , - , 3 , 11 ,2021
Wanayasa, - , 9 , - , 71 , - , - ," 1,024 ", 4 ,2021
Kalibening, - , 6 , - , 301 , - , - ," 1,194 ", 10 ,2021
Pandanarum, - , - , - , 100 , - , - , 233 , - ,2021
Susukan, - ," 3,415 ", - , 24 , - , - , - , - ,2022
Purwareja Klampok, - , 181 , - , 4 , - , - , - , - ,2022
Mandiraja, - , 668 , - , 33 , - , - , - , - ,2022
Purwanegara, - ," 1,571 ", 0 , 30 , - , - , - , - ,2022
Bawang, - , 680 , 0 , 50 , 19 , - , - , - ,2022
Banjarnegara, - , 485 , - , 136 , 1 , - , - , - ,2022
Pagedongan, - , 718 , 0 , 54 , 0 , - , - , - ,2022
Sigaluh, - , 305 , - , 32 , 0 , - , - , - ,2022
Madukara, - ," 1,428 ", - , 43 , - , - , - , - ,2022
Banjarmangu, - ," 1,672 ", - , 90 , 1 , - , - , - ,2022
Wanadadi, - , 484 , - , 34 , 4 , - , - , - ,2022
Rakit, - ," 1,114 ", - , 5 , 1 , - , - , - ,2022
Punggelan, - ," 1,060 ", - , 85 , 1 , - , - , - ,2022
Karangkobar, - , 5 , - , 182 , - , - , 148 , 1 ,2022
Pagentan, - , 53 , - , 17 , - , - , 22 , - ,2022
Pejawaran, - , - , - , 107 , - , - , 12 , - ,2022
Batur, - , - , - , - , - , - , 17 , - ,2022
Wanayasa, - , 9 , - , 73 , - , - ," 1,057 ", - ,2022
Kalibening, - , 5 , - , 273 , - , - ," 1,202 ", - ,2022
Pandanarum, - , - , - , 91 , - , - , 252 , - ,2022
Susukan, - ," 1,588 ", - , 18 , - , - , - , - ,2023
Purwareja Klampok, - , 165 , - , 4 , - , - , - , - ,2023
Mandiraja, - , 668 , - , 33 , - , - , - , - ,2023
Purwanegara, - ," 1,571 ", 0 , 24 , - , - , - , - ,2023
Bawang, - , 453 , - , 50 , 19 , - , - , - ,2023
