Kecamatan,Kelapa Sawit (ton) 2017,Karet (ton) 2017,Kopi Robusta (ton) 2017,Kakao (ton) 2017,Tebu (ton) 2017,Teh (ton) 2017,Tembakau (ton) 2017,Kelapa Sawit (ton) 2018,Kelapa Dalam (ton) 2018,Karet (ton) 2018,Kopi Robusta (ton) 2018,Kakao (ton) 2018,Tebu (ton) 2018,Teh (ton) 2018,Tembakau (ton) 2018,Kelapa Sawit (ton) 2019,Kelapa Dalam (ton) 2019,Karet (ton) 2019,Kopi Robusta (ton) 2019,Kakao (ton) 2019,Tebu (ton) 2019,Teh (ton) 2019,Tembakau (ton) 2019,Kelapa Sawit (ton) 2020,Kelapa Dalam (ton) 2020,Karet (ton) 2020,Kopi Robusta (ton) 2020,Kakao (ton) 2020,Tebu (ton) 2020,Teh (ton) 2020,Tembakau (ton) 2020,Kelapa Sawit (ton) 2021,Kelapa Dalam (ton) 2021,Karet (ton) 2021,Kopi Robusta (ton) 2021,Kakao (ton) 2021,Tebu (ton) 2021,Teh (ton) 2021,Tembakau (ton) 2021,Kelapa Sawit (ton) 2022,Kelapa Dalam (ton) 2022,Karet (ton) 2022,Kopi Robusta (ton) 2022,Kakao (ton) 2022,Tebu (ton) 2022,Teh (ton) 2022,Tembakau (ton) 2022,Kelapa Sawit (ton) 2023,Kelapa Dalam (ton) 2023,Karet (ton) 2023,Kopi Robusta (ton) 2023,Kakao (ton) 2023,Tebu (ton) 2023,Teh (ton) 2023,Tembakau (ton) 2023,Kelapa Sawit (ton) 2024,Kelapa Dalam (ton) 2024,Karet (ton) 2024,Kopi Robusta (ton) 2024,Kakao (ton) 2024,Tebu (ton) 2024,Teh (ton) 2024,Tembakau (ton) 2024,Tahun
Sigaluh,,,,,,,,,,,,,,,,0,231.04,0,13.31,0.19,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Sigaluh,,,,,,,,,,,,,,,,,,,,,,,,0,277.1,0,46.41,0.2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Sigaluh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,300.58,0,47.05,0.19,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2021
Sigaluh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,305.1,0,32.14,0.19,0,0,0,,,,,,,,,,,,,,,,,2022
Sigaluh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,305.1,0,39.83,0.19,0,0,0,,,,,,,,,2023
Sigaluh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1144.67,0,78.26,0.38,0,0,0,2024
Susukan,0,0,,,299.99,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Susukan,,,,,,,,0,2402.53,0,8.66,0,348,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Susukan,,,,,,,,,,,,,,,,0,2537.23,0,9.12,0,6.72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Susukan,,,,,,,,,,,,,,,,,,,,,,,,0,2743.17,0,26.63,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Susukan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3311.95,0,21.84,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2021
Susukan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3414.91,0,24.11,0,0,0,0,,,,,,,,,,,,,,,,,2022
Susukan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1588.43,0,17.75,0,0,0,0,,,,,,,,,2023
Susukan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3558.09,0,32.44,0,0,0,0,2024
Wanadadi,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Wanadadi,,,,,,,,0,413.7,0,21.78,2.95,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Wanadadi,,,,,,,,,,,,,,,,0,425.24,0,31.02,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Wanadadi,,,,,,,,,,,,,,,,,,,,,,,,0,456.84,0,63.75,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Wanadadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,488.04,0,63.38,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2021
Wanadadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,483.97,0,34.15,3.99,0,0,0,,,,,,,,,,,,,,,,,2022
Wanadadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,370.19,0,0,3.99,0,0,0,,,,,,,,,2023
Wanadadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,872.82,0,86.62,8.84,0,0,0,2024
Wanayasa,0,0,,,0,816,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Wanayasa,,,,,,,,0,6.61,0,37.54,0,0,816,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Wanayasa,,,,,,,,,,,,,,,,0,7.2,0,43.6,0,0,1011.35,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Wanayasa,,,,,,,,,,,,,,,,,,,,,,,,0,8.89,0,143.38,0,0,1046.3,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Wanayasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9.28,0,70.8,0,0,1023.52,3.75,,,,,,,,,,,,,,,,,,,,,,,,,2021
Wanayasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9.24,0,73.18,0,0,1057.33,0,,,,,,,,,,,,,,,,,2022
Wanayasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.5,0,0,0,0,768.77,3.5,,,,,,,,,2023
Wanayasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11.25,0,154.57,0,0,1289.15,4.17,2024
Batur,0,0,,,0,16.8,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Batur,,,,,,,,0,0,0,0.91,0,0,16.8,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Batur,,,,,,,,,,,,,,,,0,0,0,0.53,0,0,6.55,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Batur,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,3.51,13.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Batur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,3.3,11.45,,,,,,,,,,,,,,,,,,,,,,,,,2021
Batur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,17.3,0,,,,,,,,,,,,,,,,,2022
Batur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,18.72,24.89,,,,,,,,,2023
Batur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,21.84,20.89,2024
JENIS,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Kelapa Sawit,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Karet,8.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Kopi Robusta,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Kakao,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Tebu,3090.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Teh,2074.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Tembakau,177.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
JENIS,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Kelapa Sawit,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Karet,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Kopi Robusta,,,,,,,,988.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Kakao,,,,,,,,32.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Tebu,,,,,,,,2131.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Teh,,,,,,,,2074.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Tembakau,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Kelapa Dalam,,,,,,,,10476.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
JENIS,,,,,,,,,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Kelapa Sawit,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Karet,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Kopi Robusta,,,,,,,,,,,,,,,,999.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Kakao,,,,,,,,,,,,,,,,25.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Tebu,,,,,,,,,,,,,,,,53.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Teh,,,,,,,,,,,,,,,,2546.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Tembakau,,,,,,,,,,,,,,,,201.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Kelapa Dalam,,,,,,,,,,,,,,,,11184.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
JENIS,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Kelapa Sawit,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Karet,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Kopi Robusta,,,,,,,,,,,,,,,,,,,,,,,,1675.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Kakao,,,,,,,,,,,,,,,,,,,,,,,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Tebu,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Teh,,,,,,,,,,,,,,,,,,,,,,,,2614.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Tembakau,,,,,,,,,,,,,,,,,,,,,,,,293.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Kelapa Dalam,,,,,,,,,,,,,,,,,,,,,,,,12135.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
JENIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Kelapa Sawit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Karet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Kopi Robusta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Kakao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Tebu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Teh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2630.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Tembakau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Kelapa Dalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13195.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
