Kecamatan,Jahe (m2) 2019,Laos (m2) 2019,Kencur (m2) 2019,Kunyit (m2) 2019,Jahe (m2) 2020,Laos (m2) 2020,Kencur (m2) 2020,Kunyit (m2) 2020,Jahe (m2) 2021,Laos (m2) 2021,Kencur (m2) 2021,Kunyit (m2) 2021,Jahe (m2) 2022,Laos (m2) 2022,Kencur (m2) 2022,Kunyit (m2) 2022,Jahe (m2) 2023,Laos (m2) 2023,Kencur (m2) 2023,Kunyit (m2) 2023,Jahe (m2) 2024,Laos (m2) 2024,Kencur (m2) 2024,Kunyit (m2) 2024,Tahun
Purwonegoro,,,,,,,,,11500,4200,3500,3200,,,,,,,,,,,,,2021
Purwonegoro,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2022
Purwonegoro,,,,,,,,,,,,,,,,,0,0,0,0,,,,,2023
Purwonegoro,,,,,,,,,,,,,,,,,,,,,3500,0,3000,0,2024
Purworejo Klampok,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Purworejo Klampok,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Purworejo Klampok,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Purworejo Klampok,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2022
Purworejo Klampok,,,,,,,,,,,,,,,,,0,0,0,0,,,,,2023
Purworejo Klampok,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2024
Rakit,249,181,261,311,,,,,,,,,,,,,,,,,,,,,2019
Rakit,,,,,0,35,72,225,,,,,,,,,,,,,,,,,2020
Rakit,,,,,,,,,5015,5,0,0,,,,,,,,,,,,,2021
Rakit,,,,,,,,,,,,,5300,20,27,14025,,,,,,,,,2022
Rakit,,,,,,,,,,,,,,,,,1400,0,0,0,,,,,2023
Rakit,,,,,,,,,,,,,,,,,,,,,1400,0,0,0,2024
Sigaluh,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Sigaluh,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Sigaluh,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Sigaluh,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2022
Sigaluh,,,,,,,,,,,,,,,,,0,0,0,0,,,,,2023
Sigaluh,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2024
Susukan,696,2198,818,4000,,,,,,,,,,,,,,,,,,,,,2019
Susukan,,,,,0,0,9400,46000,,,,,,,,,,,,,,,,,2020
Susukan,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Susukan,,,,,,,,,,,,,9000,0,10000,0,,,,,,,,,2022
Susukan,,,,,,,,,,,,,,,,,3000,0,1825,1400,,,,,2023
Susukan,,,,,,,,,,,,,,,,,,,,,3000,0,3647,2800,2024
Wanadadi,240,0,156,100,,,,,,,,,,,,,,,,,,,,,2019
Wanadadi,,,,,0,0,180,90,,,,,,,,,,,,,,,,,2020
Wanadadi,,,,,,,,,930,0,0,36,,,,,,,,,,,,,2021
Wanadadi,,,,,,,,,,,,,690,0,0,0,,,,,,,,,2022
Wanadadi,,,,,,,,,,,,,,,,,780,56,0,0,,,,,2023
Wanadadi,,,,,,,,,,,,,,,,,,,,,300,125,0,0,2024
Wanayasa,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Wanayasa,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Wanayasa,,,,,,,,,1500,1500,0,2000,,,,,,,,,,,,,2021
Wanayasa,,,,,,,,,,,,,2500,0,0,1000,,,,,,,,,2022
Wanayasa,,,,,,,,,,,,,,,,,0,0,0,0,,,,,2023
Wanayasa,,,,,,,,,,,,,,,,,,,,,100,0,0,50,2024
Batur,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Batur,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2020
Batur,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2021
Batur,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2022
Batur,,,,,,,,,,,,,,,,,0,0,0,0,,,,,2023
Batur,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2024
