Kecamatan,Sapi,Kerbau,Babi,Kambing,Domba,Tahun
Susukan,19540,0,0,8651.93,102.22,2022
Susukan,19712.47,,,5087.3,155.22,2023
Susukan,18218.2,0,0,3217.5,636.23,2024
Wanadadi,58809.57,0,0,1794.79,84.65,2018
Wanadadi,60688.47,,,2009.62,137.54,2019
Wanadadi,60312.69,0,0,2339.52,69.4,2020
Wanadadi,74480.55,0,0,2501.19,67.46,2021
Wanadadi,71281.94,0,0,2594.36,81.43,2022
Wanadadi,71911.11,,,1525.48,123.66,2023
Wanadadi,69898.4,0,0,4500,980.42,2024
Wanayasa,209309.46,0,0,6185.82,4380.45,2018
Wanayasa,205551.66,,,2122.52,5324.36,2019
Wanayasa,219831.3,0,0,5949.21,4267.93,2020
Wanayasa,271471.17,0,0,6360.33,4148.8,2021
Wanayasa,260809.12,0,0,6480.12,4172.09,2022
Wanayasa,263111.15,,,3810.29,6335.25,2023
Wanayasa,281266.7,0,0,3678.75,3243.73,2024
Batur,76659.12,0,0,0,6634.16,2018
Batur,77786.46,,,203.22,5451.34,2019
Batur,84362.61,0,0,0,5403.15,2020
Batur,104179.96,0,0,0,5252.33,2021
Batur,95650.33,0,0,0,5266.31,2022
Batur,96494.58,,,0,7996.81,2023
Batur,93321.8,0,0,450,6393.59,2024
Jumlah,1583536.92,0,0,112654.24,30779.55,2018
Jumlah,1571324.07,,,78792.91,23264.86,2019
Jumlah,1586957.28,0,0,114220.45,28180.27,2020
Jumlah,1959744.36,0,0,122113.58,27393.69,2021
Jumlah,1853123.9,0,0,123444.62,27859.38,2022
Jumlah,1869480.46,0,0,72585,42304.08,2023
Jumlah,1859185.9,0,0,75363.75,32833.64,2024
