Kecamatan,Sapi (Kg),Kerbau (Kg),Babi (Kg),Kambing (Kg),Domba (Kg),Tahun 
Pejawaran,"92,839", - , - ,"2,264","5,215",2023
Batur,"96,495", - , - , - ,"7,997",2023
Wanayasa,"263,111", - , - ,"3,810","6,335",2023
Kalibening,"42,657", - , - ,"2,212","9,007",2023
Pandanarum,"35,630", - , - ,"4,917",141,2023
Susukan,"18,218", - , - ,"3,218",636,2024
Purworejo Klampok,"17,289", - , - ,"5,265",939,2024
Mandiraja,"33,276", - , - ,"5,490","1,210",2024
Purwonegoro,"73,802", - , - ,"4,973","1,596",2024
Bawang,"65,065", - , - ,"4,388","1,648",2024
Banjarnegara,"619,419", - , - ,"4,208","2,879",2024
Pagedongan,"26,584", - , - ,"4,230",355,2024
Sigaluh,"34,949", - , - ,"2,464",261,2024
Madukara,"46,847", - , - ,"4,140",824,2024
Banjarmangu,"60,975", - , - ,"1,654",782,2024
Wanadadi,"69,898", - , - ,"4,500",980,2024
Rakit,"40,898", - , - ,"3,713",657,2024
Punggelan,"111,168", - , - ,"8,550",250,2024
Karangkobar,"30,674", - , - ,"2,903","2,263",2024
Pagentan,"47,219", - , - ,"1,519",501,2024
Pejawaran,"83,469", - , - ,"1,159","1,502",2024
Batur,"93,322", - , - ,450,"6,394",2024
Wanayasa,"281,267", - , - ,"3,679","3,244",2024
Kalibening,"61,719", - , - ,"5,805","5,142",2024
Pandanarum,"43,129", - , - ,"3,060",772,2024
