Kecamatan,Arah (Masuk/Keluar),Jenis,Tahun,Jumlah (Ekor)
Pejawaran,pemasukan,Sapi Perah,2020,0
Pejawaran,pemasukan,Kerbau,2020,0
Pejawaran,pemasukan,Kuda,2020,0
Pejawaran,pemasukan,Kambing,2020,0
Pejawaran,pengeluaran,Sapi,2020,0
Pejawaran,pengeluaran,Kerbau,2020,0
Pejawaran,pengeluaran,Kambing,2020,0
Pejawaran,pemasukan,Sapi,2021,0
Pejawaran,pemasukan,Sapi Perah,2021,0
Pejawaran,pemasukan,Kerbau,2021,0
Pejawaran,pemasukan,Kuda,2021,0
Pejawaran,pemasukan,Kambing,2021,0
Pejawaran,pengeluaran,Sapi,2021,0
Pejawaran,pengeluaran,Kerbau,2021,0
Pejawaran,pengeluaran,Kambing,2021,0
Pejawaran,pengeluaran,Domba,2021,0
Pejawaran,pemasukan,Sapi,2022,0
Pejawaran,pemasukan,Sapi Perah,2022,0
Pejawaran,pemasukan,Kerbau,2022,0
Pejawaran,pemasukan,Kuda,2022,0
Pejawaran,pemasukan,Kambing,2022,0
Pejawaran,pengeluaran,Sapi,2022,0
Pejawaran,pengeluaran,Kerbau,2022,0
Pejawaran,pengeluaran,Kambing,2022,0
Pejawaran,pengeluaran,Domba,2022,0
Pejawaran,pemasukan,Sapi,2023,0
Pejawaran,pemasukan,Sapi Perah,2023,0
Pejawaran,pemasukan,Kerbau,2023,0
Pejawaran,pemasukan,Kuda,2023,0
Pejawaran,pemasukan,Kambing,2023,0
Pejawaran,pemasukan,Domba,2023,0
Pejawaran,pengeluaran,Sapi,2023,0
Pejawaran,pengeluaran,Kerbau,2023,0
Pejawaran,pengeluaran,Kambing,2023,0
Pejawaran,pengeluaran,Domba,2023,0
Pejawaran,pemasukan,Sapi,2024,0
Pejawaran,pemasukan,Sapi Perah,2024,0
Pejawaran,pemasukan,Kerbau,2024,0
Pejawaran,pemasukan,Kuda,2024,0
Pejawaran,pemasukan,Kambing,2024,0
Pejawaran,pengeluaran,Sapi,2024,0
Pejawaran,pengeluaran,Kerbau,2024,0
Pejawaran,pengeluaran,Kambing,2024,0
Punggelan,pemasukan,Sapi,2018,0
Punggelan,pemasukan,Sapi Perah,2018,0
Punggelan,pemasukan,Kerbau,2018,0
Punggelan,pemasukan,Kuda,2018,0
Punggelan,pemasukan,Kambing,2018,0
Punggelan,pengeluaran,Sapi,2018,0
Punggelan,pengeluaran,Kerbau,2018,0
Punggelan,pengeluaran,Kambing,2018,0
Punggelan,pengeluaran,Domba,2018,0
Punggelan,pemasukan,Sapi,2020,0
Punggelan,pemasukan,Sapi Perah,2020,0
Punggelan,pemasukan,Kerbau,2020,0
Punggelan,pemasukan,Kuda,2020,0
Punggelan,pemasukan,Kambing,2020,0
Punggelan,pengeluaran,Sapi,2020,0
Punggelan,pengeluaran,Kerbau,2020,0
Punggelan,pengeluaran,Kambing,2020,0
Punggelan,pemasukan,Sapi,2021,0
Punggelan,pemasukan,Sapi Perah,2021,0
Punggelan,pemasukan,Kerbau,2021,0
Punggelan,pemasukan,Kuda,2021,0
Punggelan,pemasukan,Kambing,2021,0
Punggelan,pengeluaran,Sapi,2021,0
Punggelan,pengeluaran,Kerbau,2021,0
Punggelan,pengeluaran,Kambing,2021,0
Punggelan,pengeluaran,Domba,2021,0
Punggelan,pemasukan,Sapi,2022,0
Punggelan,pemasukan,Sapi Perah,2022,0
Punggelan,pemasukan,Kerbau,2022,0
Punggelan,pemasukan,Kuda,2022,0
Punggelan,pemasukan,Kambing,2022,0
Punggelan,pengeluaran,Sapi,2022,0
Punggelan,pengeluaran,Kerbau,2022,0
Punggelan,pengeluaran,Kambing,2022,0
Punggelan,pengeluaran,Domba,2022,0
Punggelan,pemasukan,Sapi,2023,0
Punggelan,pemasukan,Sapi Perah,2023,0
Punggelan,pemasukan,Kerbau,2023,0
Punggelan,pemasukan,Kuda,2023,0
Punggelan,pemasukan,Kambing,2023,0
Punggelan,pemasukan,Domba,2023,0
Punggelan,pengeluaran,Sapi,2023,0
Punggelan,pengeluaran,Kerbau,2023,0
Punggelan,pengeluaran,Kambing,2023,0
Punggelan,pengeluaran,Domba,2023,0
Punggelan,pemasukan,Sapi,2024,0
Punggelan,pemasukan,Sapi Perah,2024,0
Punggelan,pemasukan,Kerbau,2024,0
Punggelan,pemasukan,Kuda,2024,0
Punggelan,pemasukan,Kambing,2024,0
Punggelan,pengeluaran,Sapi,2024,0
Punggelan,pengeluaran,Kerbau,2024,0
Punggelan,pengeluaran,Kambing,2024,0
Purwanegara,pemasukan,Sapi,2018,0
Purwanegara,pemasukan,Sapi Perah,2018,0
Purwanegara,pemasukan,Kerbau,2018,0
Purwanegara,pemasukan,Kuda,2018,0
Purwanegara,pemasukan,Kambing,2018,0
Purwanegara,pengeluaran,Sapi,2018,0
Purwanegara,pengeluaran,Kerbau,2018,0
Purwanegara,pengeluaran,Kambing,2018,0
Purwanegara,pengeluaran,Domba,2018,0
Purwanegara,pemasukan,Sapi,2020,0
Purwanegara,pemasukan,Sapi Perah,2020,0
Purwanegara,pemasukan,Kerbau,2020,0
Purwanegara,pemasukan,Kuda,2020,0
Purwanegara,pemasukan,Kambing,2020,0
Purwanegara,pengeluaran,Sapi,2020,0
Purwanegara,pengeluaran,Kerbau,2020,0
Purwanegara,pengeluaran,Kambing,2020,0
Purwanegara,pemasukan,Sapi,2021,0
Purwanegara,pemasukan,Sapi Perah,2021,0
Purwanegara,pemasukan,Kerbau,2021,0
Purwanegara,pemasukan,Kuda,2021,0
Purwanegara,pemasukan,Kambing,2021,0
Purwanegara,pengeluaran,Sapi,2021,0
Purwanegara,pengeluaran,Kerbau,2021,0
Purwanegara,pengeluaran,Kambing,2021,0
Purwanegara,pengeluaran,Domba,2021,0
Purwanegara,pemasukan,Sapi,2022,0
Purwanegara,pemasukan,Sapi Perah,2022,0
Purwanegara,pemasukan,Kerbau,2022,0
Purwanegara,pemasukan,Kuda,2022,0
Purwanegara,pemasukan,Kambing,2022,0
Purwanegara,pengeluaran,Sapi,2022,0
Purwanegara,pengeluaran,Kerbau,2022,0
Purwanegara,pengeluaran,Kambing,2022,0
Purwanegara,pengeluaran,Domba,2022,0
Purwanegara,pemasukan,Sapi,2023,0
Purwanegara,pemasukan,Sapi Perah,2023,0
Purwanegara,pemasukan,Kerbau,2023,0
Purwanegara,pemasukan,Kuda,2023,0
Purwanegara,pemasukan,Kambing,2023,0
Purwanegara,pemasukan,Domba,2023,0
Purwanegara,pengeluaran,Sapi,2023,0
Purwanegara,pengeluaran,Kerbau,2023,0
Purwanegara,pengeluaran,Kambing,2023,0
Purwanegara,pengeluaran,Domba,2023,0
Purwanegara,pemasukan,Sapi,2024,0
Purwanegara,pemasukan,Sapi Perah,2024,0
Purwanegara,pemasukan,Kerbau,2024,0
Purwanegara,pemasukan,Kuda,2024,0
Purwanegara,pemasukan,Kambing,2024,0
Purwanegara,pengeluaran,Sapi,2024,0
Purwanegara,pengeluaran,Kerbau,2024,0
Purwanegara,pengeluaran,Kambing,2024,0
Purwareja Klampok,pemasukan,Sapi,2018,0
Purwareja Klampok,pemasukan,Sapi Perah,2018,0
Purwareja Klampok,pemasukan,Kerbau,2018,0
Purwareja Klampok,pemasukan,Kuda,2018,0
Purwareja Klampok,pemasukan,Kambing,2018,0
Purwareja Klampok,pengeluaran,Sapi,2018,0
Purwareja Klampok,pengeluaran,Kerbau,2018,0
Purwareja Klampok,pengeluaran,Kambing,2018,0
Purwareja Klampok,pengeluaran,Domba,2018,0
Purwareja Klampok,pemasukan,Sapi,2020,0
Purwareja Klampok,pemasukan,Sapi Perah,2020,0
Purwareja Klampok,pemasukan,Kerbau,2020,0
Purwareja Klampok,pemasukan,Kuda,2020,0
Purwareja Klampok,pemasukan,Kambing,2020,0
Purwareja Klampok,pengeluaran,Sapi,2020,0
Purwareja Klampok,pengeluaran,Kerbau,2020,0
Purwareja Klampok,pengeluaran,Kambing,2020,0
Purwareja Klampok,pemasukan,Sapi,2021,0
Purwareja Klampok,pemasukan,Sapi Perah,2021,0
Purwareja Klampok,pemasukan,Kerbau,2021,0
Purwareja Klampok,pemasukan,Kuda,2021,0
Purwareja Klampok,pemasukan,Kambing,2021,0
Purwareja Klampok,pengeluaran,Sapi,2021,0
Purwareja Klampok,pengeluaran,Kerbau,2021,0
Purwareja Klampok,pengeluaran,Kambing,2021,0
Purwareja Klampok,pengeluaran,Domba,2021,0
Purwareja Klampok,pemasukan,Sapi,2022,0
Purwareja Klampok,pemasukan,Sapi Perah,2022,0
Purwareja Klampok,pemasukan,Kerbau,2022,0
Purwareja Klampok,pemasukan,Kuda,2022,0
Purwareja Klampok,pemasukan,Kambing,2022,0
Purwareja Klampok,pengeluaran,Sapi,2022,0
Purwareja Klampok,pengeluaran,Kerbau,2022,0
Purwareja Klampok,pengeluaran,Kambing,2022,0
Purwareja Klampok,pengeluaran,Domba,2022,0
Purwareja Klampok,pemasukan,Sapi,2023,0
Purwareja Klampok,pemasukan,Sapi Perah,2023,0
Purwareja Klampok,pemasukan,Kerbau,2023,0
Purwareja Klampok,pemasukan,Kuda,2023,0
Purwareja Klampok,pemasukan,Kambing,2023,0
Purwareja Klampok,pemasukan,Domba,2023,0
Purwareja Klampok,pengeluaran,Sapi,2023,0
Purwareja Klampok,pengeluaran,Kerbau,2023,0
Purwareja Klampok,pengeluaran,Kambing,2023,0
Purwareja Klampok,pengeluaran,Domba,2023,0
Purwareja Klampok,pemasukan,Sapi,2024,0
Purwareja Klampok,pemasukan,Sapi Perah,2024,0
Purwareja Klampok,pemasukan,Kerbau,2024,0
Purwareja Klampok,pemasukan,Kuda,2024,0
Purwareja Klampok,pemasukan,Kambing,2024,0
Purwareja Klampok,pengeluaran,Sapi,2024,0
Purwareja Klampok,pengeluaran,Kerbau,2024,0
Purwareja Klampok,pengeluaran,Kambing,2024,0
Rakit,pemasukan,Sapi,2018,0
Rakit,pemasukan,Sapi Perah,2018,0
Rakit,pemasukan,Kerbau,2018,0
Rakit,pemasukan,Kuda,2018,0
Rakit,pemasukan,Kambing,2018,0
Rakit,pengeluaran,Sapi,2018,0
Rakit,pengeluaran,Kerbau,2018,0
Rakit,pengeluaran,Kambing,2018,0
Rakit,pengeluaran,Domba,2018,0
Rakit,pemasukan,Sapi,2020,0
Rakit,pemasukan,Sapi Perah,2020,0
Rakit,pemasukan,Kerbau,2020,0
Rakit,pemasukan,Kuda,2020,0
Rakit,pemasukan,Kambing,2020,0
Rakit,pengeluaran,Sapi,2020,0
Rakit,pengeluaran,Kerbau,2020,0
Rakit,pengeluaran,Kambing,2020,0
Rakit,pemasukan,Sapi,2021,0
Rakit,pemasukan,Sapi Perah,2021,0
Rakit,pemasukan,Kerbau,2021,0
Rakit,pemasukan,Kuda,2021,0
Rakit,pemasukan,Kambing,2021,0
Rakit,pengeluaran,Sapi,2021,0
Rakit,pengeluaran,Kerbau,2021,0
Rakit,pengeluaran,Kambing,2021,0
Rakit,pengeluaran,Domba,2021,0
Rakit,pemasukan,Sapi,2022,0
Rakit,pemasukan,Sapi Perah,2022,0
Rakit,pemasukan,Kerbau,2022,0
Rakit,pemasukan,Kuda,2022,0
Rakit,pemasukan,Kambing,2022,0
Rakit,pengeluaran,Sapi,2022,0
Rakit,pengeluaran,Kerbau,2022,0
Rakit,pengeluaran,Kambing,2022,0
Rakit,pengeluaran,Domba,2022,0
Rakit,pemasukan,Sapi,2023,0
Rakit,pemasukan,Sapi Perah,2023,0
Rakit,pemasukan,Kerbau,2023,0
Rakit,pemasukan,Kuda,2023,0
Rakit,pemasukan,Kambing,2023,0
Rakit,pemasukan,Domba,2023,0
Rakit,pengeluaran,Sapi,2023,0
Rakit,pengeluaran,Kerbau,2023,0
Rakit,pengeluaran,Kambing,2023,0
Rakit,pengeluaran,Domba,2023,0
Rakit,pemasukan,Sapi,2024,0
Rakit,pemasukan,Sapi Perah,2024,0
Rakit,pemasukan,Kerbau,2024,0
Rakit,pemasukan,Kuda,2024,0
Rakit,pemasukan,Kambing,2024,0
Rakit,pengeluaran,Sapi,2024,0
Rakit,pengeluaran,Kerbau,2024,0
Rakit,pengeluaran,Kambing,2024,0
Sigaluh,pemasukan,Sapi,2018,0
Sigaluh,pemasukan,Sapi Perah,2018,0
Sigaluh,pemasukan,Kerbau,2018,0
Sigaluh,pemasukan,Kuda,2018,0
Sigaluh,pemasukan,Kambing,2018,0
Sigaluh,pengeluaran,Sapi,2018,0
Sigaluh,pengeluaran,Kerbau,2018,0
Sigaluh,pengeluaran,Kambing,2018,0
Sigaluh,pengeluaran,Domba,2018,0
Sigaluh,pemasukan,Sapi,2020,0
Sigaluh,pemasukan,Sapi Perah,2020,0
Sigaluh,pemasukan,Kerbau,2020,0
Sigaluh,pemasukan,Kuda,2020,0
Sigaluh,pemasukan,Kambing,2020,0
Sigaluh,pengeluaran,Sapi,2020,0
Sigaluh,pengeluaran,Kerbau,2020,0
Sigaluh,pengeluaran,Kambing,2020,0
Sigaluh,pemasukan,Sapi,2021,0
Sigaluh,pemasukan,Sapi Perah,2021,0
Sigaluh,pemasukan,Kerbau,2021,0
Sigaluh,pemasukan,Kuda,2021,0
Sigaluh,pemasukan,Kambing,2021,0
Sigaluh,pengeluaran,Sapi,2021,0
Sigaluh,pengeluaran,Kerbau,2021,0
Sigaluh,pengeluaran,Kambing,2021,0
Sigaluh,pengeluaran,Domba,2021,0
Sigaluh,pemasukan,Sapi,2022,0
Sigaluh,pemasukan,Sapi Perah,2022,0
Sigaluh,pemasukan,Kerbau,2022,0
Sigaluh,pemasukan,Kuda,2022,0
Sigaluh,pemasukan,Kambing,2022,0
Sigaluh,pengeluaran,Sapi,2022,0
Sigaluh,pengeluaran,Kerbau,2022,0
Sigaluh,pengeluaran,Kambing,2022,0
Sigaluh,pengeluaran,Domba,2022,0
Sigaluh,pemasukan,Sapi,2023,0
Sigaluh,pemasukan,Sapi Perah,2023,0
Sigaluh,pemasukan,Kerbau,2023,0
Sigaluh,pemasukan,Kuda,2023,0
Sigaluh,pemasukan,Kambing,2023,0
Sigaluh,pemasukan,Domba,2023,0
Sigaluh,pengeluaran,Sapi,2023,0
Sigaluh,pengeluaran,Kerbau,2023,0
Sigaluh,pengeluaran,Kambing,2023,0
Sigaluh,pengeluaran,Domba,2023,0
Sigaluh,pemasukan,Sapi,2024,0
Sigaluh,pemasukan,Sapi Perah,2024,0
Sigaluh,pemasukan,Kerbau,2024,0
Sigaluh,pemasukan,Kuda,2024,0
Sigaluh,pemasukan,Kambing,2024,0
Sigaluh,pengeluaran,Sapi,2024,0
Sigaluh,pengeluaran,Kerbau,2024,0
Sigaluh,pengeluaran,Kambing,2024,0
Susukan,pemasukan,Sapi,2018,0
Susukan,pemasukan,Sapi Perah,2018,0
Susukan,pemasukan,Kerbau,2018,0
Susukan,pemasukan,Kuda,2018,0
Susukan,pemasukan,Kambing,2018,0
Susukan,pengeluaran,Sapi,2018,0
Susukan,pengeluaran,Kerbau,2018,0
Susukan,pengeluaran,Kambing,2018,0
Susukan,pengeluaran,Domba,2018,0
Susukan,pemasukan,Sapi,2020,0
Susukan,pemasukan,Sapi Perah,2020,0
Susukan,pemasukan,Kerbau,2020,0
Susukan,pemasukan,Kuda,2020,0
Susukan,pemasukan,Kambing,2020,0
Susukan,pengeluaran,Sapi,2020,0
Susukan,pengeluaran,Kerbau,2020,0
Susukan,pengeluaran,Kambing,2020,0
Susukan,pemasukan,Sapi,2021,0
Susukan,pemasukan,Sapi Perah,2021,0
Susukan,pemasukan,Kerbau,2021,0
Susukan,pemasukan,Kuda,2021,0
Susukan,pemasukan,Kambing,2021,0
Susukan,pengeluaran,Sapi,2021,0
Susukan,pengeluaran,Kerbau,2021,0
Susukan,pengeluaran,Kambing,2021,0
Susukan,pengeluaran,Domba,2021,0
Susukan,pemasukan,Sapi,2022,0
Susukan,pemasukan,Sapi Perah,2022,0
Susukan,pemasukan,Kerbau,2022,0
Susukan,pemasukan,Kuda,2022,0
Susukan,pemasukan,Kambing,2022,0
Susukan,pengeluaran,Sapi,2022,0
Susukan,pengeluaran,Kerbau,2022,0
Susukan,pengeluaran,Kambing,2022,0
Susukan,pengeluaran,Domba,2022,0
Susukan,pemasukan,Sapi,2023,0
Susukan,pemasukan,Sapi Perah,2023,0
Susukan,pemasukan,Kerbau,2023,0
Susukan,pemasukan,Kuda,2023,0
Susukan,pemasukan,Kambing,2023,0
Susukan,pemasukan,Domba,2023,0
Susukan,pengeluaran,Sapi,2023,0
Susukan,pengeluaran,Kerbau,2023,0
Susukan,pengeluaran,Kambing,2023,0
Susukan,pengeluaran,Domba,2023,0
Susukan,pemasukan,Sapi,2024,0
Susukan,pemasukan,Sapi Perah,2024,0
Susukan,pemasukan,Kerbau,2024,0
Susukan,pemasukan,Kuda,2024,0
Susukan,pemasukan,Kambing,2024,0
Susukan,pengeluaran,Sapi,2024,0
Susukan,pengeluaran,Kerbau,2024,0
Susukan,pengeluaran,Kambing,2024,0
Wanadadi,pemasukan,Sapi,2018,0
Wanadadi,pemasukan,Sapi Perah,2018,0
Wanadadi,pemasukan,Kerbau,2018,0
Wanadadi,pemasukan,Kuda,2018,0
Wanadadi,pemasukan,Kambing,2018,0
Wanadadi,pengeluaran,Sapi,2018,0
Wanadadi,pengeluaran,Kerbau,2018,0
Wanadadi,pengeluaran,Kambing,2018,0
Wanadadi,pengeluaran,Domba,2018,0
Wanadadi,pemasukan,Sapi,2020,0
Wanadadi,pemasukan,Sapi Perah,2020,0
Wanadadi,pemasukan,Kerbau,2020,0
Wanadadi,pemasukan,Kuda,2020,0
Wanadadi,pemasukan,Kambing,2020,0
Wanadadi,pengeluaran,Sapi,2020,0
Wanadadi,pengeluaran,Kerbau,2020,0
Wanadadi,pengeluaran,Kambing,2020,0
Wanadadi,pemasukan,Sapi,2021,0
Wanadadi,pemasukan,Sapi Perah,2021,0
Wanadadi,pemasukan,Kerbau,2021,0
Wanadadi,pemasukan,Kuda,2021,0
Wanadadi,pemasukan,Kambing,2021,0
Wanadadi,pengeluaran,Sapi,2021,0
Wanadadi,pengeluaran,Kerbau,2021,0
Wanadadi,pengeluaran,Kambing,2021,0
Wanadadi,pengeluaran,Domba,2021,0
Wanadadi,pemasukan,Sapi,2022,0
Wanadadi,pemasukan,Sapi Perah,2022,0
Wanadadi,pemasukan,Kerbau,2022,0
Wanadadi,pemasukan,Kuda,2022,0
Wanadadi,pemasukan,Kambing,2022,0
Wanadadi,pengeluaran,Sapi,2022,0
Wanadadi,pengeluaran,Kerbau,2022,0
Wanadadi,pengeluaran,Kambing,2022,0
Wanadadi,pengeluaran,Domba,2022,0
Wanadadi,pemasukan,Sapi,2023,0
Wanadadi,pemasukan,Sapi Perah,2023,0
Wanadadi,pemasukan,Kerbau,2023,0
Wanadadi,pemasukan,Kuda,2023,0
Wanadadi,pemasukan,Kambing,2023,0
Wanadadi,pemasukan,Domba,2023,0
Wanadadi,pengeluaran,Sapi,2023,0
Wanadadi,pengeluaran,Kerbau,2023,0
Wanadadi,pengeluaran,Kambing,2023,0
Wanadadi,pengeluaran,Domba,2023,0
Wanadadi,pemasukan,Sapi,2024,0
Wanadadi,pemasukan,Sapi Perah,2024,0
Wanadadi,pemasukan,Kerbau,2024,0
Wanadadi,pemasukan,Kuda,2024,0
Wanadadi,pemasukan,Kambing,2024,0
Wanadadi,pengeluaran,Sapi,2024,0
Wanadadi,pengeluaran,Kerbau,2024,0
Wanadadi,pengeluaran,Kambing,2024,0
Wanayasa,pemasukan,Sapi,2018,0
Wanayasa,pemasukan,Sapi Perah,2018,0
Wanayasa,pemasukan,Kerbau,2018,0
Wanayasa,pemasukan,Kuda,2018,0
Wanayasa,pemasukan,Kambing,2018,0
Wanayasa,pengeluaran,Sapi,2018,0
Wanayasa,pengeluaran,Kerbau,2018,0
Wanayasa,pengeluaran,Kambing,2018,0
Wanayasa,pengeluaran,Domba,2018,0
Wanayasa,pemasukan,Sapi,2020,0
Wanayasa,pemasukan,Sapi Perah,2020,0
Wanayasa,pemasukan,Kerbau,2020,0
Wanayasa,pemasukan,Kuda,2020,0
Wanayasa,pemasukan,Kambing,2020,0
Wanayasa,pengeluaran,Sapi,2020,0
Wanayasa,pengeluaran,Kerbau,2020,0
Wanayasa,pengeluaran,Kambing,2020,0
Wanayasa,pemasukan,Sapi,2021,0
Wanayasa,pemasukan,Sapi Perah,2021,0
Wanayasa,pemasukan,Kerbau,2021,0
Wanayasa,pemasukan,Kuda,2021,0
Wanayasa,pemasukan,Kambing,2021,0
Wanayasa,pengeluaran,Sapi,2021,0
Wanayasa,pengeluaran,Kerbau,2021,0
Wanayasa,pengeluaran,Kambing,2021,0
Wanayasa,pengeluaran,Domba,2021,0
Wanayasa,pemasukan,Sapi,2022,0
Wanayasa,pemasukan,Sapi Perah,2022,0
Wanayasa,pemasukan,Kerbau,2022,0
Wanayasa,pemasukan,Kuda,2022,0
Wanayasa,pemasukan,Kambing,2022,0
Wanayasa,pengeluaran,Sapi,2022,0
Wanayasa,pengeluaran,Kerbau,2022,0
Wanayasa,pengeluaran,Kambing,2022,0
Wanayasa,pengeluaran,Domba,2022,0
Wanayasa,pemasukan,Sapi,2023,0
Wanayasa,pemasukan,Sapi Perah,2023,0
Wanayasa,pemasukan,Kerbau,2023,0
Wanayasa,pemasukan,Kuda,2023,0
Wanayasa,pemasukan,Kambing,2023,0
Wanayasa,pemasukan,Domba,2023,0
Wanayasa,pengeluaran,Sapi,2023,0
Wanayasa,pengeluaran,Kerbau,2023,0
Wanayasa,pengeluaran,Kambing,2023,0
Wanayasa,pengeluaran,Domba,2023,0
Wanayasa,pemasukan,Sapi,2024,0
Wanayasa,pemasukan,Sapi Perah,2024,0
Wanayasa,pemasukan,Kerbau,2024,0
Wanayasa,pemasukan,Kuda,2024,0
Wanayasa,pemasukan,Kambing,2024,0
Wanayasa,pengeluaran,Sapi,2024,0
Wanayasa,pengeluaran,Kerbau,2024,0
Wanayasa,pengeluaran,Kambing,2024,0
