Kelompok,Komoditas,Tahun,Nilai,Satuan
biofarmaka,Dringo,2019,0,m2
biofarmaka,Jahe,2019,243935,m2
biofarmaka,Kapulaga,2019,46686,m2
biofarmaka,Kencur,2019,86155,m2
biofarmaka,Kunyit,2019,77051,m2
biofarmaka,Laos,2019,38204,m2
biofarmaka,Lempuyang,2019,1142,m2
biofarmaka,Lidah Buaya,2019,0,m2
biofarmaka,Mengkudu,2019,0,m2
biofarmaka,Temuireng,2019,1116,m2
biofarmaka,Temukunci,2019,0,m2
biofarmaka,Temulawak,2019,1915,m2
biofarmaka,Sambiloto,2019,2425,m2
sayuran_buah_semusim,Bawang Daun,2020,1235,ha
sayuran_buah_semusim,Bawang Merah,2020,28,ha
sayuran_buah_semusim,Bawang Putih,2020,165,ha
sayuran_buah_semusim,Bayam,2020,6,ha
sayuran_buah_semusim,Buncis,2020,351,ha
sayuran_buah_semusim,Cabai Besar,2020,1661,ha
sayuran_buah_semusim,Cabai Rawit,2020,2541,ha
sayuran_buah_semusim,Cabai,2020,0,ha
sayuran_buah_semusim,Jamur,2020,0,ha
sayuran_buah_semusim,Kacang Merah,2020,204,ha
sayuran_buah_semusim,Kacang Panjang,2020,167,ha
sayuran_buah_semusim,Kangkung,2020,55,ha
sayuran_buah_semusim,Kembang Kol,2020,0,ha
sayuran_buah_semusim,Kentang,2020,6347,ha
sayuran_buah_semusim,Ketimun,2020,39,ha
sayuran_buah_semusim,Kubis,2020,2397,ha
sayuran_buah_semusim,Labu Siam,2020,46,ha
sayuran_buah_semusim,Lobak,2020,0,ha
sayuran_buah_semusim,Petsai,2020,343,ha
sayuran_buah_semusim,Terung,2020,137,ha
sayuran_buah_semusim,Tomat,2020,357,ha
sayuran_buah_semusim,Wortel,2020,2773,ha
sayuran_buah_semusim,Sawi Putih,2020,0,ha
sayuran_buah_semusim,Blewah,2020,0,ha
sayuran_buah_semusim,Melon,2020,0,ha
sayuran_buah_semusim,Semangka,2020,0,ha
tanaman_hias,Agloenema,2020,0,m2
tanaman_hias,Anthurium Daun,2020,0,m2
tanaman_hias,Caladium,2020,0,m2
tanaman_hias,Pakis,2020,0,m2
tanaman_hias,Sansievera Pedang-Pedangan,2020,0,m2
tanaman_hias,Soka,2020,0,m2
tanaman_hias,Krisan,2020,0,m2
tanaman_hias,Mawar,2020,0,m2
tanaman_hias,Melati,2020,0,m2
tanaman_hias,Palem,2020,0,m2
tanaman_hias,Pisang-pisangan,2020,0,m2
tanaman_hias,Sedap Malam,2020,0,m2
biofarmaka,Dringo,2020,25,m2
biofarmaka,Jahe,2020,14100,m2
biofarmaka,Kapulaga,2020,35200,m2
biofarmaka,Kencur,2020,77227,m2
biofarmaka,Kunyit,2020,100485,m2
biofarmaka,Laos,2020,8910,m2
biofarmaka,Lempuyang,2020,13290,m2
biofarmaka,Lidah Buaya,2020,1000,m2
biofarmaka,Mengkudu,2020,0,m2
biofarmaka,Temuireng,2020,6616,m2
biofarmaka,Temukunci,2020,15170,m2
biofarmaka,Temulawak,2020,6785,m2
biofarmaka,Sambiloto,2020,2150,m2
sayuran_buah_semusim,Bawang Daun,2021,1506,ha
sayuran_buah_semusim,Bawang Merah,2021,10,ha
sayuran_buah_semusim,Bawang Putih,2021,80,ha
sayuran_buah_semusim,Bayam,2021,5,ha
sayuran_buah_semusim,Buncis,2021,367,ha
sayuran_buah_semusim,Cabai Besar,2021,1996,ha
sayuran_buah_semusim,Cabai Rawit,2021,1694,ha
sayuran_buah_semusim,Cabai,2021,0,ha
sayuran_buah_semusim,Jamur,2021,0,ha
sayuran_buah_semusim,Kacang Merah,2021,207,ha
sayuran_buah_semusim,Kacang Panjang,2021,155,ha
sayuran_buah_semusim,Kangkung,2021,40,ha
sayuran_buah_semusim,Kembang Kol,2021,0,ha
sayuran_buah_semusim,Kentang,2021,6125,ha
