Kecamatan,Tahun,Komoditas,Luas Panen (Ha),Produksi (Ton),Rata-rata (Ku/Ha)
Mandiraja,2018,Ubi Kayu,560,13851,247
Mandiraja,2018,Kacang Tanah,17
Mandiraja,2018,Kedelai,491,627,13
Mandiraja,2019,Jagung,806,5199,65
Mandiraja,2019,Ubi Kayu,500,16050,321
Mandiraja,2019,Kacang Tanah,10,12,12
Mandiraja,2020,Jagung,1038,7577,73
Mandiraja,2020,Kacang Tanah,38,141,37
Mandiraja,2020,Kedelai,130,182,14
Mandiraja,2020,Ubi Jalar,3,84,280
Mandiraja,2021,Jagung,1020,7140,70
Mandiraja,2021,Ubi Kayu,150,5400,360
Mandiraja,2021,Kacang Tanah,31,62,20
Mandiraja,2022,Jagung,550,4191,76
Mandiraja,2022,Ubi Kayu,300,10950,365
Mandiraja,2022,Kacang Tanah,2,6,32
Mandiraja,2022,Kacang Hijau,2,2,12
Mandiraja,2023,Jagung,358,2724,76
Mandiraja,2023,Ubi Kayu,305,10505,344
Mandiraja,2023,Kacang Tanah,1,3,29
Mandiraja,2024,Jagung,281,2143,76
Mandiraja,2024,Ubi Kayu,200,7190,359
Mandiraja,2024,Kacang Tanah,11,34,31
Mandiraja,2024,Ubi Jalar,1,28,282
Mandiraja,2024,Kacang Hijau,4,5,11
Pagedongan,2018,Jagung,189,902,48
Pagedongan,2018,Ubi Kayu,108,2143,198
Pagedongan,2018,Kedelai,60,46,8
Pagedongan,2019,Jagung,186,1159,63
Pagedongan,2019,Ubi Kayu,103,2266,220
Pagedongan,2019,Kacang Tanah,5,5,10
Pagedongan,2019,Kedelai,98,75,8
Pagedongan,2020,Jagung,216,1577,73
Pagedongan,2020,Ubi Kayu,107,2782,260
Pagedongan,2020,Kacang Tanah,4,16,40
Pagedongan,2021,Jagung,205,1435,70
Pagedongan,2021,Ubi Kayu,43,1247,290
Pagedongan,2021,Kacang Tanah,15,21,14
Pagedongan,2022,Jagung,189,1315,70
Pagedongan,2022,Ubi Kayu,34,408,120
Pagedongan,2022,Kacang Tanah,3,5,16
Pagedongan,2022,Kacang Hijau,1,1,9
Pagedongan,2023,Jagung,108,648,60
Pagedongan,2023,Ubi Kayu,140,2760,197
Pagedongan,2023,Kacang Tanah,3,5,15
Pagedongan,2024,Jagung,237,1475,62
Pagedongan,2024,Ubi Kayu,94,1900,202
Pagedongan,2024,Kacang Tanah,7,12,17
Pagentan,2018,Jagung,990,4907,50
Pagentan,2018,Ubi Kayu,147,2607,177
Pagentan,2018,Ubi Jalar,47,891,188
Pagentan,2019,Jagung,370,1833,50
Pagentan,2019,Ubi Kayu,99,1925,195
Pagentan,2019,Ubi Jalar,43,801,188
Pagentan,2020,Jagung,153,722,47
Pagentan,2020,Ubi Kayu,33,429,130
Pagentan,2020,Ubi Jalar,17,476,280
Pagentan,2021,Jagung,108,297,28
Pagentan,2021,Ubi Kayu,23,265,115
Pagentan,2021,Ubi Jalar,15,421,281
Pagentan,2022,Jagung,114,485,43
Pagentan,2022,Ubi Kayu,24,294,123
Pagentan,2022,Ubi Jalar,15,421,281
Pagentan,2023,Jagung,75,325,43
Pagentan,2023,Ubi Kayu,29,348,120
Pagentan,2023,Ubi Jalar,9,251,279
Pagentan,2024,Jagung,94,418,44
Pagentan,2024,Ubi Kayu,33,409,124
Pagentan,2024,Ubi Jalar,8,226,282
Pandanarum,2018,Jagung,211,1160,55
Pandanarum,2018,Ubi Kayu,47,841,179
Pandanarum,2019,Jagung,104,573,55
Pandanarum,2019,Ubi Kayu,26,546,210
Pandanarum,2020,Jagung,247,1289,52
Pandanarum,2020,Ubi Kayu,35,490,140
Pandanarum,2020,Ubi Jalar,3,84,280
Pandanarum,2021,Jagung,279,614,22
Pandanarum,2021,Ubi Kayu,7,98,140
Pandanarum,2021,Ubi Jalar,7,197,281
Pandanarum,2022,Jagung,21,85,40
Pandanarum,2022,Ubi Kayu,40,483,121
Pandanarum,2022,Ubi Jalar,6,169,281
Pandanarum,2023,Jagung,359,1442,40
Pandanarum,2023,Ubi Kayu,15,180,120
Pandanarum,2024,Jagung,374,1599,43
Pandanarum,2024,Ubi Kayu,39,545,140
Pejawaran,2018,Jagung,1261,5887,47
Pejawaran,2018,Ubi Kayu,138,2456,178
Pejawaran,2018,Kacang Tanah,4,4,10
Pejawaran,2018,Ubi Jalar,34,724,213
Pejawaran,2019,Jagung,740,3453,47
Pejawaran,2019,Ubi Kayu,132,2534,192
Pejawaran,2019,Kacang Tanah,17,17,10
Pejawaran,2019,Ubi Jalar,36,766,213
Pejawaran,2020,Jagung,553,2632,48
Pejawaran,2020,Ubi Kayu,84,1008,120
Pejawaran,2020,Kacang Tanah,5,19,38
Pejawaran,2020,Ubi Jalar,11,308,280
Pejawaran,2021,Jagung,414,2153,52
Pejawaran,2021,Ubi Kayu,91,1092,120
Pejawaran,2021,Kacang Tanah,14,39,28
Pejawaran,2021,Ubi Jalar,14,380,281
Pejawaran,2022,Jagung,214,1128,53
Pejawaran,2022,Ubi Kayu,114,1408,124
Pejawaran,2022,Kacang Tanah,8,22,28
Pejawaran,2022,Ubi Jalar,14,395,282
Pejawaran,2023,Jagung,288,1485,52
Pejawaran,2023,Ubi Kayu,46,565,123
Pejawaran,2023,Kacang Tanah,11,30,27
Pejawaran,2024,Jagung,241,1277,53
Pejawaran,2024,Ubi Kayu,44,550,125
Pejawaran,2024,Kacang Tanah,6,16,27
Punggelan,2018,Jagung,39,172,44
Punggelan,2018,Ubi Kayu,284,5339,188
Punggelan,2018,Kacang Tanah,2,2,8
Punggelan,2018,Ubi Jalar,2,40,201
Punggelan,2019,Jagung,271,1184,44
Punggelan,2019,Ubi Kayu,612,13578,222
Punggelan,2019,Kacang Tanah,2,2,8
Punggelan,2020,Jagung,170,751,44
Punggelan,2020,Ubi Kayu,675,20250,300
Punggelan,2020,Kedelai,1,1,13
Punggelan,2021,Jagung,106,366,35
Punggelan,2021,Ubi Kayu,736,21896,298
Punggelan,2021,Ubi Jalar,8,222,278
Punggelan,2022,Jagung,750,4191,56
Punggelan,2022,Ubi Kayu,735,12895,175
Punggelan,2022,Ubi Jalar,8,223,279
Punggelan,2023,Jagung,111,755,68
Punggelan,2023,Ubi Kayu,247,4346,176
Punggelan,2024,Jagung,226,1538,68
Punggelan,2024,Ubi Kayu,262,5602,214
Purwanegara,2018,Jagung,1984,12821,65
Purwanegara,2018,Ubi Kayu,1027,24012,234
Purwanegara,2018,Kacang Tanah,1056,1008,10
Purwanegara,2018,Kedelai,170,208,12
Purwanegara,2018,Ubi Jalar,3,64,212
Purwanegara,2019,Jagung,2077,13630,66
Purwanegara,2019,Ubi Kayu,608,16720,275
Purwanegara,2019,Kacang Tanah,311,349,11
Purwanegara,2019,Kedelai,96,118,12
Purwanegara,2019,Ubi Jalar,4,85,212
Purwanegara,2020,Jagung,2001,17409,87
Purwanegara,2020,Ubi Kayu,1322,37280,282
Purwanegara,2020,Kacang Tanah,2222,8444,38
Purwanegara,2020,Kedelai,38,53,14
Purwanegara,2020,Ubi Jalar,1,28,280
Purwanegara,2020,Kacang Hijau,,58
Purwanegara,2021,Jagung,2970,22334,75
Purwanegara,2021,Ubi Kayu,2461,70286,286
Purwanegara,2021,Kacang Tanah,206,371,18
Purwanegara,2021,Kedelai,15,18,12
Purwanegara,2021,Ubi Jalar,2,56,281
Purwanegara,2021,Kacang Hijau,75,86,12
Purwanegara,2022,Jagung,1809,14309,79
Purwanegara,2022,Ubi Kayu,1854,70448,380
Purwanegara,2022,Kacang Tanah,140,346,25
Purwanegara,2022,Ubi Jalar,11,309,281
Purwanegara,2022,Kacang Hijau,3,3,11
Purwanegara,2023,Jagung,2149,16995,79
Purwanegara,2023,Ubi Kayu,912,32397,355
Purwanegara,2023,Kacang Tanah,97,236,24
Purwanegara,2023,Kedelai,160,161,10
Purwanegara,2024,Jagung,2710,20993,77
Purwanegara,2024,Ubi Kayu,1065,39229,368
Purwanegara,2024,Kacang Tanah,250,640,26
Purwareja Klampok,2018,Jagung,34,203,59
Purwareja Klampok,2018,Ubi Kayu,20,442,221
Purwareja Klampok,2018,Kacang Tanah,6,6,9
Purwareja Klampok,2018,Kedelai,1,1,12
Purwareja Klampok,2019,Jagung,59,351,59
Purwareja Klampok,2019,Ubi Kayu,17,434,255
Purwareja Klampok,2019,Kacang Tanah,14,15,10
Purwareja Klampok,2019,Kedelai,4,4,11
Purwareja Klampok,2019,Kacang Hijau,1,1,12
Purwareja Klampok,2020,Jagung,315,2284,73
Purwareja Klampok,2020,Ubi Kayu,17,626,368
Purwareja Klampok,2020,Kacang Tanah,9,35,39
Purwareja Klampok,2020,Kedelai,159,223,14
Purwareja Klampok,2020,Kacang Hijau,150,112,7
Purwareja Klampok,2021,Jagung,10,60,60
Purwareja Klampok,2021,Ubi Kayu,17,626,369
Purwareja Klampok,2021,Kacang Tanah,36,90,25
Purwareja Klampok,2021,Kedelai,13,16,12
Purwareja Klampok,2022,Jagung,17,100,59
Purwareja Klampok,2022,Ubi Kayu,23,612,266
Purwareja Klampok,2022,Kacang Tanah,19,48,25
Purwareja Klampok,2022,Kedelai,10,15,15
Purwareja Klampok,2022,Kacang Hijau,4,5,12
Purwareja Klampok,2023,Jagung,31,185,60
Purwareja Klampok,2023,Ubi Kayu,15,390,260
Purwareja Klampok,2023,Kacang Tanah,16,40,25
Purwareja Klampok,2023,Kedelai,8,9,11
Purwareja Klampok,2023,Kacang Hijau,1,1,10
Purwareja Klampok,2024,Jagung,159,1045,66
Purwareja Klampok,2024,Ubi Kayu,12,321,268
Purwareja Klampok,2024,Kacang Tanah,32,84,26
Purwareja Klampok,2024,Kedelai,1,1,11
Purwareja Klampok,2024,Kacang Hijau,1,1,12
Rakit,2018,Jagung,111,514,46
Rakit,2018,Ubi Kayu,91,1870,206
Rakit,2018,Kacang Tanah,19,19,10
Rakit,2018,Kedelai,194,256,13
Rakit,2019,Jagung,882,5114,58
Rakit,2019,Ubi Kayu,77,1617,210
Rakit,2019,Kacang Tanah,53,53,10
Rakit,2019,Kedelai,14,14,11
Rakit,2020,Jagung,209,1231,59
Rakit,2020,Ubi Kayu,70,1796,257
Rakit,2020,Kacang Tanah,132,544,41
Rakit,2021,Jagung,163,1092,67
Rakit,2021,Ubi Kayu,300,7716,257
Rakit,2021,Kacang Tanah,173,260,15
Rakit,2021,Ubi Jalar,9,253,282
Rakit,2022,Jagung,131,817,62
Rakit,2022,Ubi Kayu,250,6425,257
Rakit,2022,Kacang Tanah,69,168,24
Rakit,2022,Ubi Jalar,3,84,281
Rakit,2023,Jagung,302,2092,69
Rakit,2023,Ubi Kayu,271,6980,258
Rakit,2023,Kacang Tanah,20,52,26
Rakit,2023,Ubi Jalar,5,139,278
Rakit,2024,Jagung,93,655,70
Rakit,2024,Ubi Kayu,184,4756,258
Rakit,2024,Kacang Tanah,158,413,26
Sigaluh,2019,Jagung,7,41,61
Sigaluh,2019,Ubi Kayu,2,43,225
Sigaluh,2019,Kacang Tanah,4,4,11
Sigaluh,2020,Jagung,63,413,66
Sigaluh,2020,Ubi Kayu,2,58,290
Sigaluh,2020,Kacang Tanah,2,7,35
Sigaluh,2021,Jagung,49,328,67
Sigaluh,2022,Jagung,78,511,66
Sigaluh,2023,Jagung,17,111,66
Sigaluh,2024,Jagung,111,736,66
Sigaluh,2024,Ubi Kayu,7,154,220
Sigaluh,2024,Kacang Tanah,13,31,24
Sigaluh,2024,Ubi Jalar,4,106,266
Susukan,2018,Jagung,448,2708,60
Susukan,2018,Ubi Kayu,107,2357,220
Susukan,2018,Kacang Tanah,19,20,10
Susukan,2018,Kedelai,547,764,14
Susukan,2019,Jagung,229,1429,62
Susukan,2019,Ubi Kayu,150,3825,255
Susukan,2019,Kacang Tanah,10
Susukan,2019,Kedelai,77,107,14
Susukan,2020,Jagung,795,6161,77
Susukan,2020,Ubi Kayu,190,4560,240
Susukan,2020,Kedelai,205,328,16
Susukan,2020,Kacang Hijau,50,39,8
Susukan,2021,Jagung,260,1768,68
Susukan,2021,Kacang Tanah,10,15,15
Susukan,2021,Kedelai,420,588,14
Susukan,2021,Kacang Hijau,11,13,12
Susukan,2022,Jagung,418,2608,62
Susukan,2022,Kacang Tanah,11,29,26
Susukan,2022,Kedelai,275,337,12
Susukan,2022,Kacang Hijau,3,3,12
Susukan,2023,Jagung,418,2618,63
Susukan,2023,Kacang Tanah,2,5,25
Susukan,2023,Kedelai,100,120,12
Susukan,2023,Kacang Hijau,3,3,10
Susukan,2024,Jagung,312,2075,67
Susukan,2024,Kedelai,9,11,13
Susukan,2024,Kacang Hijau,2,2,11
Wanadadi,2018,Jagung,58,292,50
Wanadadi,2018,Ubi Kayu,229,4933,215
Wanadadi,2018,Kacang Tanah,5,5,11
Wanadadi,2018,Kedelai,17,13,8
Wanadadi,2019,Jagung,140,935,67
Wanadadi,2019,Ubi Kayu,263,6444,245
Wanadadi,2019,Kacang Tanah,4,4,11
Wanadadi,2020,Jagung,140,952,68
Wanadadi,2020,Ubi Kayu,280,6160,220
Wanadadi,2020,Kacang Tanah,1,4,40
Wanadadi,2020,Kedelai,3,4,13
Wanadadi,2021,Jagung,41,291,71
Wanadadi,2021,Ubi Kayu,37,851,230
Wanadadi,2021,Kedelai,4,5,14
Wanadadi,2022,Jagung,99,741,75
Wanadadi,2022,Ubi Kayu,67,1650,246
Wanadadi,2023,Jagung,27,198,73
Wanadadi,2023,Ubi Kayu,82,1991,243
Wanadadi,2024,Jagung,252,1875,74
Wanadadi,2024,Ubi Kayu,26,641,247
Wanadadi,2024,Kedelai,2,3,13
Wanayasa,2018,Jagung,256,1160,45
Wanayasa,2018,Ubi Kayu,54,841,156
Wanayasa,2018,Ubi Jalar,10,189,189
Wanayasa,2019,Jagung,167,650,39
Wanayasa,2019,Ubi Kayu,61,1080,177
Wanayasa,2019,Ubi Jalar,5,94,189
Wanayasa,2020,Jagung,150,705,47
Wanayasa,2020,Ubi Kayu,48,864,180
Wanayasa,2020,Kedelai,15,18,12
Wanayasa,2021,Jagung,129,335,26
Wanayasa,2021,Ubi Kayu,32,576,180
Wanayasa,2021,Ubi Jalar,10,280,280
Wanayasa,2022,Jagung,35,135,39
Wanayasa,2022,Ubi Kayu,12,192,160
Wanayasa,2022,Ubi Jalar,9,252,280
Wanayasa,2023,Jagung,47,187,40
Wanayasa,2023,Ubi Kayu,10,200,200
Wanayasa,2024,Jagung,57,237,42
Wanayasa,2024,Ubi Kayu,10,201,201
Wanayasa,2024,Ubi Jalar,1,28,283
