Kecamatan,Kelompok,Jenis,Tahun,Jumlah (Ekor)
Banjarnegara,unggas,Ayam Kampung,2021,18980
Banjarnegara,unggas,Ayam Ras Layer,2021,7540
Banjarnegara,unggas,Ayam Broiler,2021,68600
Banjarnegara,unggas,Itik Biasa,2021,2533
Banjarnegara,unggas,Itik Manila,2021,2088
Banjarnegara,besar,Sapi Perah,2022,18
Banjarnegara,besar,Sapi,2022,1015
Banjarnegara,besar,Kerbau,2022,36
Banjarnegara,besar,Kuda,2022,44
Banjarnegara,kecil,Kambing,2022,5274
Banjarnegara,kecil,Domba,2022,587
Banjarnegara,kecil,Babi,2022,0
Banjarnegara,kecil,Kelinci,2022,3404
Banjarnegara,unggas,Ayam Kampung,2022,17986
Banjarnegara,unggas,Ayam Ras Layer,2022,7582
Banjarnegara,unggas,Ayam Broiler,2022,67492
Banjarnegara,unggas,Itik Biasa,2022,2458
Banjarnegara,unggas,Itik Manila,2022,2105
Banjarnegara,besar,Sapi Perah,2023,16
Banjarnegara,besar,Sapi,2023,781
Banjarnegara,besar,Kerbau,2023,22
Banjarnegara,besar,Kuda,2023,44
Banjarnegara,kecil,Kambing,2023,5390
Banjarnegara,kecil,Domba,2023,594
Banjarnegara,kecil,Kelinci,2023,3288
Banjarnegara,unggas,Ayam Kampung,2023,17986
Banjarnegara,unggas,Ayam Ras Layer,2023,7582
Banjarnegara,unggas,Ayam Broiler,2023,67492
Banjarnegara,unggas,Itik Biasa,2023,2458
Banjarnegara,unggas,Itik Manila,2023,2105
Banjarnegara,besar,Sapi Perah,2024,5
Banjarnegara,besar,Sapi,2024,1329
Banjarnegara,besar,Kerbau,2024,15
Banjarnegara,besar,Kuda,2024,44
Banjarnegara,kecil,Kambing,2024,3453
Banjarnegara,kecil,Domba,2024,3139
Banjarnegara,kecil,Kelinci,2024,341
Banjarnegara,unggas,Ayam Kampung,2024,47456
Banjarnegara,unggas,Ayam Ras Layer,2024,18443
Banjarnegara,unggas,Ayam Broiler,2024,30305
Banjarnegara,unggas,Itik Biasa,2024,726
Banjarnegara,unggas,Itik Manila,2024,363
Batur,besar,Sapi Perah,2018,0
Batur,besar,Sapi,2018,431
Batur,besar,Kerbau,2018,0
Batur,besar,Kuda,2018,5
Batur,kecil,Kambing,2018,0
Batur,kecil,Domba,2018,7660
Batur,kecil,Babi,2018,0
Batur,kecil,Kelinci,2018,404
Batur,unggas,Ayam Kampung,2018,3379
Batur,unggas,Ayam Ras Layer,2018,0
Batur,unggas,Ayam Broiler,2018,0
Batur,unggas,Itik Biasa,2018,0
Batur,unggas,Itik Manila,2018,1415
Batur,besar,Sapi,2019,393
Batur,besar,Kuda,2019,4
Batur,kecil,Domba,2019,4731
Batur,unggas,Ayam Kampung,2019,486
Batur,unggas,Itik Biasa,2019,0
Batur,besar,Sapi Perah,2020,0
Batur,besar,Sapi,2020,456
Batur,besar,Kerbau,2020,0
Batur,besar,Kuda,2020,4
Batur,kecil,Kambing,2020,0
Batur,kecil,Domba,2020,5271
Batur,kecil,Babi,2020,0
Batur,kecil,Kelinci,2020,0
Batur,unggas,Ayam Kampung,2020,495
Batur,unggas,Ayam Ras Layer,2020,0
Batur,unggas,Ayam Broiler,2020,0
Batur,unggas,Itik Biasa,2020,0
Batur,unggas,Itik Manila,2020,0
Batur,besar,Sapi Perah,2021,0
Batur,besar,Sapi,2021,486
Batur,besar,Kerbau,2021,0
Batur,besar,Kuda,2021,4
Batur,kecil,Kambing,2021,0
Batur,kecil,Domba,2021,5402.93
Batur,kecil,Babi,2021,0
Batur,kecil,Kelinci,2021,0
Batur,unggas,Ayam Kampung,2021,544
Batur,unggas,Ayam Ras Layer,2021,0
Batur,unggas,Ayam Broiler,2021,0
Batur,unggas,Itik Biasa,2021,0
Batur,unggas,Itik Manila,2021,0
Batur,besar,Sapi Perah,2022,0
Batur,besar,Sapi,2022,435
Batur,besar,Kerbau,2022,0
Batur,besar,Kuda,2022,7
Batur,kecil,Kambing,2022,0
Batur,kecil,Domba,2022,5428
Batur,kecil,Kelinci,2022,0
Batur,unggas,Ayam Kampung,2022,470
Batur,unggas,Ayam Ras Layer,2022,0
Batur,unggas,Ayam Broiler,2022,0
Batur,unggas,Itik Biasa,2022,0
Batur,unggas,Itik Manila,2022,0
Batur,besar,Sapi Perah,2023,0
Batur,besar,Sapi,2023,335
Batur,besar,Kerbau,2023,0
Batur,besar,Kuda,2023,7
Batur,kecil,Kambing,2023,0
Batur,kecil,Domba,2023,5491
Batur,kecil,Kelinci,2023,0
Batur,unggas,Ayam Kampung,2023,470
Batur,besar,Sapi Perah,2024,0
Batur,besar,Sapi,2024,150
Batur,besar,Kerbau,2024,0
Batur,besar,Kuda,2024,8
Batur,kecil,Kambing,2024,996
Batur,kecil,Domba,2024,6327
Batur,kecil,Kelinci,2024,29
Batur,unggas,Ayam Kampung,2024,157
Batur,unggas,Ayam Ras Layer,2024,0
Batur,unggas,Ayam Broiler,2024,0
Batur,unggas,Itik Biasa,2024,0
Batur,unggas,Itik Manila,2024,0
Bawang,besar,Sapi Perah,2018,0
Bawang,besar,Sapi,2018,2861
Bawang,besar,Kerbau,2018,3
Bawang,besar,Kuda,2018,7
Bawang,kecil,Kambing,2018,4623
Bawang,kecil,Domba,2018,788
Bawang,kecil,Babi,2018,0
Bawang,kecil,Kelinci,2018,812
Bawang,unggas,Ayam Kampung,2018,16909
Bawang,unggas,Ayam Ras Layer,2018,6550
Bawang,unggas,Ayam Broiler,2018,196000
Bawang,unggas,Itik Biasa,2018,4106
Bawang,unggas,Itik Manila,2018,835
Bawang,besar,Sapi,2019,2591
Bawang,besar,Kerbau,2019,3
Bawang,besar,Kuda,2019,6
Bawang,kecil,Kambing,2019,4715
Bawang,kecil,Domba,2019,876
Bawang,kecil,Kelinci,2019,838
Bawang,unggas,Ayam Kampung,2019,16922
Bawang,unggas,Ayam Ras Layer,2019,6550
Bawang,unggas,Ayam Broiler,2019,49000
Bawang,unggas,Itik Biasa,2019,4114
Bawang,unggas,Itik Manila,2019,842
Bawang,besar,Sapi Perah,2020,0
Bawang,besar,Sapi,2020,3006
Bawang,besar,Kerbau,2020,3
Bawang,besar,Kuda,2020,6
Bawang,kecil,Kambing,2020,4899
Bawang,kecil,Domba,2020,976
Bawang,kecil,Babi,2020,0
Bawang,kecil,Kelinci,2020,838
Bawang,unggas,Ayam Kampung,2020,17238
Bawang,unggas,Ayam Ras Layer,2020,6550
Bawang,unggas,Ayam Broiler,2020,49000
Bawang,unggas,Itik Biasa,2020,4114
Bawang,unggas,Itik Manila,2020,842
Bawang,besar,Sapi Perah,2021,0
Bawang,besar,Sapi,2021,3198
Bawang,besar,Kerbau,2021,3
Bawang,besar,Kuda,2021,6
Bawang,kecil,Kambing,2021,5200
Bawang,kecil,Domba,2021,1000.43
Bawang,kecil,Babi,2021,0
Bawang,kecil,Kelinci,2021,845
Bawang,unggas,Ayam Kampung,2021,18948
Bawang,unggas,Ayam Ras Layer,2021,6585
