Kecamatan,Kelompok,Jenis,Tahun,Jumlah (Ekor)
Mandiraja,unggas,Itik Biasa,2019,16650
Mandiraja,unggas,Itik Manila,2019,2326
Mandiraja,besar,Sapi Perah,2020,0
Mandiraja,besar,Sapi,2020,882
Mandiraja,besar,Kerbau,2020,3
Mandiraja,besar,Kuda,2020,1
Mandiraja,kecil,Kambing,2020,8034
Mandiraja,kecil,Domba,2020,485
Mandiraja,kecil,Babi,2020,11
Mandiraja,kecil,Kelinci,2020,859
Mandiraja,unggas,Ayam Kampung,2020,40803
Mandiraja,unggas,Ayam Ras Layer,2020,67600
Mandiraja,unggas,Ayam Broiler,2020,212000
Mandiraja,unggas,Itik Biasa,2020,19300
Mandiraja,unggas,Itik Manila,2020,2326
Mandiraja,besar,Sapi Perah,2021,0
Mandiraja,besar,Sapi,2021,940
Mandiraja,besar,Kerbau,2021,3
Mandiraja,besar,Kuda,2021,1
Mandiraja,kecil,Kambing,2021,8527
Mandiraja,kecil,Domba,2021,497.14
Mandiraja,kecil,Babi,2021,11
Mandiraja,kecil,Kelinci,2021,866
Mandiraja,unggas,Ayam Kampung,2021,44850
Mandiraja,unggas,Ayam Ras Layer,2021,67964
Mandiraja,unggas,Ayam Broiler,2021,939500
Mandiraja,unggas,Itik Biasa,2021,19524
Mandiraja,unggas,Itik Manila,2021,2329
Mandiraja,besar,Sapi Perah,2022,0
Mandiraja,besar,Sapi,2022,846
Mandiraja,besar,Kerbau,2022,3
Mandiraja,besar,Kuda,2022,1
Mandiraja,kecil,Kambing,2022,8575
Mandiraja,kecil,Domba,2022,519
Mandiraja,kecil,Babi,2022,10
Mandiraja,kecil,Kelinci,2022,847
Mandiraja,unggas,Ayam Kampung,2022,43981
Mandiraja,unggas,Ayam Ras Layer,2022,68001
Mandiraja,unggas,Ayam Broiler,2022,938531
Mandiraja,unggas,Itik Biasa,2022,19459
Mandiraja,unggas,Itik Manila,2022,2345
Mandiraja,besar,Sapi Perah,2023,0
Mandiraja,besar,Sapi,2023,651
Mandiraja,besar,Kerbau,2023,2
Mandiraja,besar,Kuda,2023,1
Mandiraja,kecil,Kambing,2023,8764
Mandiraja,kecil,Domba,2023,525
Mandiraja,kecil,Babi,2023,9
Mandiraja,kecil,Kelinci,2023,818
Mandiraja,unggas,Ayam Kampung,2023,43981
Mandiraja,unggas,Ayam Ras Layer,2023,68001
Mandiraja,unggas,Ayam Broiler,2023,938531
Mandiraja,unggas,Itik Biasa,2023,19459
Mandiraja,unggas,Itik Manila,2023,2345
Mandiraja,besar,Sapi Perah,2024,7
Mandiraja,besar,Sapi,2024,705
Mandiraja,besar,Kerbau,2024,4
Mandiraja,besar,Kuda,2024,1
Mandiraja,kecil,Kambing,2024,9324
Mandiraja,kecil,Domba,2024,1456
Mandiraja,kecil,Babi,2024,14
Mandiraja,kecil,Kelinci,2024,1272
Mandiraja,unggas,Ayam Kampung,2024,45482
Mandiraja,unggas,Ayam Ras Layer,2024,74139
Mandiraja,unggas,Ayam Broiler,2024,122043
Mandiraja,unggas,Itik Biasa,2024,14014
Mandiraja,unggas,Itik Manila,2024,7843
Pagedongan,besar,Sapi Perah,2018,0
Pagedongan,besar,Sapi,2018,234
Pagedongan,besar,Kerbau,2018,7
Pagedongan,besar,Kuda,2018,0
Pagedongan,kecil,Kambing,2018,2671
Pagedongan,kecil,Domba,2018,163
Pagedongan,kecil,Babi,2018,0
Pagedongan,kecil,Kelinci,2018,301
Pagedongan,unggas,Ayam Kampung,2018,6930
Pagedongan,unggas,Ayam Ras Layer,2018,4000
Pagedongan,unggas,Ayam Broiler,2018,368000
Pagedongan,unggas,Itik Biasa,2018,201
Pagedongan,unggas,Itik Manila,2018,364
Pagedongan,besar,Sapi,2019,231
Pagedongan,besar,Kerbau,2019,8
Pagedongan,kecil,Kambing,2019,1395
Pagedongan,kecil,Domba,2019,148
Pagedongan,kecil,Kelinci,2019,344
Pagedongan,unggas,Ayam Kampung,2019,6977
Pagedongan,unggas,Ayam Ras Layer,2019,4000
Pagedongan,unggas,Ayam Broiler,2019,92000
Pagedongan,unggas,Itik Biasa,2019,195
Pagedongan,unggas,Itik Manila,2019,373
Pagedongan,besar,Sapi Perah,2020,0
Pagedongan,besar,Sapi,2020,303
Pagedongan,besar,Kerbau,2020,6
Pagedongan,besar,Kuda,2020,0
Pagedongan,kecil,Kambing,2020,1379
Pagedongan,kecil,Domba,2020,226
Pagedongan,kecil,Babi,2020,0
Pagedongan,kecil,Kelinci,2020,460
Pagedongan,unggas,Ayam Kampung,2020,6391
Pagedongan,unggas,Ayam Ras Layer,2020,8150
Pagedongan,unggas,Ayam Broiler,2020,79000
Pagedongan,unggas,Itik Biasa,2020,266
Pagedongan,unggas,Itik Manila,2020,494
Pagedongan,besar,Sapi Perah,2021,0
Pagedongan,besar,Sapi,2021,323
Pagedongan,besar,Kerbau,2021,6
Pagedongan,besar,Kuda,2021,0
Pagedongan,kecil,Kambing,2021,1464
Pagedongan,kecil,Domba,2021,231.66
Pagedongan,kecil,Babi,2021,0
Pagedongan,kecil,Kelinci,2021,464
Pagedongan,unggas,Ayam Kampung,2021,7024
Pagedongan,unggas,Ayam Ras Layer,2021,8194
Pagedongan,unggas,Ayam Broiler,2021,350000
Pagedongan,unggas,Itik Biasa,2021,269
Pagedongan,unggas,Itik Manila,2021,495
Pagedongan,besar,Sapi Perah,2022,0
Pagedongan,besar,Sapi,2022,290
Pagedongan,besar,Kerbau,2022,6
Pagedongan,besar,Kuda,2022,0
Pagedongan,kecil,Kambing,2022,1511
Pagedongan,kecil,Domba,2022,253
Pagedongan,kecil,Babi,2022,0
Pagedongan,kecil,Kelinci,2022,467
Pagedongan,unggas,Ayam Kampung,2022,6279
Pagedongan,unggas,Ayam Ras Layer,2022,8225
Pagedongan,unggas,Ayam Broiler,2022,349169
Pagedongan,unggas,Itik Biasa,2022,213
Pagedongan,unggas,Itik Manila,2022,512
Pagedongan,besar,Sapi Perah,2023,0
Pagedongan,besar,Sapi,2023,223
Pagedongan,besar,Kerbau,2023,4
Pagedongan,besar,Kuda,2023,0
Pagedongan,kecil,Kambing,2023,1544
Pagedongan,kecil,Domba,2023,256
Pagedongan,kecil,Kelinci,2023,451
Pagedongan,unggas,Ayam Kampung,2023,6279
Pagedongan,unggas,Ayam Ras Layer,2023,8225
Pagedongan,unggas,Ayam Broiler,2023,349169
Pagedongan,unggas,Itik Biasa,2023,213
Pagedongan,unggas,Itik Manila,2023,512
Pagedongan,besar,Sapi Perah,2024,0
Pagedongan,besar,Sapi,2024,469
Pagedongan,besar,Kerbau,2024,0
Pagedongan,besar,Kuda,2024,0
Pagedongan,kecil,Kambing,2024,9393
Pagedongan,kecil,Domba,2024,884
Pagedongan,kecil,Kelinci,2024,474
Pagedongan,unggas,Ayam Kampung,2024,13004
Pagedongan,unggas,Ayam Ras Layer,2024,24672
Pagedongan,unggas,Ayam Broiler,2024,6667
Pagedongan,unggas,Itik Biasa,2024,30
Pagedongan,unggas,Itik Manila,2024,244
Pagentan,besar,Sapi Perah,2018,0
Pagentan,besar,Sapi,2018,2816
Pagentan,besar,Kerbau,2018,0
Pagentan,besar,Kuda,2018,0
Pagentan,kecil,Kambing,2018,21881
Pagentan,kecil,Domba,2018,5279
Pagentan,kecil,Babi,2018,0
Pagentan,kecil,Kelinci,2018,846
Pagentan,unggas,Ayam Kampung,2018,22989
Pagentan,unggas,Ayam Ras Layer,2018,600
Pagentan,unggas,Ayam Broiler,2018,1500
Pagentan,unggas,Itik Biasa,2018,756
Pagentan,unggas,Itik Manila,2018,0
Pagentan,besar,Sapi,2019,2824
Pagentan,kecil,Kambing,2019,21641
Pagentan,kecil,Domba,2019,5306
Pagentan,kecil,Kelinci,2019,872
Pagentan,unggas,Ayam Kampung,2019,22955
Pagentan,unggas,Ayam Ras Layer,2019,600
Pagentan,unggas,Ayam Broiler,2019,21000
Pagentan,unggas,Itik Biasa,2019,767
Pagentan,besar,Sapi Perah,2020,0
Pagentan,besar,Sapi,2020,3260
Pagentan,besar,Kerbau,2020,0
Pagentan,besar,Kuda,2020,0
Pagentan,kecil,Kambing,2020,21821
Pagentan,kecil,Domba,2020,5154
Pagentan,kecil,Babi,2020,0
Pagentan,kecil,Kelinci,2020,924
Pagentan,unggas,Ayam Kampung,2020,23384
Pagentan,unggas,Ayam Ras Layer,2020,0
Pagentan,unggas,Ayam Broiler,2020,105700
Pagentan,unggas,Itik Biasa,2020,771
Pagentan,unggas,Itik Manila,2020,0
Pagentan,besar,Sapi Perah,2021,0
Pagentan,besar,Sapi,2021,3473
Pagentan,besar,Kerbau,2021,0
Pagentan,besar,Kuda,2021,0
Pagentan,kecil,Kambing,2021,23161
Pagentan,kecil,Domba,2021,5283
Pagentan,kecil,Babi,2021,0
Pagentan,kecil,Kelinci,2021,931
Pagentan,unggas,Ayam Kampung,2021,25704
Pagentan,unggas,Ayam Ras Layer,2021,0
Pagentan,unggas,Ayam Broiler,2021,468500
Pagentan,unggas,Itik Biasa,2021,780
Pagentan,unggas,Itik Manila,2021,0
Pagentan,besar,Sapi Perah,2022,0
Pagentan,besar,Sapi,2022,3120
Pagentan,besar,Kerbau,2022,0
Pagentan,besar,Kuda,2022,0
Pagentan,kecil,Kambing,2022,23237
Pagentan,kecil,Domba,2022,5303
Pagentan,kecil,Kelinci,2022,932
Pagentan,unggas,Ayam Kampung,2022,24962
Pagentan,unggas,Ayam Ras Layer,2022,0
Pagentan,unggas,Ayam Broiler,2022,467808
Pagentan,unggas,Itik Biasa,2022,733
Pagentan,unggas,Itik Manila,2022,0
Pagentan,besar,Sapi Perah,2023,0
Pagentan,besar,Sapi,2023,2401
Pagentan,besar,Kerbau,2023,0
Pagentan,besar,Kuda,2023,0
Pagentan,kecil,Kambing,2023,23748
Pagentan,kecil,Domba,2023,5365
Pagentan,kecil,Kelinci,2023,900
Pagentan,unggas,Ayam Kampung,2023,24962
Pagentan,unggas,Ayam Broiler,2023,467808
Pagentan,unggas,Itik Biasa,2023,733
Pagentan,besar,Sapi Perah,2024,0
Pagentan,besar,Sapi,2024,1420
Pagentan,besar,Kerbau,2024,0
Pagentan,besar,Kuda,2024,0
Pagentan,kecil,Kambing,2024,17874
Pagentan,kecil,Domba,2024,3310
Pagentan,kecil,Kelinci,2024,542
Pagentan,unggas,Ayam Kampung,2024,1595
Pagentan,unggas,Ayam Ras Layer,2024,5282
Pagentan,unggas,Ayam Broiler,2024,90208
Pagentan,unggas,Itik Biasa,2024,11
Pagentan,unggas,Itik Manila,2024,102
Pandanarum,besar,Sapi Perah,2018,0
Pandanarum,besar,Sapi,2018,3429
Pandanarum,besar,Kerbau,2018,120
Pandanarum,besar,Kuda,2018,0
Pandanarum,kecil,Kambing,2018,6232
Pandanarum,kecil,Domba,2018,36
Pandanarum,kecil,Babi,2018,0
Pandanarum,kecil,Kelinci,2018,107
Pandanarum,unggas,Ayam Kampung,2018,8513
Pandanarum,unggas,Ayam Ras Layer,2018,0
Pandanarum,unggas,Ayam Broiler,2018,5000
Pandanarum,unggas,Itik Biasa,2018,131
Pandanarum,unggas,Itik Manila,2018,1441
Pandanarum,besar,Sapi,2019,2365
Pandanarum,besar,Kerbau,2019,16
Pandanarum,kecil,Kambing,2019,9527
Pandanarum,kecil,Domba,2019,5
Pandanarum,kecil,Kelinci,2019,580
Pandanarum,unggas,Ayam Kampung,2019,20756
Pandanarum,unggas,Ayam Broiler,2019,52000
Pandanarum,unggas,Itik Biasa,2019,99
Pandanarum,unggas,Itik Manila,2019,733
Pandanarum,besar,Sapi Perah,2020,0
Pandanarum,besar,Sapi,2020,2654
Pandanarum,besar,Kerbau,2020,8
Pandanarum,besar,Kuda,2020,0
Pandanarum,kecil,Kambing,2020,9874
Pandanarum,kecil,Domba,2020,0
Pandanarum,kecil,Babi,2020,0
Pandanarum,kecil,Kelinci,2020,437
Pandanarum,unggas,Ayam Kampung,2020,20871
Pandanarum,unggas,Ayam Ras Layer,2020,0
Pandanarum,unggas,Ayam Broiler,2020,30500
Pandanarum,unggas,Itik Biasa,2020,15
Pandanarum,unggas,Itik Manila,2020,702
Pandanarum,besar,Sapi Perah,2021,0
Pandanarum,besar,Sapi,2021,2827
Pandanarum,besar,Kerbau,2021,8
Pandanarum,besar,Kuda,2021,0
Pandanarum,kecil,Kambing,2021,10480
Pandanarum,kecil,Domba,2021,0
Pandanarum,kecil,Babi,2021,0
Pandanarum,kecil,Kelinci,2021,440
Pandanarum,unggas,Ayam Kampung,2021,22941
Pandanarum,unggas,Ayam Ras Layer,2021,0
Pandanarum,unggas,Ayam Broiler,2021,135200
Pandanarum,unggas,Itik Biasa,2021,15
Pandanarum,unggas,Itik Manila,2021,702
Pandanarum,besar,Sapi Perah,2022,0
Pandanarum,besar,Sapi,2022,2529
Pandanarum,besar,Kerbau,2022,8
Pandanarum,besar,Kuda,2022,0
Pandanarum,kecil,Kambing,2022,10501
Pandanarum,kecil,Domba,2022,0
Pandanarum,kecil,Kelinci,2022,447
Pandanarum,unggas,Ayam Kampung,2022,22417
Pandanarum,unggas,Ayam Ras Layer,2022,0
Pandanarum,unggas,Ayam Broiler,2022,134646
Pandanarum,unggas,Itik Biasa,2022,-23
Pandanarum,unggas,Itik Manila,2022,716
Pandanarum,besar,Sapi Perah,2023,0
Pandanarum,besar,Sapi,2023,1946
Pandanarum,besar,Kerbau,2023,5
Pandanarum,besar,Kuda,2023,0
Pandanarum,kecil,Kambing,2023,10732
Pandanarum,kecil,Domba,2023,0
Pandanarum,kecil,Kelinci,2023,432
Pandanarum,unggas,Ayam Kampung,2023,22417
Pandanarum,unggas,Ayam Broiler,2023,134646
Pandanarum,unggas,Itik Biasa,2023,23
Pandanarum,unggas,Itik Manila,2023,716
Pandanarum,besar,Sapi Perah,2024,0
Pandanarum,besar,Sapi,2024,2810
Pandanarum,besar,Kerbau,2024,17
Pandanarum,besar,Kuda,2024,0
Pandanarum,kecil,Kambing,2024,8940
Pandanarum,kecil,Domba,2024,558
Pandanarum,kecil,Kelinci,2024,55
Pandanarum,unggas,Ayam Kampung,2024,4929
Pandanarum,unggas,Ayam Ras Layer,2024,3273
Pandanarum,unggas,Ayam Broiler,2024,34410
Pandanarum,unggas,Itik Biasa,2024,99
Pandanarum,unggas,Itik Manila,2024,198
Pejawaran,besar,Sapi Perah,2018,111
Pejawaran,besar,Sapi,2018,1275
Pejawaran,besar,Kerbau,2018,0
Pejawaran,besar,Kuda,2018,0
Pejawaran,kecil,Kambing,2018,5381
Pejawaran,kecil,Domba,2018,9237
Pejawaran,kecil,Babi,2018,0
Pejawaran,kecil,Kelinci,2018,4064
Pejawaran,unggas,Ayam Kampung,2018,5578
Pejawaran,unggas,Ayam Ras Layer,2018,0
Pejawaran,unggas,Ayam Broiler,2018,50198
Pejawaran,unggas,Itik Biasa,2018,342
Pejawaran,unggas,Itik Manila,2018,244
Pejawaran,besar,Sapi Perah,2019,307
Pejawaran,besar,Sapi,2019,962
Pejawaran,kecil,Kambing,2019,8295
Pejawaran,kecil,Domba,2019,17922
Pejawaran,kecil,Kelinci,2019,6614
Pejawaran,unggas,Ayam Kampung,2019,2591
Pejawaran,unggas,Ayam Broiler,2019,34000
Pejawaran,unggas,Itik Biasa,2019,1315
Pejawaran,besar,Sapi Perah,2020,307
Pejawaran,besar,Sapi,2020,1116
Pejawaran,besar,Kerbau,2020,0
Pejawaran,besar,Kuda,2020,0
Pejawaran,kecil,Kambing,2020,8619
Pejawaran,kecil,Domba,2020,19966
Pejawaran,kecil,Babi,2020,0
Pejawaran,kecil,Kelinci,2020,6614
Pejawaran,unggas,Ayam Kampung,2020,2639
Pejawaran,unggas,Ayam Ras Layer,2020,0
Pejawaran,unggas,Ayam Broiler,2020,34000
Pejawaran,unggas,Itik Biasa,2020,1315
Pejawaran,unggas,Itik Manila,2020,0
Pejawaran,besar,Sapi Perah,2021,313
Pejawaran,besar,Sapi,2021,1189
Pejawaran,besar,Kerbau,2021,0
Pejawaran,besar,Kuda,2021,0
Pejawaran,kecil,Kambing,2021,9148
Pejawaran,kecil,Domba,2021,20465.72
Pejawaran,kecil,Babi,2021,0
Pejawaran,kecil,Kelinci,2021,6666
Pejawaran,unggas,Ayam Kampung,2021,2901
Pejawaran,unggas,Ayam Ras Layer,2021,0
Pejawaran,unggas,Ayam Broiler,2021,151600
Pejawaran,unggas,Itik Biasa,2021,1330
Pejawaran,unggas,Itik Manila,2021,0
Pejawaran,besar,Sapi Perah,2022,262
Pejawaran,besar,Sapi,2022,1060
Pejawaran,besar,Kerbau,2022,0
Pejawaran,besar,Kuda,2022,0
Pejawaran,kecil,Kambing,2022,9229
Pejawaran,kecil,Domba,2022,20487
Pejawaran,kecil,Kelinci,2022,6602
Pejawaran,unggas,Ayam Kampung,2022,2150
Pejawaran,unggas,Ayam Ras Layer,2022,0
Pejawaran,unggas,Ayam Broiler,2022,150770
Pejawaran,unggas,Itik Biasa,2022,1273
Pejawaran,unggas,Itik Manila,2022,0
Pejawaran,besar,Sapi Perah,2023,234
Pejawaran,besar,Sapi,2023,816
Pejawaran,besar,Kerbau,2023,0
Pejawaran,besar,Kuda,2023,0
Pejawaran,kecil,Kambing,2023,9432
Pejawaran,kecil,Domba,2023,20725
Pejawaran,kecil,Kelinci,2023,6376
Pejawaran,unggas,Ayam Kampung,2023,2150
Pejawaran,unggas,Ayam Broiler,2023,150770
Pejawaran,unggas,Itik Biasa,2023,1273
Pejawaran,besar,Sapi Perah,2024,52
Pejawaran,besar,Sapi,2024,1216
Pejawaran,besar,Kerbau,2024,0
Pejawaran,besar,Kuda,2024,0
Pejawaran,kecil,Kambing,2024,11501
Pejawaran,kecil,Domba,2024,10057
Pejawaran,kecil,Kelinci,2024,433
Pejawaran,unggas,Ayam Kampung,2024,2049
Pejawaran,unggas,Ayam Ras Layer,2024,1003
Pejawaran,unggas,Ayam Broiler,2024,233349
Pejawaran,unggas,Itik Biasa,2024,45
Pejawaran,unggas,Itik Manila,2024,31
Punggelan,besar,Sapi Perah,2018,0
Punggelan,besar,Sapi,2018,1102
Punggelan,besar,Kerbau,2018,72
Punggelan,besar,Kuda,2018,0
Punggelan,kecil,Kambing,2018,22702
Punggelan,kecil,Domba,2018,718
Punggelan,kecil,Babi,2018,0
Punggelan,kecil,Kelinci,2018,1119
Punggelan,unggas,Ayam Kampung,2018,17476
Punggelan,unggas,Ayam Ras Layer,2018,9500
Punggelan,unggas,Ayam Broiler,2018,560000
Punggelan,unggas,Itik Biasa,2018,735
Punggelan,unggas,Itik Manila,2018,2625
Punggelan,besar,Sapi,2019,1139
Punggelan,besar,Kerbau,2019,73
Punggelan,kecil,Kambing,2019,22165
Punggelan,kecil,Domba,2019,853
Punggelan,kecil,Kelinci,2019,575
Punggelan,unggas,Ayam Kampung,2019,20815
Punggelan,unggas,Ayam Ras Layer,2019,26500
Punggelan,unggas,Ayam Broiler,2019,73500
Punggelan,unggas,Itik Biasa,2019,3363
Punggelan,unggas,Itik Manila,2019,2041
Punggelan,besar,Sapi Perah,2020,0
Punggelan,besar,Sapi,2020,1321
Punggelan,besar,Kerbau,2020,73
Punggelan,besar,Kuda,2020,0
Punggelan,kecil,Kambing,2020,23029
Punggelan,kecil,Domba,2020,950
Punggelan,kecil,Babi,2020,0
Punggelan,kecil,Kelinci,2020,575
Punggelan,unggas,Ayam Kampung,2020,21204
Punggelan,unggas,Ayam Ras Layer,2020,26500
Punggelan,unggas,Ayam Broiler,2020,73500
Punggelan,unggas,Itik Biasa,2020,3363
Punggelan,unggas,Itik Manila,2020,2041
Punggelan,besar,Sapi Perah,2021,0
Punggelan,besar,Sapi,2021,1407
Punggelan,besar,Kerbau,2021,73
Punggelan,besar,Kuda,2021,0
Punggelan,kecil,Kambing,2021,24443
Punggelan,kecil,Domba,2021,973.78
Punggelan,kecil,Babi,2021,0
Punggelan,kecil,Kelinci,2021,579
Punggelan,unggas,Ayam Kampung,2021,23308
Punggelan,unggas,Ayam Ras Layer,2021,26643
Punggelan,unggas,Ayam Broiler,2021,325700
Punggelan,unggas,Itik Biasa,2021,3402
Punggelan,unggas,Itik Manila,2021,2043
Punggelan,besar,Sapi Perah,2022,0
Punggelan,besar,Sapi,2022,1266
Punggelan,besar,Kerbau,2022,73
Punggelan,besar,Kuda,2022,0
Punggelan,kecil,Kambing,2022,24531
Punggelan,kecil,Domba,2022,1041
Punggelan,kecil,Babi,2022,0
Punggelan,kecil,Kelinci,2022,581
Punggelan,unggas,Ayam Kampung,2022,22563
Punggelan,unggas,Ayam Ras Layer,2022,26669
Punggelan,unggas,Ayam Broiler,2022,324869
Punggelan,unggas,Itik Biasa,2022,3345
Punggelan,unggas,Itik Manila,2022,2061
Punggelan,besar,Sapi Perah,2023,0
Punggelan,besar,Sapi,2023,974
Punggelan,besar,Kerbau,2023,44
Punggelan,besar,Kuda,2023,0
Punggelan,kecil,Kambing,2023,25070
Punggelan,kecil,Domba,2023,1053
Punggelan,kecil,Kelinci,2023,561
Punggelan,unggas,Ayam Kampung,2023,22563
Punggelan,unggas,Ayam Ras Layer,2023,26669
Punggelan,unggas,Ayam Broiler,2023,324869
Punggelan,unggas,Itik Biasa,2023,3345
Punggelan,unggas,Itik Manila,2023,2061
Punggelan,besar,Sapi Perah,2024,0
Punggelan,besar,Sapi,2024,1084
Punggelan,besar,Kerbau,2024,12
Punggelan,besar,Kuda,2024,0
Punggelan,kecil,Kambing,2024,24644
Punggelan,kecil,Domba,2024,2589
Punggelan,kecil,Babi,2024,20
Punggelan,kecil,Kelinci,2024,483
Punggelan,unggas,Ayam Kampung,2024,44954
Punggelan,unggas,Ayam Ras Layer,2024,41448
Punggelan,unggas,Ayam Broiler,2024,975914
Punggelan,unggas,Itik Biasa,2024,580
Punggelan,unggas,Itik Manila,2024,1065
Purwanegara,besar,Sapi Perah,2018,0
Purwanegara,besar,Sapi,2018,1412
Purwanegara,besar,Kerbau,2018,41
Purwanegara,besar,Kuda,2018,0
Purwanegara,kecil,Kambing,2018,14917
Purwanegara,kecil,Domba,2018,136
Purwanegara,kecil,Babi,2018,59
Purwanegara,kecil,Kelinci,2018,628
Purwanegara,unggas,Ayam Kampung,2018,83776
Purwanegara,unggas,Ayam Ras Layer,2018,27300
Purwanegara,unggas,Ayam Broiler,2018,656000
Purwanegara,unggas,Itik Biasa,2018,11090
Purwanegara,unggas,Itik Manila,2018,912
Purwanegara,besar,Sapi,2019,1412
Purwanegara,besar,Kerbau,2019,41
Purwanegara,kecil,Kambing,2019,14917
Purwanegara,kecil,Domba,2019,136
Purwanegara,kecil,Babi,2019,59
Purwanegara,kecil,Kelinci,2019,628
Purwanegara,unggas,Ayam Kampung,2019,83776
Purwanegara,unggas,Ayam Ras Layer,2019,27300
Purwanegara,unggas,Ayam Broiler,2019,164000
Purwanegara,unggas,Itik Biasa,2019,11090
Purwanegara,unggas,Itik Manila,2019,912
Purwanegara,besar,Sapi Perah,2020,0
Purwanegara,besar,Sapi,2020,1638
Purwanegara,besar,Kerbau,2020,41
Purwanegara,besar,Kuda,2020,0
Purwanegara,kecil,Kambing,2020,15499
Purwanegara,kecil,Domba,2020,152
Purwanegara,kecil,Babi,2020,59
Purwanegara,kecil,Kelinci,2020,628
Purwanegara,unggas,Ayam Kampung,2020,85331
Purwanegara,unggas,Ayam Ras Layer,2020,27300
Purwanegara,unggas,Ayam Broiler,2020,164000
Purwanegara,unggas,Itik Biasa,2020,11090
Purwanegara,unggas,Itik Manila,2020,912
Purwanegara,besar,Sapi Perah,2021,0
Purwanegara,besar,Sapi,2021,1745
Purwanegara,besar,Kerbau,2021,41
Purwanegara,besar,Kuda,2021,0
Purwanegara,kecil,Kambing,2021,16451
Purwanegara,kecil,Domba,2021,155.8
Purwanegara,kecil,Babi,2021,59
Purwanegara,kecil,Kelinci,2021,633
Purwanegara,unggas,Ayam Kampung,2021,93795
Purwanegara,unggas,Ayam Ras Layer,2021,27446
Purwanegara,unggas,Ayam Broiler,2021,726722
Purwanegara,unggas,Itik Biasa,2021,11219
Purwanegara,unggas,Itik Manila,2021,913
Purwanegara,besar,Sapi Perah,2022,0
Purwanegara,besar,Sapi,2022,1560
Purwanegara,besar,Kerbau,2022,39
Purwanegara,besar,Kuda,2022,0
Purwanegara,kecil,Kambing,2022,16549
Purwanegara,kecil,Domba,2022,166
Purwanegara,kecil,Babi,2022,58
Purwanegara,kecil,Kelinci,2022,622
Purwanegara,unggas,Ayam Kampung,2022,93422
Purwanegara,unggas,Ayam Ras Layer,2022,27482
Purwanegara,unggas,Ayam Broiler,2022,726307
Purwanegara,unggas,Itik Biasa,2022,11191
Purwanegara,unggas,Itik Manila,2022,937
Purwanegara,besar,Sapi Perah,2023,0
Purwanegara,besar,Sapi,2023,1201
Purwanegara,besar,Kerbau,2023,24
Purwanegara,besar,Kuda,2023,0
Purwanegara,kecil,Kambing,2023,16913
Purwanegara,kecil,Domba,2023,168
Purwanegara,kecil,Babi,2023,56
Purwanegara,kecil,Kelinci,2023,601
Purwanegara,unggas,Ayam Kampung,2023,93422
Purwanegara,unggas,Ayam Ras Layer,2023,27482
Purwanegara,unggas,Ayam Broiler,2023,726307
Purwanegara,unggas,Itik Biasa,2023,11191
Purwanegara,unggas,Itik Manila,2023,937
Purwanegara,besar,Sapi Perah,2024,1
Purwanegara,besar,Sapi,2024,2672
Purwanegara,besar,Kerbau,2024,10
Purwanegara,besar,Kuda,2024,0
Purwanegara,kecil,Kambing,2024,18165
Purwanegara,kecil,Domba,2024,1426
Purwanegara,kecil,Kelinci,2024,1055
Purwanegara,unggas,Ayam Kampung,2024,70441
Purwanegara,unggas,Ayam Ras Layer,2024,42088
Purwanegara,unggas,Ayam Broiler,2024,21354
Purwanegara,unggas,Itik Biasa,2024,6694
Purwanegara,unggas,Itik Manila,2024,4234
Purwareja Klampok,besar,Sapi Perah,2018,0
Purwareja Klampok,besar,Sapi,2018,340
Purwareja Klampok,besar,Kerbau,2018,2
Purwareja Klampok,besar,Kuda,2018,12
Purwareja Klampok,kecil,Kambing,2018,3219
Purwareja Klampok,kecil,Domba,2018,39
Purwareja Klampok,kecil,Babi,2018,123
Purwareja Klampok,kecil,Kelinci,2018,540
Purwareja Klampok,unggas,Ayam Kampung,2018,27966
Purwareja Klampok,unggas,Ayam Ras Layer,2018,200
Purwareja Klampok,unggas,Ayam Broiler,2018,265000
Purwareja Klampok,unggas,Itik Biasa,2018,614
Purwareja Klampok,unggas,Itik Manila,2018,360
Purwareja Klampok,besar,Sapi,2019,351
Purwareja Klampok,besar,Kuda,2019,9
Purwareja Klampok,kecil,Kambing,2019,3239
Purwareja Klampok,kecil,Domba,2019,23
Purwareja Klampok,kecil,Babi,2019,134
Purwareja Klampok,kecil,Kelinci,2019,469
Purwareja Klampok,unggas,Ayam Kampung,2019,27947
Purwareja Klampok,unggas,Ayam Ras Layer,2019,57000
Purwareja Klampok,unggas,Ayam Broiler,2019,32000
Purwareja Klampok,unggas,Itik Biasa,2019,983
Purwareja Klampok,unggas,Itik Manila,2019,351
Purwareja Klampok,besar,Sapi Perah,2020,0
Purwareja Klampok,besar,Sapi,2020,407
Purwareja Klampok,besar,Kerbau,2020,0
Purwareja Klampok,besar,Kuda,2020,9
Purwareja Klampok,kecil,Kambing,2020,3365
Purwareja Klampok,kecil,Domba,2020,26
Purwareja Klampok,kecil,Babi,2020,134
Purwareja Klampok,kecil,Kelinci,2020,469
Purwareja Klampok,unggas,Ayam Kampung,2020,28469
Purwareja Klampok,unggas,Ayam Ras Layer,2020,57000
Purwareja Klampok,unggas,Ayam Broiler,2020,32000
Purwareja Klampok,unggas,Itik Biasa,2020,984
Purwareja Klampok,unggas,Itik Manila,2020,351
Purwareja Klampok,besar,Sapi Perah,2021,0
