Kecamatan,Jenis Alat,Tahun,Produksi (Kg),Nilai (Ribu Rp)
Karangkobar,Lainnya,2022,1102,22853.5
Karangkobar,Jala Tebar,2023,2866.65,56088.6
Karangkobar,Pancing,2023,2334.34,45673.48
Karangkobar,Jaring Ingsang,2023,0,0
Karangkobar,Lainnya,2023,2251.68,44056.25
Karangkobar,Jala Tebar,2024,0,0
Karangkobar,Pancing,2024,0,0
Karangkobar,Jaring Ingsang,2024,0,0
Karangkobar,Lainnya,2024,0,0
Madukara,Jala Tebar,2019,3942.75,74354.31
Madukara,Pancing,2019,7592.88,138728.19
Madukara,Jaring Ingsang,2019,966.43,17157.86
Madukara,Lainnya,2019,3215.35,48020.13
Madukara,Jala Tebar,2020,4687,95507.2
Madukara,Pancing,2020,8601,171301
Madukara,Jaring Ingsang,2020,1055,22280.6
Madukara,Lainnya,2020,3135,65664
Madukara,Jala Tebar,2021,5473,107124.9
Madukara,Pancing,2021,8013,152743.5
Madukara,Jaring Ingsang,2021,0,0
Madukara,Lainnya,2021,2998,62238.5
Madukara,Jala Tebar,2022,4112,79913
Madukara,Pancing,2022,4028,75889.9
Madukara,Lainnya,2022,1778,36867.1
Madukara,Jala Tebar,2023,4624.45,90481.61
Madukara,Pancing,2023,3765.73,73680.04
Madukara,Jaring Ingsang,2023,0,0
Madukara,Lainnya,2023,3632.4,71071.13
Madukara,Jala Tebar,2024,0,0
Madukara,Pancing,2024,0,0
Madukara,Jaring Ingsang,2024,0,0
Madukara,Lainnya,2024,0,0
Mandiraja,Jala Tebar,2019,24266.4,457628.18
Mandiraja,Pancing,2019,46731.85,853829.87
Mandiraja,Jaring Ingsang,2019,5948.08,105601.41
Mandiraja,Lainnya,2019,19789.53,295549.31
Mandiraja,Jala Tebar,2020,28846,587817.9
Mandiraja,Pancing,2020,52937,1054305.7
Mandiraja,Jaring Ingsang,2020,6491,137130
Mandiraja,Lainnya,2020,19297,404141.7
Mandiraja,Jala Tebar,2021,33684,659321.3
Mandiraja,Pancing,2021,49315,940090
Mandiraja,Jaring Ingsang,2021,0,0
Mandiraja,Lainnya,2021,18452,383058.9
Mandiraja,Jala Tebar,2022,25309,491840.2
Mandiraja,Pancing,2022,24793,467079
Mandiraja,Lainnya,2022,10946,226905.7
Mandiraja,Jala Tebar,2023,28768.09,562873.97
Mandiraja,Pancing,2023,22570.95,441621.29
Mandiraja,Jaring Ingsang,2023,0,0
Mandiraja,Lainnya,2023,22656.29,443290.99
Mandiraja,Jala Tebar,2024,32465,662823.85
Mandiraja,Pancing,2024,0,0
Mandiraja,Jaring Ingsang,2024,0,0
Mandiraja,Lainnya,2024,0,0
Pagedongan,Jala Tebar,2019,2609.62,49213.51
Pagedongan,Pancing,2019,6040.99,110373.89
Pagedongan,Jaring Ingsang,2019,639.66,11356.42
Pagedongan,Lainnya,2019,2128.17,31783.49
Pagedongan,Jala Tebar,2020,3102,63214
Pagedongan,Pancing,2020,6928,137999.4
Pagedongan,Jaring Ingsang,2020,698,14747
Pagedongan,Lainnya,2020,2075,43461.6
Pagedongan,Jala Tebar,2021,3701,72430.7
Pagedongan,Pancing,2021,6605,126944.5
Pagedongan,Jaring Ingsang,2021,0,0
Pagedongan,Lainnya,2021,1984,41194.3
Pagedongan,Jala Tebar,2022,2779,54043.1
Pagedongan,Pancing,2022,3690,70743.4
Pagedongan,Lainnya,2022,1177,24401.5
Pagedongan,Jala Tebar,2023,3139.89,59513.02
Pagedongan,Pancing,2023,3794.4,71918.51
Pagedongan,Jaring Ingsang,2023,0,0
Pagedongan,Lainnya,2023,2404.2,45568.98
Pagedongan,Jala Tebar,2024,0,0
Pagedongan,Pancing,2024,0,0
Pagedongan,Jaring Ingsang,2024,0,0
Pagedongan,Lainnya,2024,0,0
Pagentan,Jala Tebar,2019,2836.16,53485.81
Pagentan,Pancing,2019,5461.84,99792.32
Pagentan,Jaring Ingsang,2019,695.19,12342.28
Pagentan,Lainnya,2019,2312.92,34542.66
Pagentan,Jala Tebar,2020,3371,68701.9
Pagentan,Pancing,2020,6187,123223.2
Pagentan,Jaring Ingsang,2020,759,16027.2
Pagentan,Lainnya,2020,2255,47234.5
Pagentan,Jala Tebar,2021,3937,77058.9
Pagentan,Pancing,2021,5764,109874.1
Pagentan,Jaring Ingsang,2021,0,0
Pagentan,Lainnya,2021,2157,44770.4
Pagentan,Jala Tebar,2022,2958,57484.4
Pagentan,Pancing,2022,2898,54590.4
Pagentan,Lainnya,2022,1279,26519.9
Pagentan,Jala Tebar,2023,3326.54,65086.77
Pagentan,Pancing,2023,2708.83,53000.78
Pagentan,Jaring Ingsang,2023,0,0
Pagentan,Lainnya,2023,2612.92,51124.1
Pagentan,Jala Tebar,2024,0,0
Pagentan,Pancing,2024,0,0
Pagentan,Jaring Ingsang,2024,0,0
