Kecamatan,Arah (Masuk/Keluar),Tahun,Jumlah (Ekor)
Pejawaran,lain_daerah,2021,202243.65
Pejawaran,sendiri,2022,329201.94
Pejawaran,lain_daerah,2022,216864.1
Pejawaran,sendiri,2023,331431.17
Pejawaran,lain_daerah,2023,218332.62
Pejawaran,sendiri,2024,329112.03
Pejawaran,lain_daerah,2024,216804.87
Punggelan,sendiri,2018,0
Punggelan,lain_daerah,2018,1326418.65
Punggelan,sendiri,2019,143471
Punggelan,lain_daerah,2019,1247737
Punggelan,sendiri,2020,219602.94
Punggelan,lain_daerah,2020,1909846.26
Punggelan,sendiri,2021,239518.63
Punggelan,lain_daerah,2021,2083049.38
Punggelan,sendiri,2022,256833.74
Punggelan,lain_daerah,2022,2233635.68
Punggelan,sendiri,2023,258572.92
Punggelan,lain_daerah,2023,2248760.99
Punggelan,sendiri,2024,256763.59
Punggelan,lain_daerah,2024,2233025.64
Purwanegara,sendiri,2018,0
Purwanegara,lain_daerah,2018,5817206.14
Purwanegara,sendiri,2019,1644047
Purwanegara,lain_daerah,2019,4457301
Purwanegara,sendiri,2020,3347169.03
Purwanegara,lain_daerah,2020,9074763.39
Purwanegara,sendiri,2021,3650722.33
Purwanegara,lain_daerah,2021,9897749.73
Purwanegara,sendiri,2022,3914637.71
Purwanegara,lain_daerah,2022,10613270.7
Purwanegara,sendiri,2023,3941146.1
Purwanegara,lain_daerah,2023,10685139.6
Purwanegara,sendiri,2024,3913568.55
Purwanegara,lain_daerah,2024,10610372.03
Purwareja Klampok,sendiri,2018,0
Purwareja Klampok,lain_daerah,2018,1310624.03
Purwareja Klampok,sendiri,2019,1211896
Purwareja Klampok,lain_daerah,2019,162746
Purwareja Klampok,sendiri,2020,915588.03
Purwareja Klampok,lain_daerah,2020,122954.81
Purwareja Klampok,sendiri,2021,998622.31
Purwareja Klampok,lain_daerah,2021,134105.53
Purwareja Klampok,sendiri,2022,1070813.99
Purwareja Klampok,lain_daerah,2022,143800.19
Purwareja Klampok,sendiri,2023,1078065.13
Purwareja Klampok,lain_daerah,2023,144773.95
Purwareja Klampok,sendiri,2024,1070521.54
Purwareja Klampok,lain_daerah,2024,143760.92
Rakit,sendiri,2018,0
Rakit,lain_daerah,2018,2057162.33
Rakit,sendiri,2019,1280754
