Kecamatan,Lokasi (RPH),Jenis,Tahun,Jumlah (Ekor)
Bawang,luar_rph,Domba,2024,153
Kalibening,luar_rph,Sapi,2018,243
Kalibening,luar_rph,Kerbau,2018,0
Kalibening,luar_rph,Babi,2018,0
Kalibening,luar_rph,Kambing,2018,308
Kalibening,luar_rph,Domba,2018,377
Kalibening,luar_rph,Sapi,2020,219
Kalibening,luar_rph,Kerbau,2020,0
Kalibening,luar_rph,Babi,2020,0
Kalibening,luar_rph,Kambing,2020,308
Kalibening,luar_rph,Domba,2020,574
Kalibening,luar_rph,Sapi,2021,235
Kalibening,luar_rph,Kerbau,2021,0
Kalibening,luar_rph,Babi,2021,0
Kalibening,luar_rph,Kambing,2021,471
Kalibening,luar_rph,Domba,2021,0
Kalibening,luar_rph,Sapi,2023,343
Kalibening,luar_rph,Kerbau,2023,0
Kalibening,luar_rph,Babi,2023,0
Kalibening,luar_rph,Kambing,2023,250
Kalibening,luar_rph,Domba,2023,263
Kalibening,luar_rph,Sapi,2024,332
Kalibening,luar_rph,Kerbau,2024,0
Kalibening,luar_rph,Babi,2024,0
Kalibening,luar_rph,Kambing,2024,240
Kalibening,luar_rph,Domba,2024,507
Karangkobar,luar_rph,Sapi,2018,123
Karangkobar,luar_rph,Kerbau,2018,0
Karangkobar,luar_rph,Babi,2018,0
Karangkobar,luar_rph,Kambing,2018,247
Karangkobar,luar_rph,Domba,2018,102
Karangkobar,luar_rph,Sapi,2020,118
Karangkobar,luar_rph,Kerbau,2020,0
Karangkobar,luar_rph,Babi,2020,0
Karangkobar,luar_rph,Kambing,2020,978
Karangkobar,luar_rph,Domba,2020,270
Karangkobar,luar_rph,Sapi,2021,154
Karangkobar,luar_rph,Kerbau,2021,0
Karangkobar,luar_rph,Babi,2021,0
Karangkobar,luar_rph,Kambing,2021,234
Karangkobar,luar_rph,Domba,2021,63
Karangkobar,luar_rph,Sapi,2023,163
Karangkobar,luar_rph,Kerbau,2023,0
Karangkobar,luar_rph,Babi,2023,0
Karangkobar,luar_rph,Kambing,2023,166
Karangkobar,luar_rph,Domba,2023,68
Karangkobar,luar_rph,Sapi,2024,165
Karangkobar,luar_rph,Kerbau,2024,0
Karangkobar,luar_rph,Babi,2024,0
Karangkobar,luar_rph,Kambing,2024,225
Karangkobar,luar_rph,Domba,2024,193
Madukara,luar_rph,Sapi,2018,183
Madukara,luar_rph,Kerbau,2018,0
Madukara,luar_rph,Babi,2018,0
Madukara,luar_rph,Kambing,2018,334
Madukara,luar_rph,Domba,2018,10
Madukara,luar_rph,Sapi,2020,163
Madukara,luar_rph,Kerbau,2020,0
Madukara,luar_rph,Babi,2020,0
Madukara,luar_rph,Kambing,2020,438
Madukara,luar_rph,Domba,2020,69
Madukara,luar_rph,Sapi,2021,220
Madukara,luar_rph,Kerbau,2021,0
Madukara,luar_rph,Babi,2021,0
Madukara,luar_rph,Kambing,2021,322
Madukara,luar_rph,Domba,2021,0
Madukara,luar_rph,Sapi,2023,252
Madukara,luar_rph,Kerbau,2023,0
Madukara,luar_rph,Babi,2023,0
Madukara,luar_rph,Kambing,2023,0
Madukara,luar_rph,Domba,2023,5
Madukara,luar_rph,Sapi,2024,252
Madukara,luar_rph,Kerbau,2024,0
Madukara,luar_rph,Babi,2024,0
Madukara,luar_rph,Kambing,2024,368
Madukara,luar_rph,Domba,2024,93
Mandiraja,luar_rph,Sapi,2018,132
Mandiraja,luar_rph,Kerbau,2018,0
Mandiraja,luar_rph,Babi,2018,0
Mandiraja,luar_rph,Kambing,2018,347
