Kecamatan,Kelompok,Jenis,Tahun,Produksi (Kg)
Bawang,ternak,Kambing,2019,3432.16
Bawang,ternak,Domba,2019,1150.13
Bawang,unggas,Ayam Ras Layer,2019,5116
Bawang,unggas,Ayam Kampung,2019,38409
Bawang,ternak,Sapi,2020,55803.33
Bawang,ternak,Kerbau,2020,0
Bawang,ternak,Babi,2020,0
Bawang,ternak,Kambing,2020,4431.68
Bawang,ternak,Domba,2020,545.6
Bawang,unggas,Ayam Ras Layer,2020,27811
Bawang,unggas,Ayam Kampung,2020,193040
Bawang,ternak,Sapi,2021,68911.91
Bawang,ternak,Kerbau,2021,0
Bawang,ternak,Babi,2021,0
Bawang,ternak,Kambing,2021,4737.93
Bawang,ternak,Domba,2021,530.37
Bawang,unggas,Ayam Ras Layer,2021,54882
Bawang,unggas,Ayam Kampung,2021,25688
Bawang,ternak,Sapi,2022,65713.3
Bawang,ternak,Kerbau,2022,0
Bawang,ternak,Babi,2022,0
Bawang,ternak,Kambing,2022,4804.48
Bawang,ternak,Domba,2022,549
Bawang,unggas,Ayam Ras Layer,2022,2977.06
Bawang,unggas,Ayam Kampung,2022,29219.5
Bawang,ternak,Sapi,2023,66293.32
Bawang,ternak,Kambing,2023,2825.02
Bawang,ternak,Domba,2023,833.65
Bawang,unggas,Ayam Ras Layer,2023,649821.08
Bawang,unggas,Ayam Kampung,2023,260332.58
Bawang,ternak,Sapi,2024,65065
Bawang,ternak,Kerbau,2024,0
Bawang,ternak,Babi,2024,0
Bawang,ternak,Kambing,2024,4387.5
Bawang,ternak,Domba,2024,1647.94
Bawang,unggas,Ayam Ras Layer,2024,4269.63
Bawang,unggas,Ayam Kampung,2024,17283.87
Kalibening,ternak,Sapi,2018,45845.16
Kalibening,ternak,Kerbau,2018,0
Kalibening,ternak,Babi,2018,0
Kalibening,ternak,Kambing,2018,5339.22
Kalibening,ternak,Domba,2018,5142.27
Kalibening,ternak,Sapi,2019,49790.85
Kalibening,ternak,Kambing,2019,9291.67
Kalibening,ternak,Domba,2019,754.26
Kalibening,unggas,Ayam Ras Layer,2019,85
Kalibening,unggas,Ayam Kampung,2019,52602
Kalibening,ternak,Sapi,2020,41147.91
Kalibening,ternak,Kerbau,2020,0
Kalibening,ternak,Babi,2020,0
Kalibening,ternak,Kambing,2020,3481.4
Kalibening,ternak,Domba,2020,6072.82
Kalibening,unggas,Ayam Ras Layer,2020,30321
Kalibening,unggas,Ayam Kampung,2020,262386
Kalibening,ternak,Sapi,2021,50813.83
Kalibening,ternak,Kerbau,2021,0
Kalibening,ternak,Babi,2021,0
Kalibening,ternak,Kambing,2021,3721.98
Kalibening,ternak,Domba,2021,5903.31
Kalibening,unggas,Ayam Ras Layer,2021,16761
Kalibening,unggas,Ayam Kampung,2021,28048
Kalibening,ternak,Sapi,2022,42284.2
Kalibening,ternak,Kerbau,2022,0
Kalibening,ternak,Babi,2022,0
Kalibening,ternak,Kambing,2022,3761.91
Kalibening,ternak,Domba,2022,5931.25
Kalibening,unggas,Ayam Ras Layer,2022,0
Kalibening,unggas,Ayam Kampung,2022,32906.72
Kalibening,ternak,Sapi,2023,42657.42
Kalibening,ternak,Kambing,2023,2211.99
Kalibening,ternak,Domba,2023,9006.53
Kalibening,unggas,Ayam Ras Layer,2023,890270.02
Kalibening,unggas,Ayam Kampung,2023,285134.27
Kalibening,ternak,Sapi,2024,61718.8
Kalibening,ternak,Kerbau,2024,0
Kalibening,ternak,Babi,2024,0
Kalibening,ternak,Kambing,2024,5805
Kalibening,ternak,Domba,2024,5141.99
Kalibening,unggas,Ayam Ras Layer,2024,230.02
Kalibening,unggas,Ayam Kampung,2024,5103.09
Karangkobar,ternak,Sapi,2018,23298.36
Karangkobar,ternak,Kerbau,2018,0
Karangkobar,ternak,Babi,2018,0
Karangkobar,ternak,Kambing,2018,11660.5
Karangkobar,ternak,Domba,2018,3872.57
Karangkobar,ternak,Sapi,2019,20104.23
Karangkobar,ternak,Kambing,2019,5024.05
Karangkobar,ternak,Domba,2019,1581.26
Karangkobar,unggas,Ayam Ras Layer,2019,3939
Karangkobar,unggas,Ayam Kampung,2019,60182
Karangkobar,ternak,Sapi,2020,22171.02
Karangkobar,ternak,Kerbau,2020,0
Karangkobar,ternak,Babi,2020,0
Karangkobar,ternak,Kambing,2020,11035.27
Karangkobar,ternak,Domba,2020,2852.36
Karangkobar,unggas,Ayam Ras Layer,2020,43552
Karangkobar,unggas,Ayam Kampung,2020,325624
Karangkobar,ternak,Sapi,2021,27379.14
Karangkobar,ternak,Kerbau,2021,0
Karangkobar,ternak,Babi,2021,0
Karangkobar,ternak,Kambing,2021,11797.86
Karangkobar,ternak,Domba,2021,2772.74
Karangkobar,unggas,Ayam Ras Layer,2021,42272
Karangkobar,unggas,Ayam Kampung,2021,40214
Karangkobar,ternak,Sapi,2022,24180.53
Karangkobar,ternak,Kerbau,2022,0
Karangkobar,ternak,Babi,2022,0
Karangkobar,ternak,Kambing,2022,11864.41
Karangkobar,ternak,Domba,2022,2791.37
Karangkobar,unggas,Ayam Ras Layer,2022,0
Karangkobar,unggas,Ayam Kampung,2022,31237.04
Karangkobar,ternak,Sapi,2023,24393.96
Karangkobar,ternak,Kambing,2023,6976.23
Karangkobar,ternak,Domba,2023,4238.66
Karangkobar,unggas,Ayam Ras Layer,2023,371713.07
Karangkobar,unggas,Ayam Kampung,2023,414299.12
Karangkobar,ternak,Sapi,2024,30673.5
Karangkobar,ternak,Kerbau,2024,0
Karangkobar,ternak,Babi,2024,0
Karangkobar,ternak,Kambing,2024,2902.5
Karangkobar,ternak,Domba,2024,2263.31
Karangkobar,unggas,Ayam Ras Layer,2024,1034.15
Karangkobar,unggas,Ayam Kampung,2024,7444.19
Madukara,ternak,Sapi,2018,34383.87
Madukara,ternak,Kerbau,2018,0
Madukara,ternak,Babi,2018,0
Madukara,ternak,Kambing,2018,5892.34
Madukara,ternak,Domba,2018,454.97
Madukara,ternak,Sapi,2019,31565.52
Madukara,ternak,Kambing,2019,5204.69
Madukara,ternak,Domba,2019,451.41
Madukara,unggas,Ayam Ras Layer,2019,48283
Madukara,unggas,Ayam Kampung,2019,16677
Madukara,ternak,Sapi,2020,30626.07
Madukara,ternak,Kerbau,2020,0
Madukara,ternak,Babi,2020,0
Madukara,ternak,Kambing,2020,4938.78
Madukara,ternak,Domba,2020,732.27
Madukara,unggas,Ayam Ras Layer,2020,12287
Madukara,unggas,Ayam Kampung,2020,51661
Madukara,ternak,Sapi,2021,37820.34
Madukara,ternak,Kerbau,2021,0
Madukara,ternak,Babi,2021,0
Madukara,ternak,Kambing,2021,5280.07
Madukara,ternak,Domba,2021,711.83
Madukara,unggas,Ayam Ras Layer,2021,540454
Madukara,unggas,Ayam Kampung,2021,11350
Madukara,ternak,Sapi,2022,33555.52
Madukara,ternak,Kerbau,2022,0
Madukara,ternak,Babi,2022,0
Madukara,ternak,Kambing,2022,5333.31
Madukara,ternak,Domba,2022,739.77
Madukara,unggas,Ayam Ras Layer,2022,15262.41
Madukara,unggas,Ayam Kampung,2022,32698.01
Madukara,ternak,Sapi,2023,33851.7
Madukara,ternak,Kambing,2023,3135.97
Madukara,ternak,Domba,2023,1123.33
Madukara,unggas,Ayam Ras Layer,2023,124095.31
Madukara,unggas,Ayam Kampung,2023,110101.92
Madukara,ternak,Sapi,2024,46846.8
Madukara,ternak,Kerbau,2024,0
Madukara,ternak,Babi,2024,0
Madukara,ternak,Kambing,2024,4140
Madukara,ternak,Domba,2024,823.97
Madukara,unggas,Ayam Ras Layer,2024,4078.84
Madukara,unggas,Ayam Kampung,2024,12141.23
Mandiraja,ternak,Sapi,2018,24801.48
Mandiraja,ternak,Kerbau,2018,0
Mandiraja,ternak,Babi,2018,0
Mandiraja,ternak,Kambing,2018,6851.82
Mandiraja,ternak,Domba,2018,317.42
Mandiraja,ternak,Sapi,2019,27807.72
Mandiraja,ternak,Kambing,2019,4459.55
Mandiraja,ternak,Domba,2019,82.88
Mandiraja,unggas,Ayam Ras Layer,2019,23336
Mandiraja,unggas,Ayam Kampung,2019,88370
Mandiraja,ternak,Sapi,2020,34008.09
Mandiraja,ternak,Kerbau,2020,0
Mandiraja,ternak,Babi,2020,0
Mandiraja,ternak,Kambing,2020,5898.84
Mandiraja,ternak,Domba,2020,452.36
Mandiraja,unggas,Ayam Ras Layer,2020,65829
Mandiraja,unggas,Ayam Kampung,2020,844032
Mandiraja,ternak,Sapi,2021,41996.82
Mandiraja,ternak,Kerbau,2021,0
Mandiraja,ternak,Babi,2021,0
Mandiraja,ternak,Kambing,2021,6306.48
Mandiraja,ternak,Domba,2021,439.73
Mandiraja,unggas,Ayam Ras Layer,2021,566440
Mandiraja,unggas,Ayam Kampung,2021,60804
Mandiraja,ternak,Sapi,2022,36665.8
Mandiraja,ternak,Kerbau,2022,0
Mandiraja,ternak,Babi,2022,0
Mandiraja,ternak,Kambing,2022,6386.34
Mandiraja,ternak,Domba,2022,453.7
Mandiraja,unggas,Ayam Ras Layer,2022,4763.3
Mandiraja,unggas,Ayam Kampung,2022,43133.55
Mandiraja,ternak,Sapi,2023,36989.43
Mandiraja,ternak,Kambing,2023,3755.14
Mandiraja,ternak,Domba,2023,688.94
Mandiraja,unggas,Ayam Ras Layer,2023,1791602.28
Mandiraja,unggas,Ayam Kampung,2023,624744.21
Mandiraja,ternak,Sapi,2024,33276.1
Mandiraja,ternak,Kerbau,2024,0
Mandiraja,ternak,Babi,2024,0
Mandiraja,ternak,Kambing,2024,5490
Mandiraja,ternak,Domba,2024,1209.88
Mandiraja,unggas,Ayam Ras Layer,2024,10651.67
Mandiraja,unggas,Ayam Kampung,2024,28109.3
Pagedongan,ternak,Sapi,2018,11273.4
Pagedongan,ternak,Kerbau,2018,0
Pagedongan,ternak,Babi,2018,0
Pagedongan,ternak,Kambing,2018,3657.31
Pagedongan,ternak,Domba,2018,592.52
Pagedongan,ternak,Sapi,2019,15031.2
Pagedongan,ternak,Kambing,2019,1716.08
Pagedongan,ternak,Domba,2019,719.44
Pagedongan,unggas,Ayam Ras Layer,2019,3124
Pagedongan,unggas,Ayam Kampung,2019,15764
Pagedongan,ternak,Sapi,2020,13715.97
Pagedongan,ternak,Kerbau,2020,0
Pagedongan,ternak,Babi,2020,0
Pagedongan,ternak,Kambing,2020,1993.2
Pagedongan,ternak,Domba,2020,1557.65
Pagedongan,unggas,Ayam Ras Layer,2020,10311
Pagedongan,unggas,Ayam Kampung,2020,310685
Pagedongan,ternak,Sapi,2021,16937.94
Pagedongan,ternak,Kerbau,2021,0
Pagedongan,ternak,Babi,2021,0
Pagedongan,ternak,Kambing,2021,2130.94
Pagedongan,ternak,Domba,2021,1514.17
Pagedongan,unggas,Ayam Ras Layer,2021,68292
Pagedongan,unggas,Ayam Kampung,2021,9522
Pagedongan,ternak,Sapi,2022,12673.13
Pagedongan,ternak,Kerbau,2022,0
