Kecamatan,Kelompok,Jenis,Tahun,Produksi (Kg)
Purwanegara,ternak,Domba,2023,825.39
Purwanegara,unggas,Ayam Ras Layer,2023,2181933.17
Purwanegara,unggas,Ayam Kampung,2023,1327046.98
Purwanegara,ternak,Sapi,2024,73802.3
Purwanegara,ternak,Kerbau,2024,0
Purwanegara,ternak,Babi,2024,0
Purwanegara,ternak,Kambing,2024,4972.5
Purwanegara,ternak,Domba,2024,1595.79
Purwanegara,unggas,Ayam Ras Layer,2024,6046.85
Purwanegara,unggas,Ayam Kampung,2024,43534.75
Purwareja Klampok,ternak,Sapi,2018,17473.77
Purwareja Klampok,ternak,Kerbau,2018,0
Purwareja Klampok,ternak,Babi,2018,0
Purwareja Klampok,ternak,Kambing,2018,4255.58
Purwareja Klampok,ternak,Domba,2018,10.58
Purwareja Klampok,ternak,Sapi,2019,17661.66
Purwareja Klampok,ternak,Kambing,2019,3127.33
Purwareja Klampok,ternak,Domba,2019,52.9
Purwareja Klampok,unggas,Ayam Ras Layer,2019,44511
Purwareja Klampok,unggas,Ayam Kampung,2019,63488
Purwareja Klampok,ternak,Sapi,2020,14091.75
Purwareja Klampok,ternak,Kerbau,2020,0
Purwareja Klampok,ternak,Babi,2020,0
Purwareja Klampok,ternak,Kambing,2020,3313.88
Purwareja Klampok,ternak,Domba,2020,45.02
Purwareja Klampok,unggas,Ayam Ras Layer,2020,45930
Purwareja Klampok,unggas,Ayam Kampung,2020,137936
Purwareja Klampok,ternak,Sapi,2021,17402
Purwareja Klampok,ternak,Kerbau,2021,0
Purwareja Klampok,ternak,Babi,2021,0
Purwareja Klampok,ternak,Kambing,2021,3542.88
Purwareja Klampok,ternak,Domba,2021,43.76
Purwareja Klampok,unggas,Ayam Ras Layer,2021,477620
Purwareja Klampok,unggas,Ayam Kampung,2021,42424
Purwareja Klampok,ternak,Sapi,2022,13137.18
Purwareja Klampok,ternak,Kerbau,2022,0
Purwareja Klampok,ternak,Babi,2022,0
Purwareja Klampok,ternak,Kambing,2022,3596.13
Purwareja Klampok,ternak,Domba,2022,67.05
Purwareja Klampok,unggas,Ayam Ras Layer,2022,6020.28
Purwareja Klampok,unggas,Ayam Kampung,2022,36872.23
Purwareja Klampok,ternak,Sapi,2023,13253.13
Purwareja Klampok,ternak,Kambing,2023,2114.51
Purwareja Klampok,ternak,Domba,2023,101.81
Purwareja Klampok,unggas,Ayam Ras Layer,2023,423491.63
Purwareja Klampok,unggas,Ayam Kampung,2023,433930.24
Purwareja Klampok,ternak,Sapi,2024,17288.7
Purwareja Klampok,ternak,Kerbau,2024,0
Purwareja Klampok,ternak,Babi,2024,0
Purwareja Klampok,ternak,Kambing,2024,5265
Purwareja Klampok,ternak,Domba,2024,938.7
Purwareja Klampok,unggas,Ayam Ras Layer,2024,2108.96
Purwareja Klampok,unggas,Ayam Kampung,2024,27507.96
Rakit,ternak,Sapi,2018,29874.51
Rakit,ternak,Kerbau,2018,0
Rakit,ternak,Babi,2018,0
Rakit,ternak,Kambing,2018,3397.69
Rakit,ternak,Domba,2018,317.42
Rakit,ternak,Sapi,2019,26868.27
Rakit,ternak,Kambing,2019,1648.34
Rakit,ternak,Domba,2019,176.77
Rakit,unggas,Ayam Ras Layer,2019,46469
Rakit,unggas,Ayam Kampung,2019,46630
Rakit,ternak,Sapi,2020,34008.99
Rakit,ternak,Kerbau,2020,0
Rakit,ternak,Babi,2020,0
Rakit,ternak,Kambing,2020,2833.27
Rakit,ternak,Domba,2020,194.14
Rakit,unggas,Ayam Ras Layer,2020,28697
Rakit,unggas,Ayam Kampung,2020,413511
Rakit,ternak,Sapi,2021,41997.93
Rakit,ternak,Kerbau,2021,0
Rakit,ternak,Babi,2021,0
Rakit,ternak,Kambing,2021,3029.06
Rakit,ternak,Domba,2021,188.72
Rakit,unggas,Ayam Ras Layer,2021,475945
Rakit,unggas,Ayam Kampung,2021,26507
Rakit,ternak,Sapi,2022,36666.91
Rakit,ternak,Kerbau,2022,0
Rakit,ternak,Babi,2022,0
Rakit,ternak,Kambing,2022,3122.23
Rakit,ternak,Domba,2022,207.35
Rakit,unggas,Ayam Ras Layer,2022,9923.54
Rakit,unggas,Ayam Kampung,2022,43133.55
Rakit,ternak,Sapi,2023,36990.55
Rakit,ternak,Kambing,2023,1835.86
Rakit,ternak,Domba,2023,314.86
Rakit,unggas,Ayam Ras Layer,2023,1362218.55
Rakit,unggas,Ayam Kampung,2023,270673.72
Rakit,ternak,Sapi,2024,40898
Rakit,ternak,Kerbau,2024,0
Rakit,ternak,Babi,2024,0
Rakit,ternak,Kambing,2024,3712.5
Rakit,ternak,Domba,2024,657.09
Rakit,unggas,Ayam Ras Layer,2024,20571.04
Rakit,unggas,Ayam Kampung,2024,30981.3
Sigaluh,ternak,Sapi,2018,25553.04
Sigaluh,ternak,Kerbau,2018,0
Sigaluh,ternak,Babi,2018,0
Sigaluh,ternak,Kambing,2018,3657.31
Sigaluh,ternak,Domba,2018,296.26
Sigaluh,ternak,Sapi,2019,29874.51
Sigaluh,ternak,Kambing,2019,2596.7
Sigaluh,ternak,Domba,2019,175.89
Sigaluh,unggas,Ayam Ras Layer,2019,3517
Sigaluh,unggas,Ayam Kampung,2019,39743
Sigaluh,ternak,Sapi,2020,13189.74
Sigaluh,ternak,Kerbau,2020,0
Sigaluh,ternak,Babi,2020,0
Sigaluh,ternak,Kambing,2020,3179.8
Sigaluh,ternak,Domba,2020,177.68
Sigaluh,unggas,Ayam Ras Layer,2020,28761
Sigaluh,unggas,Ayam Kampung,2020,35417
Sigaluh,ternak,Sapi,2021,16288.1
Sigaluh,ternak,Kerbau,2021,0
Sigaluh,ternak,Babi,2021,0
Sigaluh,ternak,Kambing,2021,3399.54
Sigaluh,ternak,Domba,2021,172.72
Sigaluh,unggas,Ayam Ras Layer,2021,37705
Sigaluh,unggas,Ayam Kampung,2021,26552
Sigaluh,ternak,Sapi,2022,10957.08
Sigaluh,ternak,Kerbau,2022,0
Sigaluh,ternak,Babi,2022,0
Sigaluh,ternak,Kambing,2022,3466.09
Sigaluh,ternak,Domba,2022,186.69
Sigaluh,unggas,Ayam Ras Layer,2022,0
Sigaluh,unggas,Ayam Kampung,2022,35202.54
Sigaluh,ternak,Sapi,2023,11053.79
Sigaluh,ternak,Kambing,2023,2038.05
Sigaluh,ternak,Domba,2023,283.49
Sigaluh,unggas,Ayam Ras Layer,2023,115497.45
Sigaluh,unggas,Ayam Kampung,2023,271142.48
Sigaluh,ternak,Sapi,2024,34949.2
Sigaluh,ternak,Kerbau,2024,0
Sigaluh,ternak,Babi,2024,0
Sigaluh,ternak,Kambing,2024,2463.75
Sigaluh,ternak,Domba,2024,260.75
Sigaluh,unggas,Ayam Ras Layer,2024,1113.17
Sigaluh,unggas,Ayam Kampung,2024,3936.86
Susukan,ternak,Sapi,2018,16910.1
Susukan,ternak,Kerbau,2018,0
Susukan,ternak,Babi,2018,0
Susukan,ternak,Kambing,2018,7517.81
Susukan,ternak,Domba,2018,0
Susukan,ternak,Sapi,2019,16534.32
Susukan,ternak,Kambing,2019,5306.3
Susukan,unggas,Ayam Ras Layer,2019,263
Susukan,unggas,Ayam Kampung,2019,119081
Susukan,ternak,Sapi,2020,18413.22
Susukan,ternak,Kerbau,2020,0
Susukan,ternak,Babi,2020,0
Susukan,ternak,Kambing,2020,8042.89
Susukan,ternak,Domba,2020,85.99
Susukan,unggas,Ayam Ras Layer,2020,95828
Susukan,unggas,Ayam Kampung,2020,138990
Susukan,ternak,Sapi,2021,22738.61
Susukan,ternak,Kerbau,2021,0
Susukan,ternak,Babi,2021,0
Susukan,ternak,Kambing,2021,8598.69
Susukan,ternak,Domba,2021,83.59
Susukan,unggas,Ayam Ras Layer,2021,7543
Susukan,unggas,Ayam Kampung,2021,88513
Susukan,ternak,Sapi,2022,19540
Susukan,ternak,Kerbau,2022,0
Susukan,ternak,Babi,2022,0
Susukan,ternak,Kambing,2022,8651.93
Susukan,ternak,Domba,2022,102.22
Susukan,unggas,Ayam Ras Layer,2022,926.2
Susukan,unggas,Ayam Kampung,2022,50090.57
Susukan,ternak,Sapi,2023,19712.47
Susukan,ternak,Kambing,2023,5087.3
Susukan,ternak,Domba,2023,155.22
Susukan,unggas,Ayam Ras Layer,2023,470888.06
Susukan,unggas,Ayam Kampung,2023,920361.67
Susukan,ternak,Sapi,2024,18218.2
Susukan,ternak,Kerbau,2024,0
Susukan,ternak,Babi,2024,0
Susukan,ternak,Kambing,2024,3217.5
Susukan,ternak,Domba,2024,636.23
Susukan,unggas,Ayam Ras Layer,2024,555.43
Susukan,unggas,Ayam Kampung,2024,28860.83
Wanadadi,ternak,Sapi,2018,58809.57
Wanadadi,ternak,Kerbau,2018,0
Wanadadi,ternak,Babi,2018,0
Wanadadi,ternak,Kambing,2018,1794.79
Wanadadi,ternak,Domba,2018,84.65
Wanadadi,ternak,Sapi,2019,60688.47
Wanadadi,ternak,Kambing,2019,2009.62
Wanadadi,ternak,Domba,2019,137.54
Wanadadi,unggas,Ayam Ras Layer,2019,0
Wanadadi,unggas,Ayam Kampung,2019,16273
Wanadadi,ternak,Sapi,2020,60312.69
Wanadadi,ternak,Kerbau,2020,0
Wanadadi,ternak,Babi,2020,0
Wanadadi,ternak,Kambing,2020,2339.52
Wanadadi,ternak,Domba,2020,69.4
Wanadadi,unggas,Ayam Ras Layer,2020,8746
Wanadadi,unggas,Ayam Kampung,2020,235313
Wanadadi,ternak,Sapi,2021,74480.55
Wanadadi,ternak,Kerbau,2021,0
Wanadadi,ternak,Babi,2021,0
Wanadadi,ternak,Kambing,2021,2501.19
Wanadadi,ternak,Domba,2021,67.46
Wanadadi,unggas,Ayam Ras Layer,2021,27654
Wanadadi,unggas,Ayam Kampung,2021,8066
Wanadadi,ternak,Sapi,2022,71281.94
Wanadadi,ternak,Kerbau,2022,0
Wanadadi,ternak,Babi,2022,0
Wanadadi,ternak,Kambing,2022,2594.36
Wanadadi,ternak,Domba,2022,81.43
Wanadadi,unggas,Ayam Ras Layer,2022,2381.65
Wanadadi,unggas,Ayam Kampung,2022,38959.33
Wanadadi,ternak,Sapi,2023,71911.11
Wanadadi,ternak,Kambing,2023,1525.48
Wanadadi,ternak,Domba,2023,123.66
Wanadadi,unggas,Ayam Ras Layer,2023,796723.88
Wanadadi,unggas,Ayam Kampung,2023,75683.53
Wanadadi,ternak,Sapi,2024,69898.4
Wanadadi,ternak,Kerbau,2024,0
Wanadadi,ternak,Babi,2024,0
Wanadadi,ternak,Kambing,2024,4500
Wanadadi,ternak,Domba,2024,980.42
Wanadadi,unggas,Ayam Ras Layer,2024,2854.75
Wanadadi,unggas,Ayam Kampung,2024,5724.21
Wanayasa,ternak,Sapi,2018,209309.46
Wanayasa,ternak,Kerbau,2018,0
Wanayasa,ternak,Babi,2018,0
Wanayasa,ternak,Kambing,2018,6185.82
Wanayasa,ternak,Domba,2018,4380.45
Wanayasa,ternak,Sapi,2019,205551.66
Wanayasa,ternak,Kambing,2019,2122.52
Wanayasa,ternak,Domba,2019,5324.36
Wanayasa,unggas,Ayam Ras Layer,2019,58754
Wanayasa,unggas,Ayam Kampung,2019,193526
Wanayasa,ternak,Sapi,2020,219831.3
Wanayasa,ternak,Kerbau,2020,0
Wanayasa,ternak,Babi,2020,0
Wanayasa,ternak,Kambing,2020,5949.21
Wanayasa,ternak,Domba,2020,4267.93
Wanayasa,unggas,Ayam Ras Layer,2020,55899
Wanayasa,unggas,Ayam Kampung,2020,274203
Wanayasa,ternak,Sapi,2021,271471.17
Wanayasa,ternak,Kerbau,2021,0
Wanayasa,ternak,Babi,2021,0
Wanayasa,ternak,Kambing,2021,6360.33
Wanayasa,ternak,Domba,2021,4148.8
Wanayasa,unggas,Ayam Ras Layer,2021,1715231
Wanayasa,unggas,Ayam Kampung,2021,51632
Wanayasa,ternak,Sapi,2022,260809.12
Wanayasa,ternak,Kerbau,2022,0
Wanayasa,ternak,Babi,2022,0
Wanayasa,ternak,Kambing,2022,6480.12
Wanayasa,ternak,Domba,2022,4172.09
Wanayasa,unggas,Ayam Ras Layer,2022,5887.97
Wanayasa,unggas,Ayam Kampung,2022,14609.75
Wanayasa,ternak,Sapi,2023,263111.15
Wanayasa,ternak,Kambing,2023,3810.29
Wanayasa,ternak,Domba,2023,6335.25
Wanayasa,unggas,Ayam Ras Layer,2023,775208.18
Wanayasa,unggas,Ayam Kampung,2023,533563.17
Wanayasa,ternak,Sapi,2024,281266.7
Wanayasa,ternak,Kerbau,2024,0
Wanayasa,ternak,Babi,2024,0
Wanayasa,ternak,Kambing,2024,3678.75
Wanayasa,ternak,Domba,2024,3243.73
Wanayasa,unggas,Ayam Ras Layer,2024,1029.69
Wanayasa,unggas,Ayam Kampung,2024,1336.8
