Kecamatan,Tahun,Jenis,Luas Panen (Ha),Produksi (Ton),Rata-rata (Ku/Ha)
Wanadadi,2019,sawah,1377,8584,62
Wanadadi,2020,sawah,1521,11103,73
Wanadadi,2021,sawah,1375,10038,73
Wanadadi,2022,sawah,1414,10000,71
Wanadadi,2023,sawah,1241,9104,73
Wanadadi,2024,sawah,1635,11998,73
Wanadadi,2024,ladang,4,20,53
Wanayasa,2018,sawah,440,1951,44
Wanayasa,2019,sawah,317,1371,43
Wanayasa,2020,sawah,240,1176,49
Wanayasa,2021,sawah,163,652,40
Wanayasa,2022,sawah,88,264,30
Wanayasa,2023,sawah,75,287,38
Wanayasa,2024,sawah,176,745,42
