Kecamatan,Obyek,Arah (Masuk/Keluar),Tahun,Produksi (Kg)
Wanadadi,Perairan Umum Sungai,sendiri,2020,0
Wanadadi,Perairan Umum Sungai,lain_daerah,2020,0
Wanadadi,Perairan Umum Waduk,total,2020,492237
Wanadadi,Perairan Umum Sungai,total,2021,82509
Wanadadi,Perairan Umum Sungai,sendiri,2021,0
Wanadadi,Perairan Umum Sungai,lain_daerah,2021,0
Wanadadi,Perairan Umum Waduk,total,2021,429426
Wanadadi,Perairan Umum Sungai,total,2022,49649
Wanadadi,Perairan Umum Sungai,sendiri,2022,0
Wanadadi,Perairan Umum Sungai,lain_daerah,2022,0
Wanadadi,Perairan Umum Waduk,total,2022,304129
Wanadadi,Perairan Umum Sungai,total,2023,60179.32
Wanadadi,Perairan Umum Sungai,sendiri,2023,0
Wanadadi,Perairan Umum Sungai,lain_daerah,2023,0
Wanadadi,Perairan Umum Waduk,total,2023,173032.2
Wanadadi,Perairan Umum Sungai,total,2024,0
Wanadadi,Perairan Umum Sungai,sendiri,2024,0
Wanadadi,Perairan Umum Sungai,lain_daerah,2024,0
Wanadadi,Perairan Umum Waduk,total,2024,179270
Wanayasa,Perairan Umum Sungai,total,2018,15254.02
Wanayasa,Perairan Umum Sungai,sendiri,2018,0
Wanayasa,Perairan Umum Sungai,lain_daerah,2018,0
Wanayasa,Perairan Umum Waduk,total,2018,0
Wanayasa,Perairan Umum Sungai,total,2019,16742.1
Wanayasa,Perairan Umum Sungai,sendiri,2019,0
Wanayasa,Perairan Umum Sungai,lain_daerah,2019,0
Wanayasa,Perairan Umum Sungai,total,2020,18617
Wanayasa,Perairan Umum Sungai,sendiri,2020,0
Wanayasa,Perairan Umum Sungai,lain_daerah,2020,0
Wanayasa,Perairan Umum Waduk,total,2020,0
Wanayasa,Perairan Umum Sungai,total,2021,17558
Wanayasa,Perairan Umum Sungai,sendiri,2021,0
Wanayasa,Perairan Umum Sungai,lain_daerah,2021,0
Wanayasa,Perairan Umum Waduk,total,2021,0
Wanayasa,Perairan Umum Sungai,total,2022,10565
Wanayasa,Perairan Umum Sungai,sendiri,2022,0
Wanayasa,Perairan Umum Sungai,lain_daerah,2022,0
Wanayasa,Perairan Umum Waduk,total,2022,0
Wanayasa,Perairan Umum Sungai,total,2023,12806.37
Wanayasa,Perairan Umum Sungai,sendiri,2023,0
Wanayasa,Perairan Umum Sungai,lain_daerah,2023,0
Wanayasa,Perairan Umum Waduk,total,2023,0
Wanayasa,Perairan Umum Sungai,total,2024,0
Wanayasa,Perairan Umum Sungai,sendiri,2024,0
Wanayasa,Perairan Umum Sungai,lain_daerah,2024,0
Wanayasa,Perairan Umum Waduk,total,2024,0
