Kecamatan,Obyek,Arah (Masuk/Keluar),Tahun,Produksi (Kg)
Kalibening,Perairan Umum Sungai,total,2019,18947.7
Kalibening,Perairan Umum Sungai,sendiri,2019,0
Kalibening,Perairan Umum Sungai,lain_daerah,2019,0
Kalibening,Perairan Umum Sungai,total,2020,21070
Kalibening,Perairan Umum Sungai,sendiri,2020,0
Kalibening,Perairan Umum Sungai,lain_daerah,2020,0
Kalibening,Perairan Umum Waduk,total,2020,0
Kalibening,Perairan Umum Sungai,total,2021,19871
Kalibening,Perairan Umum Sungai,sendiri,2021,0
Kalibening,Perairan Umum Sungai,lain_daerah,2021,0
Kalibening,Perairan Umum Waduk,total,2021,0
Kalibening,Perairan Umum Sungai,total,2022,11957
Kalibening,Perairan Umum Sungai,sendiri,2022,0
Kalibening,Perairan Umum Sungai,lain_daerah,2022,0
Kalibening,Perairan Umum Waduk,total,2022,0
Kalibening,Perairan Umum Sungai,total,2023,14493.52
Kalibening,Perairan Umum Sungai,sendiri,2023,0
Kalibening,Perairan Umum Sungai,lain_daerah,2023,0
Kalibening,Perairan Umum Waduk,total,2023,0
Kalibening,Perairan Umum Sungai,total,2024,67781
Kalibening,Perairan Umum Sungai,sendiri,2024,0
Kalibening,Perairan Umum Sungai,lain_daerah,2024,0
Kalibening,Perairan Umum Waduk,total,2024,0
Karangkobar,Perairan Umum Sungai,total,2018,8877.08
Karangkobar,Perairan Umum Sungai,sendiri,2018,0
Karangkobar,Perairan Umum Sungai,lain_daerah,2018,0
Karangkobar,Perairan Umum Waduk,total,2018,0
Karangkobar,Perairan Umum Sungai,total,2019,9743.1
Karangkobar,Perairan Umum Sungai,sendiri,2019,0
Karangkobar,Perairan Umum Sungai,lain_daerah,2019,0
Karangkobar,Perairan Umum Sungai,total,2020,10834
Karangkobar,Perairan Umum Sungai,sendiri,2020,0
Karangkobar,Perairan Umum Sungai,lain_daerah,2020,0
Karangkobar,Perairan Umum Waduk,total,2020,0
Karangkobar,Perairan Umum Sungai,total,2021,10218
Karangkobar,Perairan Umum Sungai,sendiri,2021,0
Karangkobar,Perairan Umum Sungai,lain_daerah,2021,0
Karangkobar,Perairan Umum Waduk,total,2021,0
Karangkobar,Perairan Umum Sungai,total,2022,6147
Karangkobar,Perairan Umum Sungai,sendiri,2022,0
Karangkobar,Perairan Umum Sungai,lain_daerah,2022,0
Karangkobar,Perairan Umum Waduk,total,2022,0
Karangkobar,Perairan Umum Sungai,total,2023,7452.67
Karangkobar,Perairan Umum Sungai,sendiri,2023,0
Karangkobar,Perairan Umum Sungai,lain_daerah,2023,0
Karangkobar,Perairan Umum Waduk,total,2023,0
Karangkobar,Perairan Umum Sungai,total,2024,0
Karangkobar,Perairan Umum Sungai,sendiri,2024,0
Karangkobar,Perairan Umum Sungai,lain_daerah,2024,0
Karangkobar,Perairan Umum Waduk,total,2024,0
Madukara,Perairan Umum Sungai,total,2018,14320.42
Madukara,Perairan Umum Sungai,sendiri,2018,0
Madukara,Perairan Umum Sungai,lain_daerah,2018,0
Madukara,Perairan Umum Waduk,total,2018,0
Madukara,Perairan Umum Sungai,total,2019,15717.4
Madukara,Perairan Umum Sungai,sendiri,2019,0
Madukara,Perairan Umum Sungai,lain_daerah,2019,0
Madukara,Perairan Umum Sungai,total,2020,17478
Madukara,Perairan Umum Sungai,sendiri,2020,0
Madukara,Perairan Umum Sungai,lain_daerah,2020,0
Madukara,Perairan Umum Waduk,total,2020,0
Madukara,Perairan Umum Sungai,total,2021,16484
Madukara,Perairan Umum Sungai,sendiri,2021,0
Madukara,Perairan Umum Sungai,lain_daerah,2021,0
Madukara,Perairan Umum Waduk,total,2021,0
Madukara,Perairan Umum Sungai,total,2022,9918
Madukara,Perairan Umum Sungai,sendiri,2022,0
Madukara,Perairan Umum Sungai,lain_daerah,2022,0
Madukara,Perairan Umum Waduk,total,2022,0
Madukara,Perairan Umum Sungai,total,2023,12022.58
Madukara,Perairan Umum Sungai,sendiri,2023,0
Madukara,Perairan Umum Sungai,lain_daerah,2023,0
Madukara,Perairan Umum Waduk,total,2023,0
Madukara,Perairan Umum Sungai,total,2024,0
Madukara,Perairan Umum Sungai,sendiri,2024,0
Madukara,Perairan Umum Sungai,lain_daerah,2024,0
Madukara,Perairan Umum Waduk,total,2024,0
Mandiraja,Perairan Umum Sungai,total,2018,88137.85
Mandiraja,Perairan Umum Sungai,sendiri,2018,0
Mandiraja,Perairan Umum Sungai,lain_daerah,2018,0
Mandiraja,Perairan Umum Waduk,total,2018,0
Mandiraja,Perairan Umum Sungai,total,2019,96735.9
Mandiraja,Perairan Umum Sungai,sendiri,2019,0
Mandiraja,Perairan Umum Sungai,lain_daerah,2019,0
Mandiraja,Perairan Umum Sungai,total,2020,107571
Mandiraja,Perairan Umum Sungai,sendiri,2020,0
Mandiraja,Perairan Umum Sungai,lain_daerah,2020,0
Mandiraja,Perairan Umum Sungai,total,2021,101452
Mandiraja,Perairan Umum Sungai,sendiri,2021,0
Mandiraja,Perairan Umum Sungai,lain_daerah,2021,0
Mandiraja,Perairan Umum Waduk,total,2021,0
Mandiraja,Perairan Umum Sungai,total,2022,61048
Mandiraja,Perairan Umum Sungai,sendiri,2022,0
Mandiraja,Perairan Umum Sungai,lain_daerah,2022,0
Mandiraja,Perairan Umum Waduk,total,2022,0
Mandiraja,Perairan Umum Sungai,total,2023,73995.33
Mandiraja,Perairan Umum Sungai,sendiri,2023,0
Mandiraja,Perairan Umum Sungai,lain_daerah,2023,0
Mandiraja,Perairan Umum Waduk,total,2023,0
Mandiraja,Perairan Umum Sungai,total,2024,32465
Mandiraja,Perairan Umum Sungai,sendiri,2024,0
Mandiraja,Perairan Umum Sungai,lain_daerah,2024,0
Mandiraja,Perairan Umum Waduk,total,2024,0
Pagedongan,Perairan Umum Sungai,total,2018,9478.38
Pagedongan,Perairan Umum Sungai,sendiri,2018,899
Pagedongan,Perairan Umum Sungai,lain_daerah,2018,0
Pagedongan,Perairan Umum Waduk,total,2018,0
Pagedongan,Perairan Umum Sungai,total,2019,10403
Pagedongan,Perairan Umum Sungai,sendiri,2019,1015
Pagedongan,Perairan Umum Sungai,lain_daerah,2019,0
Pagedongan,Perairan Umum Sungai,total,2020,11568
Pagedongan,Perairan Umum Sungai,sendiri,2020,1235
Pagedongan,Perairan Umum Sungai,lain_daerah,2020,0
Pagedongan,Perairan Umum Waduk,total,2020,0
Pagedongan,Perairan Umum Sungai,total,2021,10910
Pagedongan,Perairan Umum Sungai,sendiri,2021,1381
Pagedongan,Perairan Umum Sungai,lain_daerah,2021,0
Pagedongan,Perairan Umum Waduk,total,2021,0
Pagedongan,Perairan Umum Sungai,total,2022,6565
Pagedongan,Perairan Umum Sungai,sendiri,2022,1081
Pagedongan,Perairan Umum Sungai,lain_daerah,2022,0
Pagedongan,Perairan Umum Waduk,total,2022,0
Pagedongan,Perairan Umum Sungai,total,2023,7957.49
Pagedongan,Perairan Umum Sungai,sendiri,2023,1381
Pagedongan,Perairan Umum Sungai,lain_daerah,2023,0
Pagedongan,Perairan Umum Waduk,total,2023,0
Pagedongan,Perairan Umum Sungai,total,2024,0
Pagedongan,Perairan Umum Sungai,sendiri,2024,0
Pagedongan,Perairan Umum Sungai,lain_daerah,2024,0
Pagedongan,Perairan Umum Waduk,total,2024,0
Pagentan,Perairan Umum Sungai,total,2018,10301.21
Pagentan,Perairan Umum Sungai,sendiri,2018,0
Pagentan,Perairan Umum Sungai,lain_daerah,2018,0
Pagentan,Perairan Umum Waduk,total,2018,0
Pagentan,Perairan Umum Sungai,total,2019,11306.1
Pagentan,Perairan Umum Sungai,sendiri,2019,0
Pagentan,Perairan Umum Sungai,lain_daerah,2019,0
Pagentan,Perairan Umum Sungai,total,2020,12573
Pagentan,Perairan Umum Sungai,sendiri,2020,0
Pagentan,Perairan Umum Sungai,lain_daerah,2020,0
Pagentan,Perairan Umum Waduk,total,2020,0
Pagentan,Perairan Umum Sungai,total,2021,11857
Pagentan,Perairan Umum Sungai,sendiri,2021,0
Pagentan,Perairan Umum Sungai,lain_daerah,2021,0
Pagentan,Perairan Umum Waduk,total,2021,0
Pagentan,Perairan Umum Sungai,total,2022,7135
Pagentan,Perairan Umum Sungai,sendiri,2022,0
Pagentan,Perairan Umum Sungai,lain_daerah,2022,0
Pagentan,Perairan Umum Waduk,total,2022,0
Pagentan,Perairan Umum Sungai,total,2023,8648.29
Pagentan,Perairan Umum Sungai,sendiri,2023,0
Pagentan,Perairan Umum Sungai,lain_daerah,2023,0
Pagentan,Perairan Umum Waduk,total,2023,0
Pagentan,Perairan Umum Sungai,total,2024,0
Pagentan,Perairan Umum Sungai,sendiri,2024,0
Pagentan,Perairan Umum Sungai,lain_daerah,2024,0
Pagentan,Perairan Umum Waduk,total,2024,0
Pandanarum,Perairan Umum Sungai,total,2018,9873.97
Pandanarum,Perairan Umum Sungai,sendiri,2018,0
Pandanarum,Perairan Umum Sungai,lain_daerah,2018,0
Pandanarum,Perairan Umum Waduk,total,2018,0
Pandanarum,Perairan Umum Sungai,total,2019,10837.2
Pandanarum,Perairan Umum Sungai,sendiri,2019,0
Pandanarum,Perairan Umum Sungai,lain_daerah,2019,0
Pandanarum,Perairan Umum Sungai,total,2020,12051
Pandanarum,Perairan Umum Sungai,sendiri,2020,0
Pandanarum,Perairan Umum Sungai,lain_daerah,2020,0
Pandanarum,Perairan Umum Waduk,total,2020,0
Pandanarum,Perairan Umum Sungai,total,2021,11366
Pandanarum,Perairan Umum Sungai,sendiri,2021,0
Pandanarum,Perairan Umum Sungai,lain_daerah,2021,0
Pandanarum,Perairan Umum Waduk,total,2021,0
Pandanarum,Perairan Umum Sungai,total,2022,6838
Pandanarum,Perairan Umum Sungai,sendiri,2022,0
Pandanarum,Perairan Umum Sungai,lain_daerah,2022,0
Pandanarum,Perairan Umum Waduk,total,2022,0
Pandanarum,Perairan Umum Sungai,total,2023,8289.6
Pandanarum,Perairan Umum Sungai,sendiri,2023,0
Pandanarum,Perairan Umum Sungai,lain_daerah,2023,0
Pandanarum,Perairan Umum Waduk,total,2023,0
Pandanarum,Perairan Umum Sungai,total,2024,0
Pandanarum,Perairan Umum Sungai,sendiri,2024,0
Pandanarum,Perairan Umum Sungai,lain_daerah,2024,0
Pandanarum,Perairan Umum Waduk,total,2024,0
Pejawaran,Perairan Umum Sungai,total,2018,4731.28
Pejawaran,Perairan Umum Sungai,sendiri,2018,0
Pejawaran,Perairan Umum Sungai,lain_daerah,2018,0
Pejawaran,Perairan Umum Waduk,total,2018,0
Pejawaran,Perairan Umum Sungai,total,2019,5192.8
Pejawaran,Perairan Umum Sungai,sendiri,2019,0
Pejawaran,Perairan Umum Sungai,lain_daerah,2019,0
Pejawaran,Perairan Umum Sungai,total,2020,5774
Pejawaran,Perairan Umum Sungai,sendiri,2020,0
Pejawaran,Perairan Umum Sungai,lain_daerah,2020,0
Pejawaran,Perairan Umum Waduk,total,2020,0
Pejawaran,Perairan Umum Sungai,total,2021,5446
Pejawaran,Perairan Umum Sungai,sendiri,2021,0
Pejawaran,Perairan Umum Sungai,lain_daerah,2021,0
Pejawaran,Perairan Umum Waduk,total,2021,0
Pejawaran,Perairan Umum Sungai,total,2022,3278
Pejawaran,Perairan Umum Sungai,sendiri,2022,0
Pejawaran,Perairan Umum Sungai,lain_daerah,2022,0
Pejawaran,Perairan Umum Waduk,total,2022,0
Pejawaran,Perairan Umum Sungai,total,2023,3972.1
Pejawaran,Perairan Umum Sungai,sendiri,2023,0
Pejawaran,Perairan Umum Sungai,lain_daerah,2023,0
Pejawaran,Perairan Umum Waduk,total,2023,0
Pejawaran,Perairan Umum Sungai,total,2024,102021
Pejawaran,Perairan Umum Sungai,sendiri,2024,0
Pejawaran,Perairan Umum Sungai,lain_daerah,2024,0
Pejawaran,Perairan Umum Waduk,total,2024,0
Punggelan,Perairan Umum Sungai,total,2018,19035.88
Punggelan,Perairan Umum Sungai,sendiri,2018,0
Punggelan,Perairan Umum Sungai,lain_daerah,2018,0
Punggelan,Perairan Umum Waduk,total,2018,0
Punggelan,Perairan Umum Sungai,total,2019,20892.9
Punggelan,Perairan Umum Sungai,sendiri,2019,0
Punggelan,Perairan Umum Sungai,lain_daerah,2019,0
Punggelan,Perairan Umum Sungai,total,2020,23233
Punggelan,Perairan Umum Sungai,sendiri,2020,0
Punggelan,Perairan Umum Sungai,lain_daerah,2020,0
Punggelan,Perairan Umum Waduk,total,2020,0
Punggelan,Perairan Umum Sungai,total,2021,21911
Punggelan,Perairan Umum Sungai,sendiri,2021,0
Punggelan,Perairan Umum Sungai,lain_daerah,2021,0
Punggelan,Perairan Umum Waduk,total,2021,0
Punggelan,Perairan Umum Sungai,total,2022,13185
Punggelan,Perairan Umum Sungai,sendiri,2022,0
Punggelan,Perairan Umum Sungai,lain_daerah,2022,0
Punggelan,Perairan Umum Waduk,total,2022,0
Punggelan,Perairan Umum Sungai,total,2023,15981.4
Punggelan,Perairan Umum Sungai,sendiri,2023,0
Punggelan,Perairan Umum Sungai,lain_daerah,2023,0
Punggelan,Perairan Umum Waduk,total,2023,0
Punggelan,Perairan Umum Sungai,total,2024,0
Punggelan,Perairan Umum Sungai,sendiri,2024,0
Punggelan,Perairan Umum Sungai,lain_daerah,2024,0
Punggelan,Perairan Umum Waduk,total,2024,0
Purwanegara,Perairan Umum Sungai,total,2018,58547.58
Purwanegara,Perairan Umum Sungai,sendiri,2018,0
Purwanegara,Perairan Umum Sungai,lain_daerah,2018,0
Purwanegara,Perairan Umum Waduk,total,2018,0
Purwanegara,Perairan Umum Sungai,total,2019,64259
Purwanegara,Perairan Umum Sungai,sendiri,2019,0
Purwanegara,Perairan Umum Sungai,lain_daerah,2019,0
