Kecamatan,Tanaman,Tahun,Luas (Ha)
Batur,Tembakau,2021,18.5
Batur,Kopi Arabica,2021,22
Batur,Kelapa Sawit,2022,0
Batur,Kelapa Dalam,2022,0
Batur,Karet,2022,0
Batur,Kopi Robusta,2022,0
Batur,Kakao,2022,0
Batur,Tebu,2022,0
Batur,Teh,2022,14
Batur,Tembakau,2022,21
Batur,Kopi Arabica,2022,22
Batur,Kelapa Sawit,2023,0
Batur,Kelapa Dalam,2023,0
Batur,Karet,2023,0
Batur,Kopi Robusta,2023,0
Batur,Kakao,2023,0
Batur,Tebu,2023,0
Batur,Teh,2023,14
Batur,Tembakau,2023,32
Batur,Kopi Arabica,2023,33
Batur,Kelapa Sawit,2024,0
Batur,Kelapa Dalam,2024,0
Batur,Karet,2024,0
Batur,Kopi Robusta,2024,0
Batur,Kakao,2024,0
Batur,Tebu,2024,0
Batur,Teh,2024,14
Batur,Tembakau,2024,23
Batur,Kopi Arabica,2024,33
Bawang,Kelapa Sawit,2017,0
Bawang,Karet,2017,1
Bawang,Kakao,2017,132.5
Bawang,Tebu,2017,9.39
Bawang,Teh,2017,0
Bawang,Tembakau,2017,0
Bawang,Kelapa Sawit,2018,0
Bawang,Kelapa Dalam,2018,839
Bawang,Karet,2018,16.5
Bawang,Kopi Robusta,2018,50.44
Bawang,Kakao,2018,132.5
Bawang,Tebu,2018,3.96
Bawang,Teh,2018,0
Bawang,Tembakau,2018,0
Bawang,Kelapa Sawit,2019,0
Bawang,Kelapa Dalam,2019,839.02
Bawang,Karet,2019,16.5
Bawang,Kopi Robusta,2019,64.44
Bawang,Kakao,2019,132.5
Bawang,Tebu,2019,3.3
Bawang,Teh,2019,0
Bawang,Tembakau,2019,0
Bawang,Kelapa Dalam,2020,839.02
Bawang,Karet,2020,16.5
Bawang,Kopi Robusta,2020,70.44
Bawang,Kakao,2020,127.5
Bawang,Tebu,2020,0
Bawang,Teh,2020,0
Bawang,Tembakau,2020,0
Bawang,Kelapa Sawit,2021,0
Bawang,Kelapa Dalam,2021,839.02
Bawang,Karet,2021,16.5
Bawang,Kopi Robusta,2021,70.44
Bawang,Kakao,2021,127.5
Bawang,Tebu,2021,0
Bawang,Teh,2021,0
Bawang,Tembakau,2021,0
Bawang,Kopi Arabica,2021,0
Bawang,Kelapa Sawit,2022,0
Bawang,Kelapa Dalam,2022,839.02
Bawang,Karet,2022,16.5
Bawang,Kopi Robusta,2022,70.44
Bawang,Kakao,2022,132.5
Bawang,Tebu,2022,0
Bawang,Teh,2022,0
Bawang,Tembakau,2022,0
Bawang,Kopi Arabica,2022,0
Bawang,Kelapa Sawit,2023,0
Bawang,Kelapa Dalam,2023,803.86
Bawang,Karet,2023,16.5
Bawang,Kopi Robusta,2023,70.44
Bawang,Kakao,2023,130.25
Bawang,Tebu,2023,0
Bawang,Teh,2023,0
Bawang,Tembakau,2023,0
Bawang,Kopi Arabica,2023,0
Bawang,Kelapa Sawit,2024,0
