Kecamatan,Jenis,Tahun,Nilai,Catatan
Karangkobar,Kambing/Domba,2020,1247,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Karangkobar,Sapi/Kerbau,2021,135,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Karangkobar,Kambing/Domba,2021,1308,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Karangkobar,Sapi/Kerbau,2022,115,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Karangkobar,Kambing/Domba,2022,1323,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Karangkobar,Sapi/Kerbau,2023,117,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Karangkobar,Kambing/Domba,2023,1259,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Karangkobar,Sapi/Kerbau,2024,53,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Karangkobar,Kambing/Domba,2024,520,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Madukara,Sapi/Kerbau,2018,183,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Madukara,Kambing/Domba,2018,565,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Madukara,Sapi/Kerbau,2020,163,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Madukara,Kambing/Domba,2020,507,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Madukara,Sapi/Kerbau,2021,187,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Madukara,Kambing/Domba,2021,532,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Madukara,Sapi/Kerbau,2022,165,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Madukara,Kambing/Domba,2022,542,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Madukara,Sapi/Kerbau,2023,169,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Madukara,Kambing/Domba,2023,516,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Madukara,Sapi/Kerbau,2024,75,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Madukara,Kambing/Domba,2024,213,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Mandiraja,Sapi/Kerbau,2018,132,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Mandiraja,Kambing/Domba,2018,637,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Mandiraja,Sapi/Kerbau,2020,181,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Mandiraja,Kambing/Domba,2020,896,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Mandiraja,Sapi/Kerbau,2021,207,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Mandiraja,Kambing/Domba,2021,940,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Mandiraja,Sapi/Kerbau,2022,172,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Mandiraja,Kambing/Domba,2022,955,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Mandiraja,Sapi/Kerbau,2023,176,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Mandiraja,Kambing/Domba,2023,909,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Mandiraja,Sapi/Kerbau,2024,80,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Mandiraja,Kambing/Domba,2024,375,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagedongan,Sapi/Kerbau,2018,60,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagedongan,Kambing/Domba,2018,380,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagedongan,Sapi/Kerbau,2020,73,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagedongan,Kambing/Domba,2020,324,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagedongan,Sapi/Kerbau,2021,84,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagedongan,Kambing/Domba,2021,340,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagedongan,Sapi/Kerbau,2022,63,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagedongan,Kambing/Domba,2022,358,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagedongan,Sapi/Kerbau,2023,64,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagedongan,Kambing/Domba,2023,341,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagedongan,Sapi/Kerbau,2024,29,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagedongan,Kambing/Domba,2024,140,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagentan,Sapi/Kerbau,2018,227,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagentan,Kambing/Domba,2018,924,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagentan,Sapi/Kerbau,2020,252,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagentan,Kambing/Domba,2020,829,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagentan,Sapi/Kerbau,2021,289,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagentan,Kambing/Domba,2021,870,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagentan,Sapi/Kerbau,2022,270,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagentan,Kambing/Domba,2022,883,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagentan,Sapi/Kerbau,2023,276,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagentan,Kambing/Domba,2023,840,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagentan,Sapi/Kerbau,2024,124,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pagentan,Kambing/Domba,2024,345,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pandanarum,Sapi/Kerbau,2018,129,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pandanarum,Kambing/Domba,2018,608,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pandanarum,Sapi/Kerbau,2020,166,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pandanarum,Kambing/Domba,2020,687,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pandanarum,Sapi/Kerbau,2021,190,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pandanarum,Kambing/Domba,2021,721,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pandanarum,Sapi/Kerbau,2022,171,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pandanarum,Kambing/Domba,2022,734,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pandanarum,Sapi/Kerbau,2023,175,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pandanarum,Kambing/Domba,2023,699,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pandanarum,Sapi/Kerbau,2024,81,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pandanarum,Kambing/Domba,2024,298,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pejawaran,Sapi/Kerbau,2018,385,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pejawaran,Kambing/Domba,2018,481,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pejawaran,Sapi/Kerbau,2020,415,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pejawaran,Kambing/Domba,2020,643,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pejawaran,Sapi/Kerbau,2021,476,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pejawaran,Kambing/Domba,2021,675,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pejawaran,Sapi/Kerbau,2022,458,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pejawaran,Kambing/Domba,2022,686,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pejawaran,Sapi/Kerbau,2023,468,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pejawaran,Kambing/Domba,2023,653,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pejawaran,Sapi/Kerbau,2024,210,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Pejawaran,Kambing/Domba,2024,269,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Punggelan,Sapi/Kerbau,2018,268,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Punggelan,Kambing/Domba,2018,1184,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Punggelan,Sapi/Kerbau,2020,391,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
