Kelompok,Komoditas,Tahun,Nilai,Satuan
biofarmaka,Kapulaga,2018,5720,tangkai
biofarmaka,Kencur,2018,40847,tangkai
biofarmaka,Kunyit,2018,63212,tangkai
biofarmaka,Laos,2018,18571,tangkai
biofarmaka,Lempuyang,2018,8021,tangkai
biofarmaka,Lidah Buaya,2018,0,tangkai
biofarmaka,Mengkudu,2018,0,tangkai
biofarmaka,Temuireng,2018,0,tangkai
biofarmaka,Temukunci,2018,90,tangkai
biofarmaka,Temulawak,2018,2720,tangkai
biofarmaka,Sambiloto,2018,555,tangkai
sayuran_buah_semusim,Bawang Daun,2019,14056.7,ton
sayuran_buah_semusim,Bawang Merah,2019,37.3,ton
sayuran_buah_semusim,Bawang Putih,2019,595.4,ton
sayuran_buah_semusim,Bayam,2019,114.2,ton
sayuran_buah_semusim,Buncis,2019,5223.5,ton
sayuran_buah_semusim,Cabai Besar,2019,16978.2,ton
sayuran_buah_semusim,Cabai Rawit,2019,10573.6,ton
sayuran_buah_semusim,Cabai,2019,0,ton
sayuran_buah_semusim,Jamur,2019,0,ton
sayuran_buah_semusim,Kacang Merah,2019,259.5,ton
sayuran_buah_semusim,Kacang Panjang,2019,5615.4,ton
sayuran_buah_semusim,Kangkung,2019,735.1,ton
sayuran_buah_semusim,Kembang Kol,2019,0,ton
sayuran_buah_semusim,Kentang,2019,113498.2,ton
sayuran_buah_semusim,Ketimun,2019,498.4,ton
sayuran_buah_semusim,Kubis,2019,81945.3,ton
sayuran_buah_semusim,Labu Siam,2019,3981,ton
sayuran_buah_semusim,Lobak,2019,0,ton
sayuran_buah_semusim,Petsai,2019,0,ton
sayuran_buah_semusim,Terung,2019,2307.8,ton
sayuran_buah_semusim,Tomat,2019,9460.5,ton
sayuran_buah_semusim,Wortel,2019,92354.1,ton
sayuran_buah_semusim,Sawi,2019,5247.7,ton
sayuran_buah_semusim,Blewah,2019,0,ton
sayuran_buah_semusim,Melon,2019,0,ton
sayuran_buah_semusim,Semangka,2019,0,ton
buah_sayuran_tahunan,Alpukat,2019,326.9,ton
buah_sayuran_tahunan,Belimbing,2019,127.4,ton
buah_sayuran_tahunan,Duku,2019,1756.7,ton
buah_sayuran_tahunan,Durian,2019,9525.2,ton
buah_sayuran_tahunan,Jambu Biji,2019,4501.8,ton
buah_sayuran_tahunan,Jambu Air,2019,508.5,ton
buah_sayuran_tahunan,Jeruk Siam,2019,262.3,ton
buah_sayuran_tahunan,Jeruk Besa (Pomelo),2019,180.4,ton
buah_sayuran_tahunan,Jeruk (Tangerine + Pomelo),2019,0,ton
buah_sayuran_tahunan,Mangga,2019,3077.7,ton
buah_sayuran_tahunan,Manggis,2019,561.7,ton
buah_sayuran_tahunan,Nangka,2019,4453.4,ton
buah_sayuran_tahunan,Nenas,2019,163.1,ton
buah_sayuran_tahunan,Pepaya,2019,23070.4,ton
buah_sayuran_tahunan,Pisang,2019,20367.1,ton
buah_sayuran_tahunan,Rambutan,2019,6941.3,ton
buah_sayuran_tahunan,Salak,2019,350011.1,ton
buah_sayuran_tahunan,Sawo,2019,156.4,ton
buah_sayuran_tahunan,Markisa,2019,0,ton
buah_sayuran_tahunan,Sirsak,2019,212.8,ton
buah_sayuran_tahunan,Sukun,2019,653.4,ton
buah_sayuran_tahunan,Melinjo,2019,1256.4,ton
buah_sayuran_tahunan,Petai,2019,5878.2,ton
tanaman_hias,Agloenema,2019,0,tangkai
tanaman_hias,Anthurium Daun,2019,0,tangkai
tanaman_hias,Caladium,2019,0,tangkai
tanaman_hias,Pakis,2019,0,tangkai
tanaman_hias,Sansievera Pedang-Pedangan,2019,0,tangkai
tanaman_hias,Soka,2019,0,tangkai
tanaman_hias,Krisan,2019,0,tangkai
tanaman_hias,Mawar,2019,0,tangkai
tanaman_hias,Melati,2019,0,tangkai
tanaman_hias,Palem,2019,0,tangkai
tanaman_hias,Pisang-pisangan,2019,0,tangkai
tanaman_hias,Sedap Malam,2019,0,tangkai
biofarmaka,Dringo,2019,0,tangkai
biofarmaka,Jahe,2019,310937,tangkai
biofarmaka,Kapulaga,2019,9102,tangkai
biofarmaka,Kencur,2019,90633,tangkai
biofarmaka,Kunyit,2019,116091,tangkai
biofarmaka,Laos,2019,107114,tangkai
biofarmaka,Lempuyang,2019,3933,tangkai
biofarmaka,Lidah Buaya,2019,0,tangkai
biofarmaka,Mengkudu,2019,0,tangkai
biofarmaka,Temuireng,2019,4899,tangkai
biofarmaka,Temukunci,2019,0,tangkai
biofarmaka,Temulawak,2019,5406,tangkai
biofarmaka,Sambiloto,2019,1678,tangkai
sayuran_buah_semusim,Bawang Daun,2020,15807.4,ton
sayuran_buah_semusim,Bawang Merah,2020,85.8,ton
sayuran_buah_semusim,Bawang Putih,2020,854.5,ton
sayuran_buah_semusim,Bayam,2020,126.2,ton
sayuran_buah_semusim,Buncis,2020,5366.4,ton
sayuran_buah_semusim,Cabai Besar,2020,17068.4,ton
sayuran_buah_semusim,Cabai Rawit,2020,13199.8,ton
sayuran_buah_semusim,Cabai,2020,0,ton
sayuran_buah_semusim,Jamur,2020,0,ton
