Kecamatan,Kelompok,Komoditas,Tahun,Nilai,Satuan
Banjarmangu,buah_tahunan,Mangga,2022,232.9,ton
Banjarmangu,buah_tahunan,Durian,2022,1488,ton
Banjarmangu,buah_tahunan,Jeruk Besar,2022,0,ton
Banjarmangu,buah_tahunan,Pisang,2022,4618,ton
Banjarmangu,buah_tahunan,Pepaya,2022,404,ton
Banjarmangu,buah_tahunan,Salak,2022,96282,ton
Banjarmangu,buah_tahunan,Jeruk Siam,2022,58.3,ton
Banjarmangu,tanaman_hias,Agloenema,2022,0,tangkai
Banjarmangu,tanaman_hias,Krisan,2022,0,tangkai
Banjarmangu,tanaman_hias,Mawar,2022,0,tangkai
Banjarmangu,tanaman_hias,Soka,2022,0,tangkai
Banjarmangu,biofarmaka,Jahe,2022,0,tangkai
Banjarmangu,biofarmaka,Laos,2022,0,tangkai
Banjarmangu,biofarmaka,Kencur,2022,0,tangkai
Banjarmangu,biofarmaka,Kunyit,2022,450,tangkai
Banjarmangu,sayuran,Bawang Merah,2023,0,ton
Banjarmangu,sayuran,Cabai Besar,2023,0,ton
Banjarmangu,sayuran,Kentang,2023,0,ton
Banjarmangu,sayuran,Kubis,2023,0,ton
Banjarmangu,sayuran,Petsai,2023,0,ton
Banjarmangu,sayuran,Tomat,2023,8.65,ton
Banjarmangu,sayuran,Bawang Putih,2023,0,ton
Banjarmangu,sayuran,Cabai Rawit,2023,9.1,ton
Banjarmangu,buah_tahunan,Mangga,2023,0,ton
Banjarmangu,buah_tahunan,Durian,2023,145,ton
Banjarmangu,buah_tahunan,Pisang,2023,30.5,ton
Banjarmangu,buah_tahunan,Pepaya,2023,17.2,ton
Banjarmangu,buah_tahunan,Salak,2023,40100,ton
Banjarmangu,buah_tahunan,Jeruk Siam,2023,0,ton
Banjarmangu,tanaman_hias,Agloenema,2023,0,tangkai
Banjarmangu,tanaman_hias,Krisan,2023,0,tangkai
Banjarmangu,tanaman_hias,Mawar,2023,0,tangkai
Banjarmangu,tanaman_hias,Soka,2023,0,tangkai
Banjarmangu,biofarmaka,Jahe,2023,0,tangkai
Banjarmangu,biofarmaka,Laos,2023,0,tangkai
Banjarmangu,biofarmaka,Kencur,2023,64000,tangkai
Banjarmangu,biofarmaka,Kunyit,2023,0,tangkai
Banjarmangu,sayuran,Bawang Merah,2024,0,ton
Banjarmangu,sayuran,Cabai Besar,2024,0,ton
Banjarmangu,sayuran,Kentang,2024,0,ton
Banjarmangu,sayuran,Kubis,2024,0,ton
Banjarmangu,sayuran,Petsai,2024,0,ton
Banjarmangu,sayuran,Tomat,2024,0,ton
Banjarmangu,sayuran,Bawang Putih,2024,0,ton
Banjarmangu,sayuran,Cabai Rawit,2024,2.16,ton
Banjarmangu,buah_tahunan,Mangga,2024,174.95,ton
Banjarmangu,buah_tahunan,Durian,2024,266,ton
Banjarmangu,buah_tahunan,Jeruk Besar,2024,0,ton
Banjarmangu,buah_tahunan,Pisang,2024,524,ton
Banjarmangu,buah_tahunan,Pepaya,2024,739.5,ton
Banjarmangu,buah_tahunan,Salak,2024,9230,ton
Banjarmangu,buah_tahunan,Jeruk Siam,2024,0,ton
Banjarmangu,tanaman_hias,Agloenema,2024,0,tangkai
Banjarmangu,tanaman_hias,Krisan,2024,0,tangkai
Banjarmangu,tanaman_hias,Mawar,2024,0,tangkai
Banjarmangu,tanaman_hias,Soka,2024,0,tangkai
Banjarmangu,biofarmaka,Jahe,2024,90,tangkai
Banjarmangu,biofarmaka,Laos,2024,8450,tangkai
Banjarmangu,biofarmaka,Kencur,2024,0,tangkai
Banjarmangu,biofarmaka,Kunyit,2024,4115,tangkai
Banjarnegara,sayuran,Bawang Merah,2017,0,ton
Banjarnegara,sayuran,Cabai Besar,2017,0,ton
Banjarnegara,sayuran,Kentang,2017,0,ton
Banjarnegara,sayuran,Kubis,2017,0,ton
Banjarnegara,sayuran,Petsai,2017,0,ton
Banjarnegara,sayuran,Tomat,2017,0,ton
Banjarnegara,sayuran,Bawang Putih,2017,0,ton
Banjarnegara,sayuran,Cabai Rawit,2017,0,ton
Banjarnegara,buah_tahunan,Mangga,2017,0,ton
