Kecamatan,Kelompok,Komoditas,Tahun,Nilai,Satuan
Banjarnegara,sayuran,Tomat,2017,0,ha
Banjarnegara,sayuran,Bawang Putih,2017,0,ha
Banjarnegara,sayuran,Cabai Rawit,2017,0,ha
Banjarnegara,sayuran,Bawang Merah,2018,5,ha
Banjarnegara,sayuran,Cabai Besar,2018,1,ha
Banjarnegara,sayuran,Kentang,2018,0,ha
Banjarnegara,sayuran,Kubis,2018,0,ha
Banjarnegara,sayuran,Petsai,2018,0,ha
Banjarnegara,sayuran,Tomat,2018,0,ha
Banjarnegara,sayuran,Bawang Putih,2018,0,ha
Banjarnegara,sayuran,Cabai Rawit,2018,0,ha
Banjarnegara,sayuran,Bawang Merah,2019,0,ha
Banjarnegara,sayuran,Cabai Besar,2019,2,ha
Banjarnegara,sayuran,Kentang,2019,0,ha
Banjarnegara,sayuran,Kubis,2019,0,ha
Banjarnegara,sayuran,Petsai,2019,0,ha
Banjarnegara,sayuran,Tomat,2019,1,ha
Banjarnegara,sayuran,Bawang Putih,2019,0,ha
Banjarnegara,sayuran,Cabai Rawit,2019,3,ha
Banjarnegara,tanaman_hias,Agloenema,2019,0,m2
Banjarnegara,tanaman_hias,Krisan,2019,0,m2
Banjarnegara,tanaman_hias,Mawar,2019,0,m2
Banjarnegara,tanaman_hias,Soka,2019,0,m2
Banjarnegara,biofarmaka,Jahe,2019,2000,m2
Banjarnegara,biofarmaka,Laos,2019,3500,m2
Banjarnegara,biofarmaka,Kencur,2019,0,m2
Banjarnegara,biofarmaka,Kunyit,2019,5000,m2
Banjarnegara,sayuran,Bawang Merah,2020,6,ha
Banjarnegara,sayuran,Cabai Besar,2020,1,ha
Banjarnegara,sayuran,Kentang,2020,0,ha
Banjarnegara,sayuran,Kubis,2020,0,ha
Banjarnegara,sayuran,Petsai,2020,0,ha
Banjarnegara,sayuran,Tomat,2020,0,ha
Banjarnegara,sayuran,Bawang Putih,2020,0,ha
Banjarnegara,sayuran,Cabai Rawit,2020,0,ha
Banjarnegara,tanaman_hias,Agloenema,2020,0,m2
Banjarnegara,tanaman_hias,Krisan,2020,0,m2
Banjarnegara,tanaman_hias,Mawar,2020,0,m2
Banjarnegara,tanaman_hias,Soka,2020,0,m2
Banjarnegara,biofarmaka,Jahe,2020,0,m2
Banjarnegara,biofarmaka,Laos,2020,3500,m2
Banjarnegara,biofarmaka,Kencur,2020,0,m2
Banjarnegara,biofarmaka,Kunyit,2020,6000,m2
Banjarnegara,sayuran,Bawang Merah,2021,0,ha
Banjarnegara,sayuran,Cabai Besar,2021,0,ha
Banjarnegara,sayuran,Kentang,2021,0,ha
Banjarnegara,sayuran,Kubis,2021,0,ha
Banjarnegara,sayuran,Petsai,2021,0,ha
Banjarnegara,sayuran,Tomat,2021,0,ha
Banjarnegara,sayuran,Bawang Putih,2021,0,ha
Banjarnegara,sayuran,Cabai Rawit,2021,0,ha
Banjarnegara,tanaman_hias,Agloenema,2021,0,m2
Banjarnegara,tanaman_hias,Krisan,2021,0,m2
