Kecamatan,Jenis Budidaya,Tahun,Produksi (Kg),Nilai (Ribu Rp)
Mandiraja,Pembesaran,2020,2053085.75,45886968.46
Mandiraja,Karamba Jaring Apung,2020,0,0
Mandiraja,Minapadi Tumpang Sari,2020,16299,358578
Mandiraja,Pembesaran,2021,2239279.2,47734354.95
Mandiraja,Karamba Jaring Apung,2021,0,0
Mandiraja,Minapadi Tumpang Sari,2021,0,0
Mandiraja,Pembesaran,2022,2401159.55,54315793.66
Mandiraja,Minapadi Tumpang Sari,2022,27390.26,547805.21
Mandiraja,Pembesaran,2023,2417419.26,53142759.51
Mandiraja,Karamba Jaring Apung,2023,0,0
Mandiraja,Minapadi Tumpang Sari,2023,19291.93,437714.08
Mandiraja,Pembesaran,2024,2400503.76,53158787.74
Mandiraja,Karamba Jaring Apung,2024,0,0
Mandiraja,Minapadi Tumpang Sari,2024,9083.33,199833.33
Pagedongan,Pembesaran,2019,1767563.8,39394041.7
Pagedongan,Karamba Jaring Apung,2019,0,0
Pagedongan,Minapadi Tumpang Sari,2019,0,0
Pagedongan,Pembesaran,2020,832579.73,18608360.43
Pagedongan,Karamba Jaring Apung,2020,0,0
Pagedongan,Minapadi Tumpang Sari,2020,0,0
Pagedongan,Pembesaran,2021,908086.02,19357523.75
Pagedongan,Karamba Jaring Apung,2021,0,0
Pagedongan,Minapadi Tumpang Sari,2021,0,0
Pagedongan,Pembesaran,2022,973732.72,22026468.5
Pagedongan,Pembesaran,2023,980326.45,21550772.61
Pagedongan,Karamba Jaring Apung,2023,0,0
Pagedongan,Minapadi Tumpang Sari,2023,0,0
Pagedongan,Pembesaran,2024,973466.77,21557272.48
Pagedongan,Karamba Jaring Apung,2024,0,0
Pagedongan,Minapadi Tumpang Sari,2024,0,0
Pagentan,Pembesaran,2019,188696.27,4205510.75
Pagentan,Karamba Jaring Apung,2019,0,0
Pagentan,Minapadi Tumpang Sari,2019,0,0
Pagentan,Pembesaran,2020,514035.07,11488809.53
Pagentan,Karamba Jaring Apung,2020,0,0
Pagentan,Minapadi Tumpang Sari,2020,0,0
Pagentan,Pembesaran,2021,560652.69,11951343.28
Pagentan,Karamba Jaring Apung,2021,0,0
Pagentan,Minapadi Tumpang Sari,2021,0,0
Pagentan,Pembesaran,2022,601182.99,13599150.89
Pagentan,Pembesaran,2023,605253.96,13305456.05
Pagentan,Karamba Jaring Apung,2023,0,0
Pagentan,Minapadi Tumpang Sari,2023,0,0
Pagentan,Pembesaran,2024,601018.79,13309469.07
Pagentan,Karamba Jaring Apung,2024,0,0
Pagentan,Minapadi Tumpang Sari,2024,0,0
Pandanarum,Pembesaran,2019,82542.62,1839643.56
Pandanarum,Karamba Jaring Apung,2019,0,0
Pandanarum,Minapadi Tumpang Sari,2019,0,0
Pandanarum,Pembesaran,2020,97308.85,2174876.51
Pandanarum,Karamba Jaring Apung,2020,0,0
Pandanarum,Minapadi Tumpang Sari,2020,0,0
Pandanarum,Pembesaran,2021,106133.74,2262435.95
Pandanarum,Karamba Jaring Apung,2021,0,0
Pandanarum,Minapadi Tumpang Sari,2021,0,0
Pandanarum,Pembesaran,2022,113806.29,2574372.37
Pandanarum,Pembesaran,2023,114576.94,2518774.79
Pandanarum,Karamba Jaring Apung,2023,0,0
Pandanarum,Minapadi Tumpang Sari,2023,0,0
Pandanarum,Pembesaran,2024,113775.2,2519534.47
Pandanarum,Karamba Jaring Apung,2024,0,0
