Kecamatan,Tanaman,Tahun,Produksi (Ton)
Punggelan,Kopi Robusta,2018,125.8
Punggelan,Kakao,2018,1.02
Punggelan,Tebu,2018,1286
Punggelan,Teh,2018,0
Punggelan,Tembakau,2018,0
Punggelan,Kelapa Sawit,2019,0
Punggelan,Kelapa Dalam,2019,932.6
Punggelan,Karet,2019,0
Punggelan,Kopi Robusta,2019,140.52
Punggelan,Kakao,2019,0.91
Punggelan,Tebu,2019,17.09
Punggelan,Teh,2019,0
Punggelan,Tembakau,2019,0
Punggelan,Kelapa Sawit,2020,0
Punggelan,Kelapa Dalam,2020,940.6
Punggelan,Karet,2020,0
Punggelan,Kopi Robusta,2020,151.82
Punggelan,Kakao,2020,0.85
Punggelan,Tebu,2020,0
Punggelan,Teh,2020,0
Punggelan,Tembakau,2020,0
Punggelan,Kelapa Sawit,2021,0
Punggelan,Kelapa Dalam,2021,1004.36
Punggelan,Karet,2021,0
Punggelan,Kopi Robusta,2021,140.75
Punggelan,Kakao,2021,1.01
Punggelan,Tebu,2021,0
Punggelan,Teh,2021,0
Punggelan,Tembakau,2021,0
Punggelan,Kelapa Sawit,2022,0
Punggelan,Kelapa Dalam,2022,1060.44
Punggelan,Karet,2022,0
Punggelan,Kopi Robusta,2022,85.44
Punggelan,Kakao,2022,1.01
Punggelan,Tebu,2022,0
Punggelan,Teh,2022,0
Punggelan,Tembakau,2022,0
Punggelan,Kelapa Sawit,2023,0
Punggelan,Kelapa Dalam,2023,629.8
Punggelan,Karet,2023,0
Punggelan,Kopi Robusta,2023,0
Punggelan,Kakao,2023,1.01
Punggelan,Tebu,2023,0
Punggelan,Teh,2023,0
Punggelan,Tembakau,2023,0
Punggelan,Kelapa Sawit,2024,0
Punggelan,Kelapa Dalam,2024,1259.6
Punggelan,Karet,2024,0
Punggelan,Kopi Robusta,2024,176.77
Punggelan,Kakao,2024,2.02
Punggelan,Tebu,2024,0
Punggelan,Teh,2024,0
Punggelan,Tembakau,2024,0
Purwanegara,Kelapa Sawit,2017,0
Purwanegara,Karet,2017,1.35
Purwanegara,Tebu,2017,200
Purwanegara,Teh,2017,0
Purwanegara,Tembakau,2017,0
Purwanegara,Kelapa Sawit,2018,0
Purwanegara,Kelapa Dalam,2018,1164.41
Purwanegara,Karet,2018,0.07
Purwanegara,Kopi Robusta,2018,19.7
Purwanegara,Kakao,2018,0
Purwanegara,Tebu,2018,0
Purwanegara,Teh,2018,0
Purwanegara,Tembakau,2018,0
Purwanegara,Kelapa Sawit,2019,0
Purwanegara,Kelapa Dalam,2019,1275.84
Purwanegara,Karet,2019,0.06
Purwanegara,Kopi Robusta,2019,20.1
Purwanegara,Kakao,2019,0
Purwanegara,Tebu,2019,0
Purwanegara,Teh,2019,0
Purwanegara,Tembakau,2019,0
Purwanegara,Kelapa Sawit,2020,0
Purwanegara,Kelapa Dalam,2020,1452.94
Purwanegara,Karet,2020,0.07
Purwanegara,Kopi Robusta,2020,34.8
Purwanegara,Kakao,2020,0
Purwanegara,Tebu,2020,0
Purwanegara,Teh,2020,0
Purwanegara,Tembakau,2020,0
Purwanegara,Kelapa Sawit,2021,0
Purwanegara,Kelapa Dalam,2021,1485.32
Purwanegara,Karet,2021,0.07
Purwanegara,Kopi Robusta,2021,29.71
Purwanegara,Kakao,2021,0
Purwanegara,Tebu,2021,0
Purwanegara,Teh,2021,0
Purwanegara,Tembakau,2021,0
Purwanegara,Kelapa Sawit,2022,0
Purwanegara,Kelapa Dalam,2022,1571.38
Purwanegara,Karet,2022,0.16
Purwanegara,Kopi Robusta,2022,29.98
Purwanegara,Kakao,2022,0
Purwanegara,Tebu,2022,0
Purwanegara,Teh,2022,0
Purwanegara,Tembakau,2022,0
Purwanegara,Kelapa Sawit,2023,0
Purwanegara,Kelapa Dalam,2023,1570.84
Purwanegara,Karet,2023,0.16
Purwanegara,Kopi Robusta,2023,23.76
Purwanegara,Kakao,2023,0
Purwanegara,Tebu,2023,0
Purwanegara,Teh,2023,0
Purwanegara,Tembakau,2023,0
Purwanegara,Kelapa Sawit,2024,0
Purwanegara,Kelapa Dalam,2024,2142.13
Purwanegara,Karet,2024,0
Purwanegara,Kopi Robusta,2024,33.49
Purwanegara,Kakao,2024,0.6
Purwanegara,Tebu,2024,0
Purwanegara,Teh,2024,0
Purwanegara,Tembakau,2024,0
Purwareja Klampok,Kelapa Sawit,2017,0
Purwareja Klampok,Karet,2017,0
Purwareja Klampok,Tebu,2017,0
Purwareja Klampok,Teh,2017,0
Purwareja Klampok,Tembakau,2017,0
Purwareja Klampok,Kelapa Sawit,2018,0
Purwareja Klampok,Kelapa Dalam,2018,148.1
Purwareja Klampok,Karet,2018,0
Purwareja Klampok,Kopi Robusta,2018,1.52
Purwareja Klampok,Kakao,2018,0
Purwareja Klampok,Tebu,2018,0
Purwareja Klampok,Teh,2018,0
Purwareja Klampok,Tembakau,2018,0
Purwareja Klampok,Kelapa Sawit,2019,0
Purwareja Klampok,Kelapa Dalam,2019,152.9
Purwareja Klampok,Karet,2019,0
Purwareja Klampok,Kopi Robusta,2019,1.55
Purwareja Klampok,Kakao,2019,0
Purwareja Klampok,Tebu,2019,11.69
Purwareja Klampok,Teh,2019,0
Purwareja Klampok,Tembakau,2019,0
Purwareja Klampok,Kelapa Sawit,2020,0
Purwareja Klampok,Kelapa Dalam,2020,161.32
Purwareja Klampok,Karet,2020,0
Purwareja Klampok,Kopi Robusta,2020,4.06
Purwareja Klampok,Kakao,2020,0
Purwareja Klampok,Tebu,2020,0
Purwareja Klampok,Teh,2020,0
Purwareja Klampok,Tembakau,2020,0
Purwareja Klampok,Kelapa Sawit,2021,0
Purwareja Klampok,Kelapa Dalam,2021,169
Purwareja Klampok,Karet,2021,0
Purwareja Klampok,Kopi Robusta,2021,3.83
Purwareja Klampok,Kakao,2021,0
Purwareja Klampok,Tebu,2021,0
Purwareja Klampok,Teh,2021,0
Purwareja Klampok,Tembakau,2021,0
Purwareja Klampok,Kelapa Sawit,2022,0
Purwareja Klampok,Kelapa Dalam,2022,181.2
Purwareja Klampok,Karet,2022,0
Purwareja Klampok,Kopi Robusta,2022,3.84
Purwareja Klampok,Kakao,2022,0
Purwareja Klampok,Tebu,2022,0
Purwareja Klampok,Teh,2022,0
Purwareja Klampok,Tembakau,2022,0
Purwareja Klampok,Kelapa Sawit,2023,0
Purwareja Klampok,Kelapa Dalam,2023,165.15
Purwareja Klampok,Karet,2023,0
Purwareja Klampok,Kopi Robusta,2023,3.84
Purwareja Klampok,Kakao,2023,0
Purwareja Klampok,Tebu,2023,0
Purwareja Klampok,Teh,2023,0
Purwareja Klampok,Tembakau,2023,0
Purwareja Klampok,Kelapa Sawit,2024,0
Purwareja Klampok,Kelapa Dalam,2024,326.86
Purwareja Klampok,Karet,2024,0
Purwareja Klampok,Kopi Robusta,2024,3.19
Purwareja Klampok,Kakao,2024,0
Purwareja Klampok,Tebu,2024,0
Purwareja Klampok,Teh,2024,0
Purwareja Klampok,Tembakau,2024,0
Rakit,Kelapa Sawit,2017,0
Rakit,Karet,2017,0
Rakit,Tebu,2017,681.82
Rakit,Teh,2017,0
Rakit,Tembakau,2017,0
Rakit,Kelapa Sawit,2018,0
Rakit,Kelapa Dalam,2018,842.19
Rakit,Karet,2018,0
Rakit,Kopi Robusta,2018,5.34
Rakit,Kakao,2018,1.02
Rakit,Tebu,2018,409.5
Rakit,Teh,2018,0
Rakit,Tembakau,2018,0
Rakit,Kelapa Sawit,2019,0
Rakit,Kelapa Dalam,2019,897.27
Rakit,Karet,2019,0
Rakit,Kopi Robusta,2019,6.55
Rakit,Kakao,2019,0.93
Rakit,Tebu,2019,17.75
Rakit,Teh,2019,0
Rakit,Tembakau,2019,0
Rakit,Kelapa Sawit,2020,0
Rakit,Kelapa Dalam,2020,1008.45
Rakit,Karet,2020,0
Rakit,Kopi Robusta,2020,7.57
Rakit,Kakao,2020,0.99
Rakit,Tebu,2020,0.45
Rakit,Teh,2020,0
Rakit,Tembakau,2020,0
Rakit,Kelapa Sawit,2021,0
Rakit,Kelapa Dalam,2021,1062.74
Rakit,Karet,2021,0
Rakit,Kopi Robusta,2021,6.9
Rakit,Kakao,2021,0.94
Rakit,Tebu,2021,0.43
Rakit,Teh,2021,0
Rakit,Tembakau,2021,0
Rakit,Kelapa Sawit,2022,0
Rakit,Kelapa Dalam,2022,1114.31
Rakit,Karet,2022,0
Rakit,Kopi Robusta,2022,4.74
Rakit,Kakao,2022,0.95
Rakit,Tebu,2022,0
Rakit,Teh,2022,0
Rakit,Tembakau,2022,0
Rakit,Kelapa Sawit,2023,0
Rakit,Kelapa Dalam,2023,1114.31
Rakit,Karet,2023,0
Rakit,Kopi Robusta,2023,0
Rakit,Kakao,2023,1.12
Rakit,Tebu,2023,0
Rakit,Teh,2023,0
Rakit,Tembakau,2023,0
Rakit,Kelapa Sawit,2024,0
Rakit,Kelapa Dalam,2024,1432.33
Rakit,Karet,2024,0
Rakit,Kopi Robusta,2024,17.38
Rakit,Kakao,2024,2.25
Rakit,Tebu,2024,0
Rakit,Teh,2024,0
Rakit,Tembakau,2024,0
Sigaluh,Kelapa Sawit,2017,0
Sigaluh,Karet,2017,0
Sigaluh,Teh,2017,0
Sigaluh,Tembakau,2017,0
Sigaluh,Kelapa Sawit,2018,0
Sigaluh,Kelapa Dalam,2018,208.68
Sigaluh,Karet,2018,0
Sigaluh,Kopi Robusta,2018,11.65
Sigaluh,Kakao,2018,0.2
Sigaluh,Tebu,2018,0
Sigaluh,Teh,2018,0
Sigaluh,Tembakau,2018,0
Sigaluh,Kelapa Sawit,2019,0
Sigaluh,Kelapa Dalam,2019,231.04
Sigaluh,Karet,2019,0
Sigaluh,Kopi Robusta,2019,13.31
Sigaluh,Kakao,2019,0.19
Sigaluh,Tebu,2019,0
Sigaluh,Teh,2019,0
Sigaluh,Tembakau,2019,0
Sigaluh,Kelapa Sawit,2020,0
Sigaluh,Kelapa Dalam,2020,277.1
Sigaluh,Karet,2020,0
Sigaluh,Kopi Robusta,2020,46.41
Sigaluh,Kakao,2020,0.2
Sigaluh,Tebu,2020,0
Sigaluh,Teh,2020,0
Sigaluh,Tembakau,2020,0
Sigaluh,Kelapa Sawit,2021,0
Sigaluh,Kelapa Dalam,2021,300.58
Sigaluh,Karet,2021,0
Sigaluh,Kopi Robusta,2021,47.05
Sigaluh,Kakao,2021,0.19
Sigaluh,Tebu,2021,0
Sigaluh,Teh,2021,0
Sigaluh,Tembakau,2021,0
Sigaluh,Kelapa Sawit,2022,0
Sigaluh,Kelapa Dalam,2022,305.1
Sigaluh,Karet,2022,0
Sigaluh,Kopi Robusta,2022,32.14
Sigaluh,Kakao,2022,0.19
Sigaluh,Tebu,2022,0
Sigaluh,Teh,2022,0
Sigaluh,Tembakau,2022,0
Sigaluh,Kelapa Sawit,2023,0
Sigaluh,Kelapa Dalam,2023,305.1
Sigaluh,Karet,2023,0
Sigaluh,Kopi Robusta,2023,39.83
Sigaluh,Kakao,2023,0.19
Sigaluh,Tebu,2023,0
Sigaluh,Teh,2023,0
Sigaluh,Tembakau,2023,0
Sigaluh,Kelapa Sawit,2024,0
Sigaluh,Kelapa Dalam,2024,1144.67
Sigaluh,Karet,2024,0
Sigaluh,Kopi Robusta,2024,78.26
Sigaluh,Kakao,2024,0.38
Sigaluh,Tebu,2024,0
Sigaluh,Teh,2024,0
Sigaluh,Tembakau,2024,0
Susukan,Kelapa Sawit,2017,0
Susukan,Karet,2017,0
Susukan,Tebu,2017,299.99
Susukan,Teh,2017,0
Susukan,Tembakau,2017,0
Susukan,Kelapa Sawit,2018,0
Susukan,Kelapa Dalam,2018,2402.53
Susukan,Karet,2018,0
Susukan,Kopi Robusta,2018,8.66
Susukan,Kakao,2018,0
Susukan,Tebu,2018,348
Susukan,Teh,2018,0
Susukan,Tembakau,2018,0
Susukan,Kelapa Sawit,2019,0
Susukan,Kelapa Dalam,2019,2537.23
Susukan,Karet,2019,0
Susukan,Kopi Robusta,2019,9.12
Susukan,Kakao,2019,0
Susukan,Tebu,2019,6.72
Susukan,Teh,2019,0
Susukan,Tembakau,2019,0
Susukan,Kelapa Sawit,2020,0
Susukan,Kelapa Dalam,2020,2743.17
Susukan,Karet,2020,0
Susukan,Kopi Robusta,2020,26.63
Susukan,Kakao,2020,0
Susukan,Tebu,2020,0
Susukan,Teh,2020,0
Susukan,Tembakau,2020,0
Susukan,Kelapa Sawit,2021,0
Susukan,Kelapa Dalam,2021,3311.95
Susukan,Karet,2021,0
Susukan,Kopi Robusta,2021,21.84
Susukan,Kakao,2021,0
Susukan,Tebu,2021,0
Susukan,Teh,2021,0
Susukan,Tembakau,2021,0
Susukan,Kelapa Sawit,2022,0
Susukan,Kelapa Dalam,2022,3414.91
Susukan,Karet,2022,0
Susukan,Kopi Robusta,2022,24.11
Susukan,Kakao,2022,0
Susukan,Tebu,2022,0
Susukan,Teh,2022,0
Susukan,Tembakau,2022,0
Susukan,Kelapa Sawit,2023,0
Susukan,Kelapa Dalam,2023,1588.43
Susukan,Karet,2023,0
Susukan,Kopi Robusta,2023,17.75
Susukan,Kakao,2023,0
Susukan,Tebu,2023,0
Susukan,Teh,2023,0
Susukan,Tembakau,2023,0
Susukan,Kelapa Sawit,2024,0
Susukan,Kelapa Dalam,2024,3558.09
Susukan,Karet,2024,0
Susukan,Kopi Robusta,2024,32.44
Susukan,Kakao,2024,0
Susukan,Tebu,2024,0
Susukan,Teh,2024,0
Susukan,Tembakau,2024,0
Wanadadi,Kelapa Sawit,2017,0
Wanadadi,Karet,2017,0
Wanadadi,Tebu,2017,0
Wanadadi,Teh,2017,0
Wanadadi,Tembakau,2017,0
Wanadadi,Kelapa Sawit,2018,0
Wanadadi,Kelapa Dalam,2018,413.7
Wanadadi,Karet,2018,0
Wanadadi,Kopi Robusta,2018,21.78
Wanadadi,Kakao,2018,2.95
Wanadadi,Tebu,2018,0
Wanadadi,Teh,2018,0
Wanadadi,Tembakau,2018,0
Wanadadi,Kelapa Sawit,2019,0
Wanadadi,Kelapa Dalam,2019,425.24
Wanadadi,Karet,2019,0
Wanadadi,Kopi Robusta,2019,31.02
Wanadadi,Kakao,2019,0
Wanadadi,Tebu,2019,0
Wanadadi,Teh,2019,0
Wanadadi,Tembakau,2019,0
Wanadadi,Kelapa Sawit,2020,0
Wanadadi,Kelapa Dalam,2020,456.84
Wanadadi,Karet,2020,0
Wanadadi,Kopi Robusta,2020,63.75
Wanadadi,Kakao,2020,0
Wanadadi,Tebu,2020,0
Wanadadi,Teh,2020,0
Wanadadi,Tembakau,2020,0
Wanadadi,Kelapa Sawit,2021,0
Wanadadi,Kelapa Dalam,2021,488.04
Wanadadi,Karet,2021,0
Wanadadi,Kopi Robusta,2021,63.38
Wanadadi,Kakao,2021,0
Wanadadi,Tebu,2021,0
Wanadadi,Teh,2021,0
Wanadadi,Tembakau,2021,0
Wanadadi,Kelapa Sawit,2022,0
Wanadadi,Kelapa Dalam,2022,483.97
Wanadadi,Karet,2022,0
Wanadadi,Kopi Robusta,2022,34.15
Wanadadi,Kakao,2022,3.99
Wanadadi,Tebu,2022,0
Wanadadi,Teh,2022,0
Wanadadi,Tembakau,2022,0
Wanadadi,Kelapa Sawit,2023,0
Wanadadi,Kelapa Dalam,2023,370.19
Wanadadi,Karet,2023,0
Wanadadi,Kopi Robusta,2023,0
Wanadadi,Kakao,2023,3.99
Wanadadi,Tebu,2023,0
Wanadadi,Teh,2023,0
Wanadadi,Tembakau,2023,0
Wanadadi,Kelapa Sawit,2024,0
Wanadadi,Kelapa Dalam,2024,872.82
Wanadadi,Karet,2024,0
Wanadadi,Kopi Robusta,2024,86.62
Wanadadi,Kakao,2024,8.84
Wanadadi,Tebu,2024,0
Wanadadi,Teh,2024,0
Wanadadi,Tembakau,2024,0
Wanayasa,Kelapa Sawit,2017,0
Wanayasa,Karet,2017,0
Wanayasa,Tebu,2017,0
Wanayasa,Teh,2017,816
Wanayasa,Tembakau,2017,6.2
Wanayasa,Kelapa Sawit,2018,0
Wanayasa,Kelapa Dalam,2018,6.61
Wanayasa,Karet,2018,0
Wanayasa,Kopi Robusta,2018,37.54
Wanayasa,Kakao,2018,0
Wanayasa,Tebu,2018,0
Wanayasa,Teh,2018,816
Wanayasa,Tembakau,2018,6.3
Wanayasa,Kelapa Sawit,2019,0
Wanayasa,Kelapa Dalam,2019,7.2
Wanayasa,Karet,2019,0
Wanayasa,Kopi Robusta,2019,43.6
Wanayasa,Kakao,2019,0
Wanayasa,Tebu,2019,0
Wanayasa,Teh,2019,1011.35
Wanayasa,Tembakau,2019,5.23
Wanayasa,Kelapa Sawit,2020,0
Wanayasa,Kelapa Dalam,2020,8.89
Wanayasa,Karet,2020,0
Wanayasa,Kopi Robusta,2020,143.38
Wanayasa,Kakao,2020,0
Wanayasa,Tebu,2020,0
Wanayasa,Teh,2020,1046.3
Wanayasa,Tembakau,2020,4.8
Wanayasa,Kelapa Sawit,2021,0
Wanayasa,Kelapa Dalam,2021,9.28
Wanayasa,Karet,2021,0
Wanayasa,Kopi Robusta,2021,70.8
Wanayasa,Kakao,2021,0
Wanayasa,Tebu,2021,0
Wanayasa,Teh,2021,1023.52
Wanayasa,Tembakau,2021,3.75
Wanayasa,Kelapa Sawit,2022,0
Wanayasa,Kelapa Dalam,2022,9.24
Wanayasa,Karet,2022,0
Wanayasa,Kopi Robusta,2022,73.18
Wanayasa,Kakao,2022,0
Wanayasa,Tebu,2022,0
Wanayasa,Teh,2022,1057.33
Wanayasa,Tembakau,2022,0
Wanayasa,Kelapa Sawit,2023,0
Wanayasa,Kelapa Dalam,2023,4.5
Wanayasa,Karet,2023,0
Wanayasa,Kopi Robusta,2023,0
Wanayasa,Kakao,2023,0
Wanayasa,Tebu,2023,0
Wanayasa,Teh,2023,768.77
Wanayasa,Tembakau,2023,3.5
Wanayasa,Kelapa Sawit,2024,0
Wanayasa,Kelapa Dalam,2024,11.25
Wanayasa,Karet,2024,0
Wanayasa,Kopi Robusta,2024,154.57
Wanayasa,Kakao,2024,0
Wanayasa,Tebu,2024,0
Wanayasa,Teh,2024,1289.15
Wanayasa,Tembakau,2024,4.17
