Kecamatan,Tanaman,Tahun,Produksi (Ton)
Batur,Teh,2022,17.3
Batur,Tembakau,2022,0
Batur,Kelapa Sawit,2023,0
Batur,Kelapa Dalam,2023,0
Batur,Karet,2023,0
Batur,Kopi Robusta,2023,0
Batur,Kakao,2023,0
Batur,Tebu,2023,0
Batur,Teh,2023,18.72
Batur,Tembakau,2023,24.89
Batur,Kelapa Sawit,2024,0
Batur,Kelapa Dalam,2024,0
Batur,Karet,2024,0
Batur,Kopi Robusta,2024,0
Batur,Kakao,2024,0
Batur,Tebu,2024,0
Batur,Teh,2024,21.84
Batur,Tembakau,2024,20.89
Bawang,Kelapa Sawit,2017,0
Bawang,Karet,2017,1.41
Bawang,Tebu,2017,469.5
Bawang,Teh,2017,0
Bawang,Tembakau,2017,0
Bawang,Kelapa Sawit,2018,0
Bawang,Kelapa Dalam,2018,513.61
Bawang,Karet,2018,0.07
Bawang,Kopi Robusta,2018,13.5
Bawang,Kakao,2018,24.03
Bawang,Tebu,2018,0.27
Bawang,Teh,2018,0
Bawang,Tembakau,2018,0
Bawang,Kelapa Sawit,2019,0
Bawang,Kelapa Dalam,2019,524.16
Bawang,Karet,2019,0.4
Bawang,Kopi Robusta,2019,14.05
Bawang,Kakao,2019,20.81
Bawang,Tebu,2019,0
Bawang,Teh,2019,0
Bawang,Tembakau,2019,0
Bawang,Kelapa Sawit,2020,0
Bawang,Kelapa Dalam,2020,547.92
Bawang,Karet,2020,0.41
Bawang,Kopi Robusta,2020,54.68
Bawang,Kakao,2020,19.77
Bawang,Tebu,2020,0
Bawang,Teh,2020,0
Bawang,Tembakau,2020,0
Bawang,Kelapa Sawit,2021,0
Bawang,Kelapa Dalam,2021,612.96
Bawang,Karet,2021,0.43
Bawang,Kopi Robusta,2021,48.47
Bawang,Kakao,2021,18.57
Bawang,Tebu,2021,0
Bawang,Teh,2021,0
Bawang,Tembakau,2021,0
Bawang,Kelapa Sawit,2022,0
Bawang,Kelapa Dalam,2022,680.46
Bawang,Karet,2022,0.44
Bawang,Kopi Robusta,2022,50.11
Bawang,Kakao,2022,18.71
Bawang,Tebu,2022,0
Bawang,Teh,2022,0
Bawang,Tembakau,2022,0
Bawang,Kelapa Sawit,2023,0
Bawang,Kelapa Dalam,2023,452.84
Bawang,Karet,2023,0
Bawang,Kopi Robusta,2023,50.11
Bawang,Kakao,2023,19.11
Bawang,Tebu,2023,0
Bawang,Teh,2023,0
Bawang,Tembakau,2023,0
Bawang,Kelapa Sawit,2024,0
Bawang,Kelapa Dalam,2024,459.01
Bawang,Karet,2024,436.25
Bawang,Kopi Robusta,2024,88.37
Bawang,Kakao,2024,51.85
Bawang,Tebu,2024,0
Bawang,Teh,2024,0
Bawang,Tembakau,2024,0
Kalibening,Kelapa Sawit,2017,0
Kalibening,Karet,2017,0
Kalibening,Tebu,2017,0
Kalibening,Teh,2017,823.5
Kalibening,Tembakau,2017,11.4
Kalibening,Kelapa Sawit,2018,0
Kalibening,Kelapa Dalam,2018,5.54
Kalibening,Karet,2018,0
Kalibening,Kopi Robusta,2018,302.63
Kalibening,Kakao,2018,0
Kalibening,Tebu,2018,0
Kalibening,Teh,2018,823.5
Kalibening,Tembakau,2018,4.76
Kalibening,Kelapa Sawit,2019,0
