Kecamatan,Bawang Merah,Cabai Besar,Kentang,Kubis,Petsai,Tomat,Bawang Putih,Cabai Rawit,Tahun 
7. Pagedongan, - , 100 , - , - , - , - , - , 658 ,2021
8. Sigaluh, - , 10 , - , - , - , - , - , 5 ,2021
9. Madukara, - , 7 , - , - , - , - , - , 5 ,2021
10. Banjarmangu, - , - , - , - , - , - , - , 19 ,2021
11. Wanadadi, - , - , - , - , - , 40 , - , 15 ,2021
12. Rakit, - , 51 , - , - , 0 , - , - , 8 ,2021
13. Punggelan, - , 1 , - , - , - , - , - , 2 ,2021
14. Karangkobar, - , 210 , - ," 1,605 ", 148 , 480 , - , 212 ,2021
15. Pagentan, - ," 5,332 ", - ," 2,655 ", 420 , 236 , 288 ," 1,333 ",2021
16. Pejawaran, - ," 5,215 "," 46,508 "," 14,053 "," 3,770 "," 7,510 ", 279 ," 4,601 ",2021
17. Batur, - , - ," 66,684 "," 25,486 ", - , - , - , - ,2021
18. Wanayasa, - , 90 ," 2,720 "," 5,303 ", - , 27 , - , 62 ,2021
19. Kalibening, - , 560 , 481 ," 1,421 ", 175 , 350 , - , 156 ,2021
20. Pandanarum, - , 17 , - , - , - , - , - , 19 ,2021
1. Susukan, - , - , - , - , - , - , - , - ,2022
2. Purwareja Klampok, - , - , - , - , - , - , - , - ,2022
3. Mandiraja, 15 , 23 , - , - , - , - , - , 5 ,2022
4. Purwanegara, 30 ," 15,664 ", - , - , - , 751 , - , 600 ,2022
5. Bawang, - , 208 , - , - , - , 144 , - , 68 ,2022
6. Banjarnegara, - , - , - , - , - , - , - , - ,2022
7. Pagedongan, - , - , - , - , - , - , - , 289 ,2022
8. Sigaluh, - , - , - , - , - , - , - , - ,2022
9. Madukara, - , 16 , - , - , - , - , - , - ,2022
10. Banjarmangu, - , 1 , - , - , - , 15 , - , 1 ,2022
11. Wanadadi, - , - , - , - , - , 43 , - , 21 ,2022
12. Rakit, - , 48 , - , - , - , 28 , - , - ,2022
13. Punggelan, - , - , - , - , - , - , - , 6 ,2022
14. Karangkobar, - , 566 , - ," 1,497 ", 285 , 763 , - , 428 ,2022
15. Pagentan, - ," 1,522 ", - ," 1,995 ", 404 , 377 , - ," 2,717 ",2022
16. Pejawaran, - ," 5,657 "," 44,278 "," 12,985 "," 4,644 "," 9,228 ", - ," 5,260 ",2022
17. Batur, - , - ," 82,765 "," 25,795 ", - , - , - , - ,2022
18. Wanayasa, - , 831 ," 3,777 "," 5,298 ", 805 , 450 , - , 552 ,2022
