Kecamatan,Bawang Merah (ton) 2018,Cabai Besar (ton) 2018,Kentang (ton) 2018,Kubis (ton) 2018,Petsai (ton) 2018,Tomat (ton) 2018,Bawang Putih (ton) 2018,Cabai Rawit (ton) 2018,Bawang Merah (ton) 2019,Cabai Besar (ton) 2019,Kentang (ton) 2019,Kubis (ton) 2019,Petsai (ton) 2019,Tomat (ton) 2019,Bawang Putih (ton) 2019,Cabai Rawit (ton) 2019,Bawang Merah (ton) 2023,Cabai Besar (ton) 2023,Kentang (ton) 2023,Kubis (ton) 2023,Petsai (ton) 2023,Tomat (ton) 2023,Bawang Putih (ton) 2023,Cabai Rawit (ton) 2023,Bawang Merah (ton) 2017,Cabai Besar (ton) 2017,Kentang (ton) 2017,Kubis (ton) 2017,Petsai (ton) 2017,Tomat (ton) 2017,Bawang Putih (ton) 2017,Cabai Rawit (ton) 2017,Bawang Merah (ton) 2020,Cabai Besar (ton) 2020,Kentang (ton) 2020,Kubis (ton) 2020,Petsai (ton) 2020,Tomat (ton) 2020,Bawang Putih (ton) 2020,Cabai Rawit (ton) 2020,Bawang Merah (ton) 2021,Cabai Besar (ton) 2021,Kentang (ton) 2021,Kubis (ton) 2021,Petsai (ton) 2021,Tomat (ton) 2021,Bawang Putih (ton) 2021,Cabai Rawit (ton) 2021,Bawang Merah (ton) 2022,Cabai Besar (ton) 2022,Kentang (ton) 2022,Kubis (ton) 2022,Petsai (ton) 2022,Tomat (ton) 2022,Bawang Putih (ton) 2022,Cabai Rawit (ton) 2022,Bawang Merah (ton) 2024,Cabai Besar (ton) 2024,Kentang (ton) 2024,Kubis (ton) 2024,Petsai (ton) 2024,Tomat (ton) 2024,Bawang Putih (ton) 2024,Cabai Rawit (ton) 2024,Tahun
Susukan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2021
Susukan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,2022
Susukan,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Susukan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2024
Wanadadi,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Wanadadi,0,4.2,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Wanadadi,,,,,,,,,0,5,0,0,0,0,0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Wanadadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.8,0,0,0,29.1,0,7.8,,,,,,,,,,,,,,,,,,,,,,,,,2020
Wanadadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,40.1,0,14.8,,,,,,,,,,,,,,,,,2021
Wanadadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,43.2,0,20.5,,,,,,,,,2022
Wanadadi,,,,,,,,,,,,,,,,,0,1.2,0,0,0,35.1,0,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Wanadadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.4,0,0,0,35.2,0,16.1,2024
Wanayasa,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2412,3237.9,0,39.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Wanayasa,0,57.6,3136.3,5494.2,0,21.1,0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Wanayasa,,,,,,,,,0,75.9,4251.6,5535.3,0,22.9,70.4,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Wanayasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,104.6,2448.6,4500,0,42.9,0,94.1,,,,,,,,,,,,,,,,,,,,,,,,,2020
Wanayasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90.3,2719.9,5303,0,26.7,0,62.1,,,,,,,,,,,,,,,,,2021
Wanayasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,831.4,3777,5297.5,804.6,449.5,0,552,,,,,,,,,2022
Wanayasa,,,,,,,,,,,,,,,,,0,880.8,3630,3240,500,560.2,3,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Wanayasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,809.5,4035,4374,545,324,0,285.5,2024
Batur,,,,,,,,,,,,,,,,,,,,,,,,,0,0,79393.4,36047.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Batur,44.4,0,72574.5,47245,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Batur,,,,,,,,,3.8,0,65216,60134.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Batur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8,0,73473.4,41480,0,0,409.5,0,,,,,,,,,,,,,,,,,,,,,,,,,2020
Batur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,66684,25486,0,0,0,0,,,,,,,,,,,,,,,,,2021
Batur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,82765,25795,0,0,0,0,,,,,,,,,2022
Batur,,,,,,,,,,,,,,,,,0,0,55245,22025,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Batur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,110300,16310,0,0,0,0,2024
