Kecamatan,Bawang Merah (ton) 2018,Cabai Besar (ton) 2018,Kentang (ton) 2018,Kubis (ton) 2018,Petsai (ton) 2018,Tomat (ton) 2018,Bawang Putih (ton) 2018,Cabai Rawit (ton) 2018,Bawang Merah (ton) 2019,Cabai Besar (ton) 2019,Kentang (ton) 2019,Kubis (ton) 2019,Petsai (ton) 2019,Tomat (ton) 2019,Bawang Putih (ton) 2019,Cabai Rawit (ton) 2019,Bawang Merah (ton) 2023,Cabai Besar (ton) 2023,Kentang (ton) 2023,Kubis (ton) 2023,Petsai (ton) 2023,Tomat (ton) 2023,Bawang Putih (ton) 2023,Cabai Rawit (ton) 2023,Bawang Merah (ton) 2017,Cabai Besar (ton) 2017,Kentang (ton) 2017,Kubis (ton) 2017,Petsai (ton) 2017,Tomat (ton) 2017,Bawang Putih (ton) 2017,Cabai Rawit (ton) 2017,Bawang Merah (ton) 2020,Cabai Besar (ton) 2020,Kentang (ton) 2020,Kubis (ton) 2020,Petsai (ton) 2020,Tomat (ton) 2020,Bawang Putih (ton) 2020,Cabai Rawit (ton) 2020,Bawang Merah (ton) 2021,Cabai Besar (ton) 2021,Kentang (ton) 2021,Kubis (ton) 2021,Petsai (ton) 2021,Tomat (ton) 2021,Bawang Putih (ton) 2021,Cabai Rawit (ton) 2021,Bawang Merah (ton) 2022,Cabai Besar (ton) 2022,Kentang (ton) 2022,Kubis (ton) 2022,Petsai (ton) 2022,Tomat (ton) 2022,Bawang Putih (ton) 2022,Cabai Rawit (ton) 2022,Bawang Merah (ton) 2024,Cabai Besar (ton) 2024,Kentang (ton) 2024,Kubis (ton) 2024,Petsai (ton) 2024,Tomat (ton) 2024,Bawang Putih (ton) 2024,Cabai Rawit (ton) 2024,Tahun
Kalibening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,644,364,2975,400,227.9,14,241.2,,,,,,,,,,,,,,,,,,,,,,,,,2020
Kalibening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,560,481,1421,175,349.8,0,156,,,,,,,,,,,,,,,,,2021
Kalibening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,893,267,941,220,266.4,0,385,,,,,,,,,2022
Kalibening,,,,,,,,,,,,,,,,,0,1326.2,237.4,1135.8,130.3,198.2,0,597.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Kalibening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1660.6,197,1495,137,226.45,0,681,2024
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5997.6,0,2159.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Karangkobar,0,1018.4,0,5100,0,1270,0,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Karangkobar,,,,,,,,,0,335,0,2270,351,1191,115,1166.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,298,0,2835,360,440,0,453.2,,,,,,,,,,,,,,,,,,,,,,,,,2020
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,210,0,1605,148,480,0,212,,,,,,,,,,,,,,,,,2021
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,566.3,0,1497,285,762.6,0,428,,,,,,,,,2022
Karangkobar,,,,,,,,,,,,,,,,,0,1152.5,0,930,261,1044,0,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,899.5,0,810,276,825,0,442,2024
Madukara,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Madukara,0,27.2,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Madukara,,,,,,,,,0,18.3,0,0,0,0,0,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Madukara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2020
Madukara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.5,0,0,0,0,0,4.9,,,,,,,,,,,,,,,,,2021
Madukara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15.8,0,0,0,0,0,0,,,,,,,,,2022
Madukara,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Madukara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,31.21,2024
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Mandiraja,0,20,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Mandiraja,,,,,,,,,0,162.5,0,0,0,0,0,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,45,0,0,0,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,2020
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3,60.9,0,0,0,0,0,60.2,,,,,,,,,,,,,,,,,2021
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,22.5,0,0,0,0,0,4.7,,,,,,,,,2022
