Kecamatan,Luas Kolam Pembenihan Ikan (Ha),Produksi Kolam Pembenihan Ikan (Ekor),Luas Kolam Balai Benih Ikan (Ha),Produksi Kolam Balai Benih Ikan (Ekor),Tahun
Wanadadi, 4 ," 155,299,754 ", - , - ,2023
Rakit, 20 ," 687,105,007 ", - , - ,2023
Punggelan, 0 ," 11,218,041 ", - , - ,2023
Karangkobar, 0 ," 7,011,276 ", - , - ,2023
Pagentan, 0 ," 8,764,094 ", - , - ,2023
Pejawaran, 1 ," 18,579,880 ", - , - ,2023
Batur, - , - , - , - ,2023
Wanayasa, 0 ," 7,011,276 ", - , - ,2023
Kalibening, 0 ," 7,011,276 ", - , - ,2023
Pandanarum, - , - , - , - ,2023
Susukan, 2 ," 61,033,430 ", - , - ,2024
Purwareja Klampok, 0 ," 8,456,439 ", - , - ,2024
Mandiraja, 6 ," 214,720,019 ", - , - ,2024
Purwanegara, 22 ," 796,008,290 ", - , - ,2024
Bawang, 7 ," 256,634,543 ", 1 ," 6,425,000 ",2024
Banjarnegara, 3 ," 97,065,214 ", - , - ,2024
Pagedongan, 2 ," 72,798,911 ", - , - ,2024
Sigaluh, 1 ," 43,385,209 ", - , - ,2024
Madukara, 1 ," 22,060,276 ", - , - ,2024
Banjarmangu, 0 ," 16,177,536 ", - , - ,2024
Wanadadi, 4 ," 162,878,371 ", - , - ,2024
Rakit, 20 ," 720,635,681 ", - , - ,2024
Punggelan, 0 ," 11,765,480 ", - , - ,2024
Karangkobar, 0 ," 7,353,425 ", - , - ,2024
Pagentan, 0 ," 9,191,782 ", - , - ,2024
Pejawaran, 1 ," 19,486,577 ", - , - ,2024
Batur, - , - , - , - ,2024
Wanayasa, 0 ," 7,353,425 ", - , - ,2024
Kalibening, 0 ," 7,353,425 ", - , - ,2024
Pandanarum, - , - , - , - ,2024
